target,day,our_rmse,our_mae,our_r2,our_smape,our_hours
wind_onshore,1,2352.1135503182954,1664.2406500745865,0.941148842813318,12.866343936458923,704
wind_onshore,2,2383.983014971881,1690.3021079177095,0.9414850497301869,13.129145039312148,680
wind_onshore,3,2419.0055379612236,1719.170643286605,0.9416998478793326,13.400842056955462,656
wind_onshore,4,2459.3505134357624,1760.8635277501664,0.9407945738074442,13.80343834067404,632
wind_onshore,5,2485.5126894073032,1770.1735982109155,0.9370591127512536,14.137937083087285,608
wind_onshore,6,2527.093425414717,1807.4208675573766,0.9372549531684023,14.522744965288755,584
wind_onshore,7,2552.5085517864027,1810.6908141000895,0.9377671902513004,14.496034303691044,560
wind_onshore,all,2449.995415147846,1742.1922994648428,0.9397778415739603,13.719570116406151,4424
wind_offshore,1,789.9453885207304,574.7602558916179,0.8529671517909243,14.192195019733767,704
wind_offshore,2,849.5188794425143,616.7429846335737,0.8302512694310251,14.616999284863214,680
wind_offshore,3,861.7707742613458,627.5498254569311,0.8273380645844286,14.876809294064936,656
wind_offshore,4,873.5646325716748,635.8817361401809,0.8194886222290572,15.241333545903299,632
wind_offshore,5,888.6159564837909,651.076759198621,0.8112925550431078,15.71117966309524,608
wind_offshore,6,900.7356668260235,660.724205368751,0.8072737728089059,16.113173034923957,584
wind_offshore,7,917.6791425066789,677.6678824313116,0.7960129725420814,16.6526815660522,560
wind_offshore,all,866.9417669469418,632.6351745317625,0.8231456628605046,15.282677773522552,4424
solar,1,1130.4681351123836,488.1721100938408,0.9715092500448855,118.57985724696701,704
solar,2,1144.3052486823626,493.42712205876654,0.9715182163285647,118.26022159815075,680
solar,3,1148.799459341933,491.5355197875031,0.9720301173745391,117.82341903958012,656
solar,4,1166.626136631819,500.30247081041335,0.971781144946183,117.65840765972224,632
solar,5,1186.3910517227941,513.1746766335058,0.9715614200013325,117.57634910952662,608
solar,6,1207.2161004142104,525.6930074750618,0.9712672939373862,117.42285498710663,584
solar,7,1229.0788506132658,537.2445589400762,0.9709909055614939,117.24877874434183,560
solar,all,1171.2387845389612,505.81237427754496,0.9715355213909836,117.82778715809454,4424
load,1,703.113848490621,533.4622612573638,0.9941065639884369,0.8959224758147172,704
load,2,692.5272602400943,525.7893298676439,0.9943948652269116,0.8823141783863511,680
load,3,640.5696430689904,498.6854068089666,0.995238094531518,0.8307080523040226,656
load,4,636.8382660239539,495.6006469616244,0.9952505547175063,0.826554238284948,632
load,5,635.2729489241332,494.3267617914739,0.9951399009799202,0.8296398028127838,608
load,6,634.0700586246362,494.21721461983964,0.9950817216852559,0.8323347047973063,584
load,7,639.055667952116,497.04236770813355,0.9948859079962808,0.8413628110944809,560
load,all,656.8110746917508,506.548070163962,0.9948593716455064,0.8498411996176571,4424
gen_load_diff,all,2733.0262692597316,2166.960868038515,0.8295894177914138,66.4919928087575,560
