number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.26582927140886575,0.683613556422069,0.021776365308459934,12,20,0.012022290848181238,622,49,1.0555913171864901e-08,0.25934992800622,0.8603747919334188,COMPLETE
1,0.2607621451372381,0.8978201077089336,0.010470883443380194,16,88,0.4357745372521491,498,90,0.004919037715461812,4.9490498441422434e-08,0.7745325837956627,COMPLETE
2,0.2605208153438735,0.7715461238181134,0.02939819878225365,6,65,0.3995220258096395,646,113,0.012970421445678032,0.004386723505829729,0.5797913759757859,COMPLETE
3,0.2614136678950914,0.6252897208628267,0.022289950595999728,13,98,0.0020072318375147225,367,83,3.19570295256243e-06,7.13336127805288e-05,0.6788026254967294,COMPLETE
4,0.2642645933276662,0.8190732272132677,0.14667971038552716,9,86,0.4427823081209509,408,145,0.0016183094910100365,0.007992173798391762,0.8610957883771726,COMPLETE
5,0.2634814276391066,0.9769378756268783,0.024261457366720522,15,19,0.4688714023496066,547,127,7.946024753961561e-07,7.301130510528005e-05,0.6674861033718199,COMPLETE
6,0.2654599419107731,0.507525200578697,0.023595983079869466,4,17,0.07486198489651957,596,94,0.005801397504721885,0.0006091426435875719,0.5599324344864358,COMPLETE
7,0.271845430284537,0.8402385513640807,0.024440066582870713,3,23,0.3927448217532302,888,30,1.059119107918469e-08,1.1276397005940452e-05,0.5528621310554541,COMPLETE
8,0.26003097475617515,0.5400983335718312,0.020550879725673276,15,27,0.0985538095798732,904,150,0.002834052239012835,0.00047380940340612323,0.9332666360208529,COMPLETE
9,0.26074012568405963,0.8022098078201785,0.024664247145261557,12,41,0.23260350105076977,824,46,3.871871000356904e-07,8.102354790389036e-07,0.699305167543604,COMPLETE
10,0.2631059971739637,0.5137887937577759,0.07088273018724378,9,50,0.16154579921652734,776,150,0.5164327486480023,0.286332682223032,0.983424664563208,COMPLETE
11,0.264022123865108,0.6592295417573221,0.05600259465019316,6,66,0.323978649177895,977,120,0.07281482214725019,0.0042037296080344524,0.957307891829238,COMPLETE
12,0.2599764080131476,0.7319205880061352,0.010098341631126669,7,59,0.29107562133778114,719,115,0.00012193381521571108,0.011876003113029639,0.7990622607069067,COMPLETE
13,0.2604654435123491,0.5929075699662089,0.011153407121318716,7,35,0.19906713209702587,740,131,6.49997132715741e-05,0.036811095315433584,0.8829541111616732,COMPLETE
14,0.25839419758404586,0.7290114886369599,0.01283063634094302,10,66,0.2952607914409573,986,109,0.0001340259270949291,0.0005548713163010321,0.7841237656918503,COMPLETE
15,0.25883921794328624,0.7172306265676346,0.010081140579271371,10,64,0.3155067092554156,710,105,8.950637735750744e-05,7.2498415160398816e-06,0.7753069521655312,COMPLETE
16,0.2587533269239537,0.7249349311753429,0.015220782713908152,10,76,0.33172482204005554,961,65,0.0001187847417577256,2.7675026569294383e-06,0.7306829628009895,COMPLETE
17,0.26139948426801496,0.8904235087012784,0.03850802414929679,10,79,0.3666889939009184,988,64,1.191603891025221e-05,1.7922724635372697e-08,0.6285379113888001,COMPLETE
18,0.2787682212118364,0.5933116060805856,0.22418450942674145,11,6,0.4984400091652659,897,67,0.0003994187802779043,6.172972182205757e-07,0.7230074659301289,COMPLETE
19,0.26107703538088795,0.6860874839907346,0.015208400552419886,8,75,0.2736169551689456,810,17,1.3180681874227953e-05,4.30288616313238e-06,0.6237271256663843,COMPLETE
20,0.26596688818200015,0.7656171800076436,0.08213172363000616,13,48,0.22482342759603433,945,71,0.0004314183341761817,2.473568662505931e-07,0.8188597570924805,COMPLETE
21,0.2580425033378679,0.7233436691823049,0.012076817336566136,11,71,0.3297426803839463,862,102,3.398888175547591e-05,8.617432405538017e-06,0.7477565417328954,COMPLETE
22,0.25953895964003626,0.7192611056902922,0.014934553282865129,11,74,0.3401978100781191,858,98,1.5218587160437742e-05,0.0003776018114449808,0.7348901349521595,COMPLETE
23,0.26025966034753006,0.6413631197645807,0.014432648573646732,11,56,0.35382991427766713,939,81,0.00046095856249455557,2.113529590457739e-05,0.8216763415795135,COMPLETE
24,0.2626092212392255,0.8623704387306439,0.0373547108085815,13,97,0.28356626379684685,1000,52,1.135290405084039e-07,2.2227869065657793e-06,0.7447890493221262,COMPLETE
25,0.26150912726811304,0.7825488927940438,0.01623798366874349,8,87,0.2556769921767226,848,104,2.6391295832548253e-06,1.345653461575537e-07,0.5060825051412507,COMPLETE
26,0.2594327651236789,0.6946214998192041,0.03738409902239471,10,71,0.17203226519826542,934,135,3.1061834993688e-05,3.352280316135614e-05,0.6414507545912576,COMPLETE
27,0.2577723745332586,0.7535916351849946,0.013456579582677729,12,85,0.40383411089980076,761,75,0.027722720797604627,0.00019142099430111847,0.7145949045791444,COMPLETE
28,0.25802576709339153,0.7514159936623374,0.012751641222361821,14,84,0.3901688539648796,795,87,0.0755207119174481,0.00021205157965644596,0.6997443115791797,COMPLETE
29,0.25959365030894455,0.9439375308551188,0.018463598556288912,14,82,0.4278873651242212,684,55,0.07199240542765047,0.0002117933164945111,0.6974103046157826,COMPLETE
