number,value,params_alpha,params_l1_ratio,state
0,0.41607163976368233,0.2923347230414967,0.8691014600891563,COMPLETE
1,0.40607176894182495,0.6885084756703286,0.21202449818385002,COMPLETE
2,0.3924716128945259,0.2686185919037065,0.3220866711168646,COMPLETE
3,0.38055510501649414,0.20063246888743363,0.02622293331024369,COMPLETE
4,0.4071628261975598,0.20299755853957863,0.9004380455430601,COMPLETE
5,0.3781644855740348,0.019858744009861203,0.2611512342688415,COMPLETE
6,0.4117281915484201,0.9777887918893626,0.1778291614363428,COMPLETE
7,0.4278268814012842,0.5514704696305263,0.5778221985612695,COMPLETE
8,0.4133801076334199,0.757220016869678,0.2718067168373998,COMPLETE
9,0.44118287977843185,0.7648272566638585,0.5380127059439486,COMPLETE
10,0.3848048557548442,0.057654950994375995,0.6649870738746754,COMPLETE
11,0.3787547769184862,0.03589352595397047,0.02042729675634511,COMPLETE
12,0.3792049500582936,0.02439445547020079,0.015610731176852743,COMPLETE
13,0.404109723748971,0.41216655295188714,0.36605789484888307,COMPLETE
14,0.37835229180667884,0.021290167028757648,0.13801970883995954,COMPLETE
15,0.4057777701950578,0.4109364673089202,0.40597872068851004,COMPLETE
16,0.3822487655386502,0.15475530930171497,0.12343327930446873,COMPLETE
17,0.38746362781939725,0.1289734407531463,0.4142523858702417,COMPLETE
18,0.38855791471002166,0.3548469076486828,0.13896524913381375,COMPLETE
19,0.43688747729325694,0.5623788744759055,0.7023567605898479,COMPLETE
20,0.42259392088025055,0.9868939283016613,0.25971570436728836,COMPLETE
21,0.37822343164159317,0.028815950697769432,0.09652855824057628,COMPLETE
22,0.38053234741517317,0.10108983992144165,0.11451999858094966,COMPLETE
23,0.3795258810157692,0.013209002044606066,0.10879109557213991,COMPLETE
24,0.38824910146942837,0.23225498654748405,0.2449829485533141,COMPLETE
25,0.3883132697780532,0.13201766517553798,0.45613369594060327,COMPLETE
26,0.38306330990910187,0.09595857441655944,0.3173978731463417,COMPLETE
27,0.385338510496924,0.3140461928866364,0.08475145907041143,COMPLETE
28,0.38425944495862857,0.16867412674824922,0.19048206250878846,COMPLETE
29,0.39391944282503616,0.0866360837961516,0.9789785211680088,COMPLETE
30,0.39129694477319843,0.26476426047722024,0.3001744312305996,COMPLETE
31,0.37844591115930337,0.028617601786982184,0.0627604604160483,COMPLETE
32,0.37915597911039867,0.012073954333212926,0.19153158054185865,COMPLETE
33,0.37875235537131924,0.08405957981288392,0.053916469316191346,COMPLETE
34,0.38402273257893793,0.16598223647801136,0.18674782682927468,COMPLETE
35,0.38306809105010553,0.22615114740373174,0.07676920387171152,COMPLETE
36,0.3803242808458912,0.08077388222653856,0.1548607505656756,COMPLETE
37,0.38688119474778204,0.200053124043303,0.2358014349981867,COMPLETE
38,0.42958627377056285,0.8539300650079862,0.358813970355542,COMPLETE
39,0.3924581493990347,0.6456957657955639,0.08583079180698516,COMPLETE
40,0.41517923311897065,0.31587349346926086,0.7815770340444319,COMPLETE
41,0.3783817172328356,0.06576091362536415,0.055204137065309425,COMPLETE
42,0.37831801853749936,0.05953265899795282,0.048814199450929636,COMPLETE
43,0.37859963288186094,0.0631545491245458,0.020590721982204886,COMPLETE
44,0.381733923010497,0.12455766185186457,0.15254725890505205,COMPLETE
45,0.379970853829347,0.05952138679893111,0.21818033414815885,COMPLETE
46,0.3801502397396104,0.1908217790055029,0.01020890481597627,COMPLETE
47,0.3800537445665877,0.13349083562355307,0.05354678900525166,COMPLETE
48,0.3795020234802463,0.012177912621139018,0.13622983798009053,COMPLETE
49,0.42170860115819686,0.45815481403388214,0.6174387649407008,COMPLETE
