number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,5491.714102476017,0.14389645241002652,small,True,False,True,False,False,True,True,True,False,False,True,False,False,True,False,True,False,0.17137670746015876,6.0,none,short,energy,medium,COMPLETE
1,4583.790932178443,0.7548612923149615,small,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,True,False,0.07777251700716585,1.0,small,long,population,medium,COMPLETE
2,6043.146953911503,0.24152651744161246,none,True,True,False,True,False,False,True,False,False,True,True,False,True,False,True,False,True,0.615400424597696,12.0,small,long,max,small,COMPLETE
3,5614.815400593103,0.8337701527459338,small,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,0.6771926615449374,6.0,none,long,mean,none,COMPLETE
4,5745.336784188642,0.9752261586186876,none,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,0.4010315376748811,6.0,none,long,max,small,COMPLETE
5,5824.685680710812,0.27990246397944285,medium,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,True,True,0.8214465128071545,6.0,none,long,distance_energy,small,COMPLETE
6,4822.792568640331,0.45308392590580093,none,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,0.30877240730424227,,small,none,None,small,COMPLETE
7,2559237.080067678,0.588011199597982,medium,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.9369297458158261,12.0,small,none,None,none,COMPLETE
8,5288.347673824131,0.643803575822388,none,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,0.8646097953167801,6.0,none,none,idw,small,COMPLETE
9,5970.621382088165,0.664838484839473,none,True,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,False,0.22220510204565988,1.0,none,none,energy,none,COMPLETE
10,6455.137770747239,0.8285309437861248,small,False,False,True,True,True,False,False,False,True,True,True,True,False,True,False,False,False,0.05517923331986255,1.0,medium,short,population,medium,COMPLETE
11,5046.800532664593,0.4044407594035316,small,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,0.380724876757906,,small,none,None,medium,COMPLETE
12,5338.315433395103,0.45696732556524994,none,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,True,0.011911504658801655,,small,long,population,medium,COMPLETE
13,4265.462173485276,0.7622188702711876,small,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,0.3201474319004983,,small,none,distance_population,small,COMPLETE
14,5274.308784288558,0.7578785223325245,small,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,True,False,0.14411153337414903,1.0,medium,short,distance_population,medium,COMPLETE
15,4291.11797972686,0.8874689270017139,small,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,True,False,0.5053889302823487,,small,none,distance_population,small,COMPLETE
16,4263.6799739855915,0.9441022206782246,small,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,0.5377958084213275,,small,none,distance_population,small,COMPLETE
17,4265.462173485276,0.9535848214674785,small,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,0.512965327680146,,small,none,distance_population,small,COMPLETE
18,3945.9389289210358,0.9890720607861363,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,0.6712789072683907,,medium,none,distance_population,small,COMPLETE
19,3940.64979115712,0.993626292568285,medium,False,False,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,0.686428254572326,,medium,none,distance_population,small,COMPLETE
20,4197.048805668453,0.03451329628643596,medium,False,False,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,0.7296004031683759,,medium,none,idw,small,COMPLETE
21,19065.682870711233,0.050657970677839004,medium,False,False,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,0.7342705474427925,,medium,none,distance_energy,small,COMPLETE
22,4197.048805668453,0.31930886848735546,medium,False,False,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,0.7728015594863838,,medium,none,idw,small,COMPLETE
23,4197.048805668453,0.5632570762577199,medium,False,False,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,0.6273412216902685,,medium,none,idw,small,COMPLETE
24,4600.8984765700925,0.050348230518803674,medium,False,False,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,0.9371467738227302,12.0,medium,none,mean,small,COMPLETE
25,4208.3266279200225,0.994229705784886,medium,False,False,True,True,True,False,True,False,True,True,False,True,True,False,False,False,False,0.6918395148590373,,medium,short,idw,none,COMPLETE
26,3957.2310437350484,0.8773536825387143,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.5943182242976057,,medium,none,distance_population,small,COMPLETE
27,3957.2310437350484,0.8832645442527056,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.5987049620494472,,medium,none,distance_population,small,COMPLETE
28,3957.2310437350484,0.8794798755746701,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.4345777256397452,,medium,none,distance_population,small,COMPLETE
29,258255.9724106984,0.6805334417736943,medium,False,True,True,True,True,False,True,True,True,True,False,True,True,False,True,False,False,0.8450878166382247,12.0,medium,short,energy,none,COMPLETE
30,3957.2310437350484,0.9999689530465486,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.5748518460460487,,medium,none,distance_population,small,COMPLETE
31,3957.2310437350484,0.8935524525346948,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.6390498902887511,,medium,none,distance_population,small,COMPLETE
32,3957.2310437350484,0.8119245973834449,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.5795903327891303,,medium,none,distance_population,small,COMPLETE
33,3957.2310437350484,0.9044970102103194,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.45518326676931964,,medium,none,distance_population,small,COMPLETE
34,3957.2310437350484,0.8020665150952064,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.6807135907995104,,medium,none,distance_population,small,COMPLETE
35,5504.85159724403,0.7259522873189921,medium,True,True,True,True,True,False,True,False,False,True,False,True,True,False,True,False,False,0.7769168378498506,1.0,medium,short,max,small,COMPLETE
36,4421.014292118364,0.9283664566970389,medium,False,True,True,True,True,False,True,False,True,True,True,True,True,False,True,False,False,0.5694677375410605,6.0,medium,long,mean,small,COMPLETE
37,10164.659994435131,0.8586731278673682,medium,True,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,True,0.6185184388304019,12.0,medium,none,distance_population,medium,COMPLETE
38,22271.22664255335,0.9479053807593757,medium,False,True,False,False,True,False,True,False,False,True,True,True,True,False,True,False,False,0.4594398713213578,,none,long,distance_energy,small,COMPLETE
39,5601.439434183456,0.708769481174151,medium,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,0.6604247016537269,6.0,medium,none,max,none,COMPLETE
40,4391.271610738356,0.17162336270609246,medium,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,0.7972303992580494,,medium,none,distance_population,small,COMPLETE
41,3957.2310437350484,0.8598323751924536,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.44388994468006093,,medium,none,distance_population,small,COMPLETE
42,3957.2310437350484,0.7929880737982395,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.380572842269517,,medium,none,distance_population,small,COMPLETE
43,45872.80867195653,0.8676340434474532,none,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.5467337907058916,,medium,none,energy,small,COMPLETE
44,3967.2293899136203,0.9154227279664029,medium,False,True,True,True,True,False,True,False,True,True,False,False,True,False,True,False,False,0.7341776510116164,,none,none,distance_population,small,COMPLETE
45,7262.642656694287,0.961224468914098,medium,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,0.29715700807128786,1.0,medium,long,population,small,COMPLETE
46,3236279.2724493076,0.6015088090118959,none,False,True,False,False,True,False,True,True,True,True,False,True,True,True,False,False,True,0.5912675512273065,6.0,medium,none,None,medium,COMPLETE
47,4012.9891917818,0.8409756203433357,medium,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,False,0.42007900314111957,,none,none,distance_population,none,COMPLETE
48,9610.142661575122,0.9941389335190457,medium,False,True,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False,0.8746602736033917,12.0,medium,none,distance_population,small,COMPLETE
49,3801.998572624521,0.788712476204783,medium,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,False,0.9967106709147241,,medium,short,mean,small,COMPLETE
50,3889.6665669554277,0.7675629359744266,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.6998449155333463,,medium,short,mean,small,COMPLETE
51,3889.6665669554277,0.773375442727965,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.980444007563066,,medium,short,mean,small,COMPLETE
52,3889.6665669554277,0.7499683587366355,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.9919561819369036,,medium,short,mean,small,COMPLETE
53,3889.6665669554277,0.5412545172338792,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.9948204715115943,,medium,short,mean,small,COMPLETE
54,3889.6665669554277,0.5538066871536779,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.9636333869941227,,medium,short,mean,small,COMPLETE
55,3890.625704729993,0.5115993988343003,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.9982164097907641,,medium,short,mean,medium,COMPLETE
56,4875.02624334524,0.6104392595387573,none,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,0.9953531810875338,1.0,small,short,mean,small,COMPLETE
57,4341.8892985194625,0.5407947138788287,none,True,False,False,False,True,True,True,True,True,False,True,True,False,True,False,True,True,0.918043864371261,,none,short,mean,small,COMPLETE
58,4023.0308502434673,0.639294253727219,none,True,False,False,False,True,True,False,True,True,True,True,False,True,True,False,False,True,0.9584023125983969,,medium,short,mean,small,COMPLETE
59,3891.2656276620455,0.4372311345463583,none,True,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,True,0.89823386065561,,medium,short,mean,small,COMPLETE
60,5042.406690290408,0.7602677171474599,none,True,False,False,False,True,True,True,True,True,False,True,True,False,True,False,False,True,0.9625840713449831,6.0,medium,short,mean,none,COMPLETE
61,3890.625704729993,0.5170730516898506,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.9945451670558305,,medium,short,mean,medium,COMPLETE
62,3890.625704729993,0.32213869334992606,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.8930954226086051,,medium,short,mean,medium,COMPLETE
63,3890.625704729993,0.4826278944667109,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.9678557238594274,,medium,short,mean,medium,COMPLETE
64,3890.625704729993,0.7241709954077676,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,0.9315610751630456,,medium,short,mean,medium,COMPLETE
65,4318.447553235267,0.6868746275664288,none,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,0.8296987792576889,,small,short,mean,medium,COMPLETE
66,3889.562604260976,0.3913940473178926,none,True,False,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,0.9967377710485804,,medium,short,mean,small,COMPLETE
67,3889.562604260976,0.39485128202386394,none,True,False,False,False,True,True,False,True,True,True,True,True,True,True,False,False,True,0.9096461248676376,,medium,short,mean,small,COMPLETE
68,4719.775009206861,0.3805621683502198,none,True,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False,True,0.8552742329477356,12.0,medium,short,mean,small,COMPLETE
69,3889.058489781007,0.38396710287070435,none,True,False,False,False,True,True,False,True,True,False,True,True,True,True,False,False,True,0.9021364393865281,,medium,short,mean,small,COMPLETE
