date,gen_load_diff_delu_actual,gen_load_diff_delu_fitted,gen_load_diff_delu_lower,gen_load_diff_delu_upper
2026-02-06 00:00:00+00:00,-1821.543,-5129.698336159051,-10316.004667198662,63.76905905185322
2026-02-06 01:00:00+00:00,-2032.9062,-5903.092502197901,-11084.891669722168,-706.7117892091442
2026-02-06 02:00:00+00:00,-3320.3203,-7164.5604119564705,-12349.57688544277,-1965.942666361346
2026-02-06 03:00:00+00:00,-4301.7773,-7976.564570755203,-13150.793760747143,-2775.9439479351563
2026-02-06 04:00:00+00:00,-7142.3164,-8930.02589684651,-14111.400962284397,-3731.386993685835
2026-02-06 05:00:00+00:00,-10968.461,-10108.225882773879,-15295.239535735533,-4914.489205543847
2026-02-06 06:00:00+00:00,-12920.734,-11185.440845442175,-16372.980072513672,-5996.645779239809
2026-02-06 07:00:00+00:00,-13214.539,-11879.634096321679,-17065.09589625277,-6691.223842280211
2026-02-06 08:00:00+00:00,-12954.039,-12159.03066536963,-17340.13865414025,-6966.08753521732
2026-02-06 09:00:00+00:00,-12231.602,-12272.768217858003,-17457.470923695382,-7067.535051436362
2026-02-06 10:00:00+00:00,-12009.605,-11909.301477321605,-17099.130797368325,-6713.119631339176
2026-02-06 11:00:00+00:00,-12150.328,-11322.577900601762,-16511.161940194164,-6129.72268656636
2026-02-06 12:00:00+00:00,-11940.75,-10367.461319868678,-15563.062698898455,-5179.202660689261
2026-02-06 13:00:00+00:00,-10887.282,-11561.708027630708,-16754.00000051852,-6377.17260753968
2026-02-06 14:00:00+00:00,-11683.527,-12449.78651460401,-17643.815457964647,-7262.20456315975
2026-02-06 15:00:00+00:00,-11616.113,-12853.332141919014,-18039.81657266936,-7667.919803430499
2026-02-06 16:00:00+00:00,-12073.949,-12006.750558502587,-17189.20653718766,-6808.610845863758
2026-02-06 17:00:00+00:00,-12860.941,-10382.847064114145,-15570.289264234872,-5178.54284591634
2026-02-06 18:00:00+00:00,-13219.875,-9406.821625019002,-14589.665095005434,-4213.014470277811
2026-02-06 19:00:00+00:00,-10902.469,-8725.436606785608,-13912.622474699589,-3530.9884694169905
2026-02-06 20:00:00+00:00,-7294.7617,-7524.066387983374,-12712.886525288808,-2323.757937722508
2026-02-06 21:00:00+00:00,-6645.1445,-6677.484194076962,-11862.481889081959,-1482.6644266137182
2026-02-06 22:00:00+00:00,-5279.3164,-5886.00257461704,-11065.006381493082,-681.3178350422331
2026-02-06 23:00:00+00:00,-2811.168,-5616.195366594021,-10804.61803494764,-413.43055404816596
2026-02-07 00:00:00+00:00,-1491.9884,-2881.120317385903,-8067.889984368159,2321.6590688830106
2026-02-07 01:00:00+00:00,-759.211,-2872.3909269073433,-8067.803173405082,2327.014684015487
2026-02-07 02:00:00+00:00,-859.67975,-3075.0543556116722,-8255.405780497917,2123.816379438959
2026-02-07 03:00:00+00:00,-1231.7853,-3662.4178740626194,-8847.073493930668,1539.2317524332616
2026-02-07 04:00:00+00:00,-1868.0859,-5310.49053437817,-10501.973622041345,-108.0918748955155
2026-02-07 05:00:00+00:00,-3103.2578,-7161.060004048291,-12346.701284297475,-1959.2768223333696
2026-02-07 06:00:00+00:00,-5181.914,-9218.359335077725,-14403.603359490799,-4017.2316854945743
2026-02-07 07:00:00+00:00,-6782.617,-9248.053293515726,-14446.141672929289,-4047.4937082199867
2026-02-07 08:00:00+00:00,-6892.7188,-8552.891864291747,-13733.182410894251,-3350.2864580747328
2026-02-07 09:00:00+00:00,-5722.7695,-6997.711481161985,-12195.298824360249,-1798.7485082443684
2026-02-07 10:00:00+00:00,-4379.7383,-5741.135291187345,-10946.109659098745,-556.7363410870917
2026-02-07 11:00:00+00:00,-2894.0195,-5008.391845321971,-10207.523177550447,178.36443686584244
2026-02-07 12:00:00+00:00,-1881.578,-5259.898456312029,-10461.47435649491,-75.21163455836768
2026-02-07 13:00:00+00:00,-2688.746,-6525.654649912069,-11719.636816405153,-1338.0192669801381
2026-02-07 14:00:00+00:00,-6116.7656,-8076.009091615269,-13272.96704965565,-2895.3694601550674
2026-02-07 15:00:00+00:00,-9414.66,-10048.652831822832,-15241.831733492852,-4864.234143992269
2026-02-07 16:00:00+00:00,-10839.141,-9818.989870919095,-15006.675817216475,-4622.816510577223
2026-02-07 17:00:00+00:00,-10959.457,-8206.373665966918,-13391.461446425024,-3015.583813546844
2026-02-07 18:00:00+00:00,-9421.684,-8207.625561397166,-13402.205180465508,-3019.139325530551
2026-02-07 19:00:00+00:00,-7872.6875,-7129.423142465052,-12323.121284199504,-1947.7377227488194
2026-02-07 20:00:00+00:00,-5751.3984,-6282.224527527029,-11473.399624256244,-1099.7794417751484
2026-02-07 21:00:00+00:00,-5589.4414,-4833.971039706462,-10021.219751706945,361.56812637095436
2026-02-07 22:00:00+00:00,-4510.633,-4055.7268769456236,-9238.948867480889,1141.400878832345
2026-02-07 23:00:00+00:00,-3374.1992,-3895.4688519714905,-9083.988322153456,1290.5974129387873
2026-02-08 00:00:00+00:00,-2313.7031,-2139.497538219162,-7324.260959265223,3058.4163257912337
2026-02-08 01:00:00+00:00,-1390.0314,-2217.972173007851,-7406.417298012848,2977.98042891086
2026-02-08 02:00:00+00:00,-1092.2189,-2608.448653737278,-7799.035833679041,2588.9961878280333
2026-02-08 03:00:00+00:00,-1414.8986,-3075.6231092154326,-8262.188976417556,2119.980796323059
2026-02-08 04:00:00+00:00,-1121.2462,-4153.428751409119,-9336.753114058754,1046.013229768138
2026-02-08 05:00:00+00:00,-1194.3165,-5120.388059588517,-10307.13074584459,68.44539292793388
2026-02-08 06:00:00+00:00,-2462.875,-5844.380845781557,-11037.268685901377,-643.6508419442848
2026-02-08 07:00:00+00:00,-2893.164,-5531.945114109484,-10721.268772479114,-331.6229245984332
2026-02-08 08:00:00+00:00,-2823.3398,-5168.545166174387,-10360.340613031212,32.58057403865814
2026-02-08 09:00:00+00:00,-1810.5898,-4900.773299751314,-10092.309982023122,299.06900158731605
2026-02-08 10:00:00+00:00,-1658.9803,-4614.88834147574,-9805.88746103,577.876343725487
2026-02-08 11:00:00+00:00,-340.086,-4047.8019992387644,-9248.330976150237,1146.302336203646
2026-02-08 12:00:00+00:00,1315.3241,-3312.1060242870185,-8507.298544565774,1885.175451036123
2026-02-08 13:00:00+00:00,1620.5194,-4317.204314231542,-9512.28578891352,877.9933622891172
2026-02-08 14:00:00+00:00,58.577812,-5648.820918559965,-10847.834129094525,-447.73560513142183
2026-02-08 15:00:00+00:00,-2634.914,-7473.668066687228,-12661.765297515189,-2276.136857131338
2026-02-08 16:00:00+00:00,-5850.9297,-7146.236355413201,-12338.217315916287,-1954.9862870422062
2026-02-08 17:00:00+00:00,-6185.574,-5263.112551155606,-10460.946630431505,-65.68098559807595
2026-02-08 18:00:00+00:00,-4474.4062,-3952.7143114224446,-9144.970594166674,1241.5134782247283
2026-02-08 19:00:00+00:00,-3474.5586,-3427.5699841679157,-8620.878536921338,1762.654790352461
2026-02-08 20:00:00+00:00,-2859.7734,-2845.1296642102707,-8036.315501651379,2348.138501285002
2026-02-08 21:00:00+00:00,-2465.121,-1993.678582683495,-7181.293024627139,3200.9094263028414
2026-02-08 22:00:00+00:00,-1235.1486,-1543.5979385911983,-6727.516553521884,3645.604335977778
2026-02-08 23:00:00+00:00,-168.98444,-1577.9639203923089,-6763.159293423713,3616.204888806717
2026-02-09 00:00:00+00:00,436.17963,-4178.983282225866,-9360.42331738456,1013.6043858602175
2026-02-09 01:00:00+00:00,396.08197,-4435.531584973745,-9624.43244590202,757.6039870060899
2026-02-09 02:00:00+00:00,-56.082344,-5228.442592430297,-10416.305344431476,-34.08372621687886
2026-02-09 03:00:00+00:00,-1268.1095,-6068.5733065691,-11257.850889387802,-871.4383933443532
2026-02-09 04:00:00+00:00,-4521.5703,-7463.025674103107,-12655.611348724906,-2263.778864867041
2026-02-09 05:00:00+00:00,-9145.699,-9001.032578451797,-14195.061892664995,-3810.7522271945486
2026-02-09 06:00:00+00:00,-11504.586,-10153.929803863568,-15347.16626845977,-4957.248344270132
2026-02-09 07:00:00+00:00,-10453.918,-10565.519096828504,-15758.478060003968,-5377.140745042583
2026-02-09 08:00:00+00:00,-11241.789,-10522.722614916947,-15729.514025968007,-5337.636581683684
2026-02-09 09:00:00+00:00,-10703.902,-9967.979394213393,-15176.753535270993,-4785.639287835498
2026-02-09 10:00:00+00:00,-9659.512,-9014.857055919974,-14220.27886210497,-3826.3516060808474
2026-02-09 11:00:00+00:00,-8574.242,-8457.562147670158,-13660.916626795577,-3273.1008023050663
2026-02-09 12:00:00+00:00,-7929.582,-7796.3318435978235,-12992.308456337565,-2617.4155261780716
2026-02-09 13:00:00+00:00,-9011.137,-9092.94873562502,-14296.30127540264,-3909.3243450468726
2026-02-09 14:00:00+00:00,-10920.859,-10213.243336032363,-15415.699512306015,-5035.186427787621
2026-02-09 15:00:00+00:00,-10126.215,-11065.600780312876,-16264.39472195174,-5887.027165179513
2026-02-09 16:00:00+00:00,-10655.23,-10396.869631532198,-15592.548438115171,-5216.754017128106
2026-02-09 17:00:00+00:00,-10470.367,-8074.926462683185,-13264.724635345567,-2879.9972216784818
2026-02-09 18:00:00+00:00,-10081.121,-7184.920556499059,-12378.10029093375,-1992.0085491585012
2026-02-09 19:00:00+00:00,-9079.676,-7063.389466484909,-12261.66683637335,-1884.1432029723023
2026-02-09 20:00:00+00:00,-8373.105,-6605.261769677882,-11804.836100525477,-1433.154132183738
2026-02-09 21:00:00+00:00,-7312.1836,-5999.4822040317285,-11192.414920172312,-812.6816252612493
2026-02-09 22:00:00+00:00,-4981.785,-5380.098869927684,-10569.832883376454,-191.22013056326523
2026-02-09 23:00:00+00:00,-2215.75,-5488.145990065019,-10675.972795461428,-300.7681608952157
2026-02-10 00:00:00+00:00,-868.0704,-4458.457629059732,-9647.630980904738,731.6739229399259
2026-02-10 01:00:00+00:00,-211.36334,-4610.22958749085,-9802.829636123495,580.4634875679726
2026-02-10 02:00:00+00:00,-221.62115,-5019.476227026249,-10201.64510290071,182.43186152326916
2026-02-10 03:00:00+00:00,-595.6524,-5848.555137896774,-11023.19341830871,-645.9448412979782
