date,gen_load_diff_delu_actual,gen_load_diff_delu_fitted,gen_load_diff_delu_lower,gen_load_diff_delu_upper
2026-02-04 00:00:00+00:00,4263.5977,5997.081298527167,2005.4462333822212,9988.716363672112
2026-02-04 01:00:00+00:00,3501.644,5684.227617288204,1692.5925521432591,9675.862682433151
2026-02-04 02:00:00+00:00,3449.1802,5055.6183213578615,1063.9832562129168,9047.253386502809
2026-02-04 03:00:00+00:00,2267.7773,4100.39516763424,108.7601024892947,8092.030232779186
2026-02-04 04:00:00+00:00,527.0312,1337.5740728852188,-2654.060992259727,5329.209138030164
2026-02-04 05:00:00+00:00,-3328.6172,-999.591969353176,-4991.227034498122,2992.043095791769
2026-02-04 06:00:00+00:00,-3575.086,-2087.577438609167,-6079.212503754112,1904.0576265357795
2026-02-04 07:00:00+00:00,-3583.2578,-2150.7633914873495,-6142.398456632294,1840.8716736575961
2026-02-04 08:00:00+00:00,-3757.961,-1759.2183549210636,-5750.853420066009,2232.4167102238825
2026-02-04 09:00:00+00:00,-2260.4453,-904.9237953707448,-4896.55886051569,3086.7112697742014
2026-02-04 10:00:00+00:00,-1346.2578,527.3218012541729,-3464.3132638907723,4518.956866399119
2026-02-04 11:00:00+00:00,-1648.2422,1641.6826375905193,-2349.9524275544263,5633.317702735466
2026-02-04 12:00:00+00:00,-1852.125,307.6408345555574,-3683.9942305893883,4299.275899700503
2026-02-04 13:00:00+00:00,-1983.8828,-728.3912829146275,-4720.026348059573,3263.243782230318
2026-02-04 14:00:00+00:00,-3704.914,-532.6081021333366,-4524.243167278282,3459.026963011608
2026-02-04 15:00:00+00:00,-3792.4688,-2073.9968038604784,-6065.631869005424,1917.6382612844673
2026-02-04 16:00:00+00:00,-3398.1172,-1334.0639422335244,-5325.69900737847,2657.5711229114213
2026-02-04 17:00:00+00:00,-3715.4844,-1996.345738120263,-5987.980803265209,1995.2893270246832
2026-02-04 18:00:00+00:00,-3030.2031,-1709.0481275172826,-5700.683192662228,2282.5869376276632
2026-02-04 19:00:00+00:00,-2348.8828,-794.2003442182258,-4785.8354093631715,3197.4347209267207
2026-02-04 20:00:00+00:00,843.9609,859.0677903209407,-3132.5672748240054,4850.7028554658855
2026-02-04 21:00:00+00:00,632.07806,2970.972618580541,-1020.6624465644045,6962.607683725487
2026-02-04 22:00:00+00:00,1658.4531,5467.921727278991,1476.2866621340445,9459.556792423937
2026-02-04 23:00:00+00:00,2992.1055,5508.78963688095,1517.1545717360032,9500.424702025895
2026-02-05 00:00:00+00:00,3157.3438,6781.25963863595,2789.6245734910044,10772.894703780898
2026-02-05 01:00:00+00:00,3160.3555,6612.9058088194715,2621.270743674527,10604.540873964419
2026-02-05 02:00:00+00:00,1743.7539,6856.158445755899,2864.5233806109545,10847.793510900847
2026-02-05 03:00:00+00:00,1215.6641,4893.075221913338,901.4401567683935,8884.710287058286
2026-02-05 04:00:00+00:00,-1265.4375,1383.365114948644,-2608.2699501963016,5375.000180093591
2026-02-05 05:00:00+00:00,-4991.2266,-2037.9746315641944,-6029.60969670914,1953.6604335807515
