date,gen_load_diff_delu_actual,gen_load_diff_delu_fitted,gen_load_diff_delu_lower,gen_load_diff_delu_upper
2026-06-21 00:00:00+00:00,,-9162.949,-11026.588,-7299.3105
2026-06-21 01:00:00+00:00,,-7159.7734,-9023.412,-5296.135
2026-06-21 02:00:00+00:00,,-10227.966,-12091.6045,-8364.327
2026-06-21 03:00:00+00:00,,-10495.022,-12358.662,-8631.384
2026-06-21 04:00:00+00:00,,-10423.718,-12287.355,-8560.079
2026-06-21 05:00:00+00:00,,-9181.804,-11045.442,-7318.1646
2026-06-21 06:00:00+00:00,,-3077.9138,-4941.5522,-1214.2753
2026-06-21 07:00:00+00:00,,275.91376,-1587.725,2139.5522
2026-06-21 08:00:00+00:00,,5342.3247,3478.6865,7205.9634
2026-06-21 09:00:00+00:00,,5950.937,4087.2983,7814.5767
2026-06-21 10:00:00+00:00,,7203.443,5339.803,9067.081
2026-06-21 11:00:00+00:00,,11964.097,10100.457,13827.735
2026-06-21 12:00:00+00:00,,11851.895,9988.255,13715.532
2026-06-21 13:00:00+00:00,,2174.9932,311.35468,4038.6318
2026-06-21 14:00:00+00:00,,-159.78522,-2023.424,1703.8529
2026-06-21 15:00:00+00:00,,-1462.0177,-3325.6562,401.62103
2026-06-21 16:00:00+00:00,,-2067.814,-3931.4526,-204.1756
2026-06-21 17:00:00+00:00,,-6965.236,-8828.875,-5101.597
2026-06-21 18:00:00+00:00,,-7769.871,-9633.51,-5906.233
2026-06-21 19:00:00+00:00,,-10566.416,-12430.056,-8702.778
2026-06-21 20:00:00+00:00,,-8219.741,-10083.379,-6356.102
2026-06-21 21:00:00+00:00,,-5351.064,-7214.7026,-3487.4253
2026-06-21 22:00:00+00:00,,-2184.5635,-4048.202,-320.92487
2026-06-21 23:00:00+00:00,,-4598.4395,-6462.0776,-2734.8008
2026-06-22 00:00:00+00:00,,-5168.246,-7031.885,-3304.6077
2026-06-22 01:00:00+00:00,,-6407.749,-8271.388,-4544.1104
2026-06-22 02:00:00+00:00,,-9724.763,-11588.401,-7861.1235
2026-06-22 03:00:00+00:00,,-10855.84,-12719.4795,-8992.201
2026-06-22 04:00:00+00:00,,-10648.294,-12511.933,-8784.655
2026-06-22 05:00:00+00:00,,-9610.985,-11474.624,-7747.347
2026-06-22 06:00:00+00:00,,-7453.49,-9317.129,-5589.8516
2026-06-22 07:00:00+00:00,,-6311.1504,-8174.789,-4447.512
2026-06-22 08:00:00+00:00,,-4015.3684,-5879.0073,-2151.7297
2026-06-22 09:00:00+00:00,,-121.75544,-1985.394,1741.8832
2026-06-22 10:00:00+00:00,,591.9379,-1271.7006,2455.5767
2026-06-22 11:00:00+00:00,,2867.4702,1003.832,4731.11
2026-06-22 12:00:00+00:00,,3141.0034,1277.3646,5004.642
2026-06-22 13:00:00+00:00,,-402.66046,-2266.299,1460.9784
2026-06-22 14:00:00+00:00,,-4034.2773,-5897.916,-2170.639
2026-06-22 15:00:00+00:00,,-6846.478,-8710.117,-4982.8394
2026-06-22 16:00:00+00:00,,-5630.4766,-7494.115,-3766.8381
2026-06-22 17:00:00+00:00,,-8703.254,-10566.893,-6839.615
2026-06-22 18:00:00+00:00,,-10987.606,-12851.246,-9123.969
2026-06-22 19:00:00+00:00,,-10409.9795,-12273.618,-8546.341
2026-06-22 20:00:00+00:00,,-8006.79,-9870.429,-6143.152
2026-06-22 21:00:00+00:00,,-5283.038,-7146.677,-3419.3994
2026-06-22 22:00:00+00:00,,-7113.891,-8977.529,-5250.2524
2026-06-22 23:00:00+00:00,,-5244.5386,-7108.1772,-3380.9001
2026-06-23 00:00:00+00:00,,-7768.4526,-9632.091,-5904.814
2026-06-23 01:00:00+00:00,,-9444.04,-11307.679,-7580.401
2026-06-23 02:00:00+00:00,,-10645.958,-12509.598,-8782.32
2026-06-23 03:00:00+00:00,,-13156.984,-15020.623,-11293.345
2026-06-23 04:00:00+00:00,,-12520.074,-14383.712,-10656.436
2026-06-23 05:00:00+00:00,,-10622.189,-12485.828,-8758.551
2026-06-23 06:00:00+00:00,,-8034.256,-9897.895,-6170.617
2026-06-23 07:00:00+00:00,,-6765.448,-8629.087,-4901.8096
2026-06-23 08:00:00+00:00,,-4485.5947,-6349.2334,-2621.956
2026-06-23 09:00:00+00:00,,-1290.3302,-3153.9688,573.30853
2026-06-23 10:00:00+00:00,,-473.461,-2337.0996,1390.1776
2026-06-23 11:00:00+00:00,,3246.414,1382.7753,5110.0522
2026-06-23 12:00:00+00:00,,6754.061,4890.4214,8617.699
2026-06-23 13:00:00+00:00,,-40.534737,-1904.1733,1823.1039
2026-06-23 14:00:00+00:00,,-1955.7273,-3819.366,-92.08845
2026-06-23 15:00:00+00:00,,-5395.1426,-7258.7812,-3531.504
2026-06-23 16:00:00+00:00,,-9775.475,-11639.114,-7911.8364
2026-06-23 17:00:00+00:00,,-11060.085,-12923.724,-9196.446
2026-06-23 18:00:00+00:00,,-12941.56,-14805.198,-11077.921
2026-06-23 19:00:00+00:00,,-12636.5625,-14500.201,-10772.924
2026-06-23 20:00:00+00:00,,-11173.984,-13037.624,-9310.346
2026-06-23 21:00:00+00:00,,-9841.398,-11705.037,-7977.7593
2026-06-23 22:00:00+00:00,,-10522.407,-12386.046,-8658.769
2026-06-23 23:00:00+00:00,,-11464.834,-13328.472,-9601.195
2026-06-24 00:00:00+00:00,,-9491.201,-11354.839,-7627.562
2026-06-24 01:00:00+00:00,,-11765.033,-13628.672,-9901.395
2026-06-24 02:00:00+00:00,,-12664.617,-14528.257,-10800.979
2026-06-24 03:00:00+00:00,,-13268.921,-15132.559,-11405.282
2026-06-24 04:00:00+00:00,,-14771.218,-16634.855,-12907.58
2026-06-24 05:00:00+00:00,,-11450.062,-13313.7,-9586.423
2026-06-24 06:00:00+00:00,,-8294.321,-10157.96,-6430.683
2026-06-24 07:00:00+00:00,,-4480.1484,-6343.787,-2616.5098
2026-06-24 08:00:00+00:00,,-927.2076,-2790.8462,936.4311
2026-06-24 09:00:00+00:00,,2271.9727,408.3344,4135.6113
2026-06-24 10:00:00+00:00,,5687.226,3823.588,7550.864
2026-06-24 11:00:00+00:00,,9126.14,7262.5024,10989.778
2026-06-24 12:00:00+00:00,,11151.983,9288.345,13015.622
2026-06-24 13:00:00+00:00,,3668.5327,1804.8944,5532.1714
