date,gen_load_diff_delu_actual,gen_load_diff_delu_fitted,gen_load_diff_delu_lower,gen_load_diff_delu_upper
2026-08-02 00:00:00+00:00,-9642.701,-9882.906,-11746.545,-8019.2676
2026-08-02 01:00:00+00:00,-9419.551,-9243.84,-11107.479,-7380.201
2026-08-02 02:00:00+00:00,-9911.299,-10398.844,-12262.482,-8535.205
2026-08-02 03:00:00+00:00,-10993.859,-12262.487,-14126.127,-10398.849
2026-08-02 04:00:00+00:00,-10157.391,-10343.4795,-12207.118,-8479.841
2026-08-02 05:00:00+00:00,-5876.8516,-7952.0024,-9815.642,-6088.364
2026-08-02 06:00:00+00:00,164.65228,-4230.217,-6093.8555,-2366.5781
2026-08-02 07:00:00+00:00,7598.098,6777.8286,4914.189,8641.467
2026-08-02 08:00:00+00:00,14774.835,8950.352,7086.7144,10813.989
2026-08-02 09:00:00+00:00,18373.715,12463.776,10600.138,14327.415
2026-08-02 10:00:00+00:00,20621.004,14625.487,12761.849,16489.127
2026-08-02 11:00:00+00:00,20949.746,14553.563,12689.924,16417.203
2026-08-02 12:00:00+00:00,21311.844,14452.351,12588.712,16315.989
2026-08-02 13:00:00+00:00,18034.102,12323.1045,10459.466,14186.743
2026-08-02 14:00:00+00:00,13608.319,11924.409,10060.77,13788.048
2026-08-02 15:00:00+00:00,6342.5317,6849.1616,4985.522,8712.8
2026-08-02 16:00:00+00:00,-1026.6212,-1367.6705,-3231.3088,495.9682
2026-08-02 17:00:00+00:00,-5336.7305,-6888.806,-8752.445,-5025.1675
2026-08-02 18:00:00+00:00,-7760.0786,-9823.563,-11687.202,-7959.925
2026-08-02 19:00:00+00:00,-3257.9492,-5884.243,-7747.8813,-4020.6045
2026-08-02 20:00:00+00:00,-769.35944,-185.0567,-2048.6953,1678.5819
2026-08-02 21:00:00+00:00,1243.1874,401.51434,-1462.1241,2265.1528
2026-08-02 22:00:00+00:00,3070.0508,1167.4886,-696.14996,3031.1274
2026-08-02 23:00:00+00:00,3271.5938,840.3066,-1023.33185,2703.9453
2026-08-03 00:00:00+00:00,3203.246,100.06707,-1763.5717,1963.7054
2026-08-03 01:00:00+00:00,2611.8008,-586.9522,-2450.5908,1276.6859
2026-08-03 02:00:00+00:00,1344.3202,-2488.4412,-4352.0796,-624.80255
2026-08-03 03:00:00+00:00,-1171.6954,-5871.5728,-7735.2114,-4007.934
2026-08-03 04:00:00+00:00,-3349.336,-6525.854,-8389.492,-4662.2153
2026-08-03 05:00:00+00:00,-2853.5781,-6140.462,-8004.1,-4276.823
2026-08-03 06:00:00+00:00,-951.1407,-6548.3613,-8412.0,-4684.7227
2026-08-03 07:00:00+00:00,3673.2148,-1696.0575,-3559.696,167.581
