date,gen_load_diff_delu_actual,gen_load_diff_delu_fitted,gen_load_diff_delu_lower,gen_load_diff_delu_upper
2026-02-04 00:00:00+00:00,4263.5977,4624.9365,1649.1499,7600.7217
2026-02-04 01:00:00+00:00,3501.644,5451.587,2475.8008,8427.373
2026-02-04 02:00:00+00:00,3449.1802,5046.3896,2070.6035,8022.176
2026-02-04 03:00:00+00:00,2267.7773,5674.2275,2698.442,8650.014
2026-02-04 04:00:00+00:00,527.0312,1366.7915,-1608.9944,4342.577
2026-02-04 05:00:00+00:00,-3328.6172,-2840.8933,-5816.6797,134.89252
2026-02-04 06:00:00+00:00,-3575.086,-4788.4062,-7764.1924,-1812.6204
2026-02-04 07:00:00+00:00,-3583.2578,-991.1839,-3966.97,1984.602
2026-02-04 08:00:00+00:00,-3757.961,-1392.812,-4368.598,1582.9741
2026-02-04 09:00:00+00:00,-2260.4453,-2113.1177,-5088.904,862.6684
2026-02-04 10:00:00+00:00,-1346.2578,1293.7471,-1682.0391,4269.533
2026-02-04 11:00:00+00:00,-1648.2422,-414.01642,-3389.8025,2561.7695
2026-02-04 12:00:00+00:00,-1852.125,-2877.7908,-5853.5767,97.99531
2026-02-04 13:00:00+00:00,-1983.8828,-1639.294,-4615.08,1336.4922
2026-02-04 14:00:00+00:00,-3704.914,-2148.5093,-5124.2954,827.2768
2026-02-04 15:00:00+00:00,-3792.4688,-1170.741,-4146.527,1805.0454
2026-02-04 16:00:00+00:00,-3398.1172,-4055.9412,-7031.7275,-1080.155
2026-02-04 17:00:00+00:00,-3715.4844,-2669.3806,-5645.1665,306.4057
2026-02-04 18:00:00+00:00,-3030.2031,567.3803,-2408.4055,3543.166
2026-02-04 19:00:00+00:00,-2348.8828,1156.8623,-1818.924,4132.648
2026-02-04 20:00:00+00:00,843.9609,1787.293,-1188.4932,4763.079
2026-02-04 21:00:00+00:00,632.07806,2132.1401,-843.6463,5107.926
2026-02-04 22:00:00+00:00,1658.4531,2951.4487,-24.337458,5927.2344
2026-02-04 23:00:00+00:00,2992.1055,4590.124,1614.3379,7565.91
2026-02-05 00:00:00+00:00,3157.3438,6475.3613,3499.5752,9451.147
2026-02-05 01:00:00+00:00,3160.3555,6604.167,3628.3809,9579.953
2026-02-05 02:00:00+00:00,1743.7539,6461.0664,3485.2803,9436.853
2026-02-05 03:00:00+00:00,1215.6641,4398.0723,1422.2861,7373.8584
2026-02-05 04:00:00+00:00,-1265.4375,1404.1445,-1571.6414,4379.93
2026-02-05 05:00:00+00:00,-4991.2266,-104.37798,-3080.1638,2871.4082
2026-02-05 06:00:00+00:00,-8582.512,-995.5694,-3971.3555,1980.2163
2026-02-05 07:00:00+00:00,-8774.219,-2606.5908,-5582.377,369.19525
2026-02-05 08:00:00+00:00,-9248.539,-2873.8013,-5849.5874,101.984566
2026-02-05 09:00:00+00:00,-7711.7266,-3819.7285,-6795.5146,-843.94244
2026-02-05 10:00:00+00:00,-6302.508,-8542.342,-11518.129,-5566.5557
2026-02-05 11:00:00+00:00,-4853.0312,-10597.938,-13573.725,-7622.153
2026-02-05 12:00:00+00:00,-3448.6484,-9002.964,-11978.75,-6027.1777
2026-02-05 13:00:00+00:00,-3490.3906,-8313.621,-11289.407,-5337.8345
2026-02-05 14:00:00+00:00,-5501.1953,-9213.577,-12189.362,-6237.791
2026-02-05 15:00:00+00:00,-6952.051,-7265.212,-10240.998,-4289.426
2026-02-05 16:00:00+00:00,-7740.3906,-3829.109,-6804.895,-853.32306
2026-02-05 17:00:00+00:00,-7577.3047,-2638.5286,-5614.3145,337.25775
2026-02-05 18:00:00+00:00,-8085.9844,-4714.6094,-7690.3955,-1738.8236
2026-02-05 19:00:00+00:00,-7880.867,-1513.1946,-4488.9805,1462.5918
2026-02-05 20:00:00+00:00,-7372.629,-2224.5825,-5200.3687,751.20355
2026-02-05 21:00:00+00:00,-6151.8047,1027.3999,-1948.386,4003.1865
2026-02-05 22:00:00+00:00,-4388.4023,1845.7207,-1130.0652,4821.507
2026-02-05 23:00:00+00:00,-2589.3867,1232.7417,-1743.0444,4208.528
2026-02-06 00:00:00+00:00,-1821.543,668.2299,-2307.556,3644.0156
2026-02-06 01:00:00+00:00,-2032.9062,2833.209,-142.57721,5808.995
2026-02-06 02:00:00+00:00,-3320.3203,2153.8901,-821.8958,5129.676
2026-02-06 03:00:00+00:00,-4301.7773,339.57562,-2636.2102,3315.3618
2026-02-06 04:00:00+00:00,-7142.3164,-3567.199,-6542.985,-591.4129
2026-02-06 05:00:00+00:00,-10968.461,-7767.664,-10743.45,-4791.878
2026-02-06 06:00:00+00:00,-12920.734,-9594.636,-12570.422,-6618.85
2026-02-06 07:00:00+00:00,-13214.539,-8201.12,-11176.905,-5225.3335
2026-02-06 08:00:00+00:00,-12954.039,-10372.201,-13347.986,-7396.415
2026-02-06 09:00:00+00:00,-12231.602,-8520.443,-11496.2295,-5544.6577
2026-02-06 10:00:00+00:00,-12009.605,-11514.253,-14490.039,-8538.467
2026-02-06 11:00:00+00:00,-12150.328,-12527.446,-15503.232,-9551.661
2026-02-06 12:00:00+00:00,-11940.75,-12558.796,-15534.582,-9583.011
2026-02-06 13:00:00+00:00,-10887.281,-11818.775,-14794.561,-8842.989
2026-02-06 14:00:00+00:00,-11683.527,-8519.919,-11495.704,-5544.1323
2026-02-06 15:00:00+00:00,-11616.113,-6321.6445,-9297.431,-3345.8582
2026-02-06 16:00:00+00:00,-12073.949,-8871.101,-11846.887,-5895.3145
2026-02-06 17:00:00+00:00,-12860.941,-11393.896,-14369.683,-8418.11
2026-02-06 18:00:00+00:00,-13219.875,-11444.368,-14420.154,-8468.582
2026-02-06 19:00:00+00:00,-10902.469,-9714.186,-12689.972,-6738.4
2026-02-06 20:00:00+00:00,-7294.7617,-9382.204,-12357.99,-6406.418
2026-02-06 21:00:00+00:00,-6645.1445,-5342.174,-8317.96,-2366.3875
2026-02-06 22:00:00+00:00,-5279.3164,-5160.4277,-8136.214,-2184.6416
2026-02-06 23:00:00+00:00,-2811.168,-3991.0742,-6966.8604,-1015.28815
2026-02-07 00:00:00+00:00,-1491.9883,-3920.6223,-6896.4087,-944.83624
2026-02-07 01:00:00+00:00,-759.211,-5019.7324,-7995.5186,-2043.9463
2026-02-07 02:00:00+00:00,-859.67975,-4608.84,-7584.626,-1633.054
2026-02-07 03:00:00+00:00,-1231.7852,-4826.8545,-7802.6406,-1851.0685
2026-02-07 04:00:00+00:00,-1868.086,-4792.782,-7768.5684,-1816.9962
2026-02-07 05:00:00+00:00,-3103.2578,-4812.2017,-7787.988,-1836.4155
2026-02-07 06:00:00+00:00,-5181.914,-5765.398,-8741.184,-2789.6116
2026-02-07 07:00:00+00:00,-6782.617,-7631.0894,-10606.875,-4655.303
2026-02-07 08:00:00+00:00,-6892.7188,-7656.654,-10632.439,-4680.8677
2026-02-07 09:00:00+00:00,-5722.7695,-5695.85,-8671.637,-2720.064
2026-02-07 10:00:00+00:00,-4379.7383,-6449.3984,-9425.185,-3473.6123
2026-02-07 11:00:00+00:00,-2894.0195,-8327.797,-11303.583,-5352.0107
2026-02-07 12:00:00+00:00,-1881.578,-8386.148,-11361.935,-5410.363
2026-02-07 13:00:00+00:00,-2688.746,-7645.4487,-10621.235,-4669.6626
2026-02-07 14:00:00+00:00,-6116.7656,-10233.024,-13208.811,-7257.2383
