number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,2962.39016855583,small,0.8227196917501869,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,0.1704843624277228,7,35,0.22564613889625051,875,28,none,0.10238503524749427,1.1838095224384507e-06,short,max,0.7703246313275904,none,False,COMPLETE
1,3005.515640349275,medium,0.8668914005928333,False,False,False,True,False,True,False,True,True,True,True,False,True,False,True,False,False,0.2720685819835299,8,43,0.4711394527292681,763,148,none,0.007395564467345764,8.212399327877082e-05,short,population,0.9781869006654709,none,False,COMPLETE
2,2836.706664327255,none,0.9213578282185357,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,True,0.08512733002727524,12,86,0.1651670572807083,386,107,medium,0.15175579279186316,0.0014215642943399833,none,None,0.7677899650118349,small,False,COMPLETE
3,3232.1396357010544,small,0.6851369814872009,True,False,True,False,True,True,True,False,False,True,False,False,True,False,True,True,False,0.2848538824731919,6,93,0.06367761681775908,595,50,small,2.3329030386256407e-07,2.76764088294074e-06,short,population,0.7945142437500721,small,False,COMPLETE
4,2803.674910481873,medium,0.7214190293946878,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0.11323201175209967,8,76,0.3658553070520183,517,95,medium,1.2149668439348525e-07,0.09039253441789422,long,energy,0.597686372085626,medium,True,COMPLETE
5,2946.9212739702743,medium,0.6699469366315196,True,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,False,0.12827954716947268,16,33,0.2674348483826145,740,145,none,1.0429605186081988e-06,5.336740652174851e-08,short,population,0.5057191633287899,small,False,COMPLETE
6,2897.6387158025987,medium,0.7896998260759648,True,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,True,0.17362713578409064,12,12,0.04368277487158212,502,79,medium,1.3960547158873313e-07,3.156061407857556e-08,long,distance_energy,0.8746022364884289,small,True,COMPLETE
7,3107.959209253943,none,0.9983586659979266,False,True,True,False,True,False,True,False,True,False,True,True,False,True,True,False,False,0.09442404504704399,8,7,0.3683766483322547,948,86,small,3.5859064346195667e-07,2.0154484045207826e-06,long,population,0.8486069986928955,none,True,COMPLETE
8,2847.5322796412097,none,0.8687416636254237,True,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,0.013610256934506664,4,61,0.24611440841319238,376,97,none,0.011283745310954125,3.845156856047632e-06,long,population,0.6849825001757185,none,True,COMPLETE
9,2989.367325159857,medium,0.5163468700730989,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,True,True,0.02082991443708279,16,38,0.0851561368650745,696,100,small,0.021885268062786158,0.014459448375986323,long,mean,0.5890039115488803,small,False,COMPLETE
10,2868.6878178535057,medium,0.5622621278356106,False,True,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,0.034374353701702595,3,70,0.48949893323401344,539,54,medium,2.6241385297631648e-05,0.39468696528836145,none,energy,0.6471609925496544,medium,True,COMPLETE
11,2801.4308802201126,none,0.9737159855331758,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.0622462761352935,12,87,0.1500098554139777,301,123,medium,0.9115409798253995,0.008048415860494158,none,None,0.6827855981117242,medium,True,COMPLETE
12,2766.2878859706593,none,0.709553792105931,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.04984886067758447,11,77,0.40149140546217255,309,120,medium,1.071731521429674e-08,0.9497604780440284,none,idw,0.5888965250888719,medium,True,COMPLETE
13,2810.0078730333735,none,0.6148634421475044,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.04673642264712376,11,97,0.3598823168012608,381,124,medium,0.0004249541664378899,0.8852089593912479,none,idw,0.5153747462397613,medium,True,COMPLETE
14,2815.4186478431607,none,0.955142119764621,False,True,True,True,False,True,False,True,False,False,False,True,False,True,False,False,True,0.05585689877960534,14,82,0.13499113659555045,302,126,medium,1.005016511258337e-08,0.005665810828920085,none,None,0.6892510915581775,medium,True,COMPLETE
15,2721.5219833404276,none,0.7602814731307128,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.02715238332446188,10,61,0.31441097817704367,300,127,medium,2.09091986671218e-05,0.0006140390905290428,none,distance_population,0.6004291918289071,medium,True,COMPLETE
16,2715.1825524545693,none,0.7664084310065623,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.02453070273851077,10,58,0.41160046566064407,443,68,medium,1.34285935731086e-05,0.00018326372394601048,none,distance_population,0.5716504042242071,medium,True,COMPLETE
17,2715.2119608198973,none,0.774886104806694,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.02038939520382527,10,54,0.2999953484985628,454,69,medium,2.221650659770374e-05,0.00010414205458696644,none,distance_population,0.5600088221425953,medium,True,COMPLETE
18,2921.4556201428254,small,0.6332784865585858,False,True,True,False,True,True,True,True,False,False,False,True,False,False,True,False,True,0.010276563790387357,14,50,0.4333304341950903,443,64,medium,0.00037900589446596594,2.775048737314397e-05,none,distance_population,0.5426326914093769,medium,True,COMPLETE
19,2691.936014694886,none,0.8099614309058136,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.01835784699440486,5,23,0.3061599191291944,615,10,small,2.8684779667628197e-06,0.00037951019408632227,none,distance_population,0.6451904521900409,medium,True,COMPLETE
20,2705.5221224268607,none,0.8425528795690455,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True,0.015166102737161626,5,26,0.4347759352143068,613,24,small,2.9482179485989746e-06,0.00038554362736283797,none,distance_population,0.6407666116414772,medium,True,COMPLETE
