date,gen_load_diff_delu_actual,gen_load_diff_delu_fitted,gen_load_diff_delu_lower,gen_load_diff_delu_upper
2026-05-14 00:00:00+00:00,-1357.879,2639.5264617890557,549.4096452294011,4729.643278348711
2026-05-14 01:00:00+00:00,-1386.5157,2852.8647299773543,762.7479134176997,4942.981546537008
2026-05-14 02:00:00+00:00,-1708.2734,2258.2071865540543,168.09036999439968,4348.324003113708
2026-05-14 03:00:00+00:00,-1681.6993,-3310.4497268295913,-5400.566543389246,-1220.3329102699367
2026-05-14 04:00:00+00:00,935.5937,-1453.638626287313,-3543.7554428469675,636.4781902723412
2026-05-14 05:00:00+00:00,3584.5586,-1324.2960634526394,-3414.412880012294,765.8207531070152
2026-05-14 06:00:00+00:00,4809.3833,-133.5663598147098,-2223.6831763743644,1956.5504567449448
2026-05-14 07:00:00+00:00,7754.6216,3345.3658003201904,1255.2489837605358,5435.4826168798445
2026-05-14 08:00:00+00:00,9875.719,9010.968070477533,6920.851253917877,11101.084887037188
2026-05-14 09:00:00+00:00,10699.716,10426.169435703941,8336.052619144288,12516.286252263595
2026-05-14 10:00:00+00:00,14345.042,13783.466764327324,11693.34994776767,15873.583580886982
2026-05-14 11:00:00+00:00,15180.456,12079.908932356664,9989.792115797009,14170.02574891632
2026-05-14 12:00:00+00:00,15425.026,11374.691418765282,9284.574602205626,13464.808235324937
2026-05-14 13:00:00+00:00,13413.8545,10377.655701856256,8287.5388852966,12467.772518415912
2026-05-14 14:00:00+00:00,8356.359,6612.424223296741,4522.307406737087,8702.541039856394
2026-05-14 15:00:00+00:00,3903.3755,824.3759196124333,-1265.7408969472212,2914.492736172088
2026-05-14 16:00:00+00:00,-2944.5547,-5857.803477887908,-7947.920294447564,-3767.686661328254
2026-05-14 17:00:00+00:00,-7930.8516,-9164.82997015655,-11254.946786716204,-7074.713153596895
2026-05-14 18:00:00+00:00,-10837.395,-10688.110864201484,-12778.22768076114,-8597.99404764183
2026-05-14 19:00:00+00:00,-11815.388,-11105.12211733493,-13195.238933894583,-9015.005300775274
2026-05-14 20:00:00+00:00,-9908.215,-10178.297993763521,-12268.414810323176,-8088.181177203867
2026-05-14 21:00:00+00:00,-9503.488,-9229.071624316186,-11319.18844087584,-7138.9548077565305
2026-05-14 22:00:00+00:00,-8297.518,-6928.925987228989,-9019.042803788643,-4838.809170669334
2026-05-14 23:00:00+00:00,-8030.3027,-4879.077036810309,-6969.193853369965,-2788.9602202506553
2026-05-15 00:00:00+00:00,-7143.5195,-4026.60701362037,-6116.723830180024,-1936.490197060715
2026-05-15 01:00:00+00:00,-7611.8633,-3192.1662990193518,-5282.283115579006,-1102.0494824596972
