date,gen_load_diff_delu_actual,gen_load_diff_delu_fitted,gen_load_diff_delu_lower,gen_load_diff_delu_upper
2026-02-06 00:00:00+00:00,-1821.543,-2916.3179498557192,-4976.526949228859,-856.1089504825786
2026-02-06 01:00:00+00:00,-2032.9062,-3486.5123402549766,-5546.721339628117,-1426.3033408818364
2026-02-06 02:00:00+00:00,-3320.3203,-3636.083125067808,-5696.292124440948,-1575.8741256946673
2026-02-06 03:00:00+00:00,-4301.7773,-4701.121417955516,-6761.330417328657,-2640.9124185823757
2026-02-06 04:00:00+00:00,-7142.3164,-6410.780279102922,-8470.989278476061,-4350.571279729781
2026-02-06 05:00:00+00:00,-10968.461,-8052.931798628644,-10113.140798001787,-5992.7227992555045
2026-02-06 06:00:00+00:00,-12920.734,-10453.225334526549,-12513.434333899688,-8393.016335153408
2026-02-06 07:00:00+00:00,-13214.539,-11569.197944724405,-13629.406944097545,-9508.988945351264
2026-02-06 08:00:00+00:00,-12954.039,-11323.022910685575,-13383.231910058716,-9262.813911312434
2026-02-06 09:00:00+00:00,-12231.602,-11279.767298054125,-13339.976297427265,-9219.558298680986
2026-02-06 10:00:00+00:00,-12009.605,-10906.785719991727,-12966.994719364868,-8846.576720618586
2026-02-06 11:00:00+00:00,-12150.328,-9821.75339212699,-11881.96239150013,-7761.544392753849
2026-02-06 12:00:00+00:00,-11940.75,-9624.883212825724,-11685.092212198862,-7564.674213452583
2026-02-06 13:00:00+00:00,-10887.282,-10447.556573277107,-12507.765572650247,-8387.347573903966
2026-02-06 14:00:00+00:00,-11683.527,-11515.464686199408,-13575.673685572548,-9455.255686826269
2026-02-06 15:00:00+00:00,-11616.113,-12418.530112893122,-14478.739112266263,-10358.321113519982
2026-02-06 16:00:00+00:00,-12073.949,-11403.525707097378,-13463.734706470519,-9343.316707724238
2026-02-06 17:00:00+00:00,-12860.941,-11129.574404505824,-13189.783403878964,-9069.365405132683
2026-02-06 18:00:00+00:00,-13219.875,-10569.506189500826,-12629.715188873966,-8509.297190127685
2026-02-06 19:00:00+00:00,-10902.469,-10125.710209451257,-12185.919208824398,-8065.501210078117
2026-02-06 20:00:00+00:00,-7294.7617,-8812.884038800747,-10873.093038173889,-6752.675039427607
