date,gen_load_diff_delu_actual,gen_load_diff_delu_fitted,gen_load_diff_delu_lower,gen_load_diff_delu_upper
2026-08-03 00:00:00+00:00,,-114.29792,-912.56866,683.9731
2026-08-03 01:00:00+00:00,,-3208.2021,-4006.473,-2409.9314
2026-08-03 02:00:00+00:00,,-4072.1384,-4870.409,-3273.8677
2026-08-03 03:00:00+00:00,,-4832.8315,-5631.102,-4034.561
2026-08-03 04:00:00+00:00,,-6324.3867,-7122.657,-5526.1157
2026-08-03 05:00:00+00:00,,-7177.6484,-7975.919,-6379.378
2026-08-03 06:00:00+00:00,,-5532.0854,-6330.3564,-4733.815
2026-08-03 07:00:00+00:00,,-4428.118,-5226.3887,-3629.8472
2026-08-03 08:00:00+00:00,,-3703.4722,-4501.743,-2905.2014
2026-08-03 09:00:00+00:00,,24.111015,-774.1597,822.3818
2026-08-03 10:00:00+00:00,,6722.723,5924.4517,7520.9937
2026-08-03 11:00:00+00:00,,8489.338,7691.068,9287.608
2026-08-03 12:00:00+00:00,,11065.273,10267.003,11863.545
2026-08-03 13:00:00+00:00,,5400.3687,4602.098,6198.639
2026-08-03 14:00:00+00:00,,2514.4683,1716.1976,3312.7393
2026-08-03 15:00:00+00:00,,-364.97394,-1163.2448,433.2973
2026-08-03 16:00:00+00:00,,-2691.2124,-3489.4832,-1892.9418
2026-08-03 17:00:00+00:00,,-4933.3564,-5731.6274,-4135.086
2026-08-03 18:00:00+00:00,,-7177.126,-7975.397,-6378.8555
2026-08-03 19:00:00+00:00,,-3376.9185,-4175.1895,-2578.6477
2026-08-03 20:00:00+00:00,,-2483.5835,-3281.8542,-1685.3127
2026-08-03 21:00:00+00:00,,-125.18391,-923.45465,673.08685
2026-08-03 22:00:00+00:00,,-3548.3276,-4346.598,-2750.057
2026-08-03 23:00:00+00:00,,-3578.6643,-4376.935,-2780.3936
2026-08-04 00:00:00+00:00,,73.13372,-725.137,871.4047
2026-08-04 01:00:00+00:00,,-1226.4169,-2024.6876,-428.14606
2026-08-04 02:00:00+00:00,,-4935.876,-5734.1465,-4137.6055
2026-08-04 03:00:00+00:00,,-5421.79,-6220.0605,-4623.519
2026-08-04 04:00:00+00:00,,-6344.412,-7142.6826,-5546.141
2026-08-04 05:00:00+00:00,,-8100.695,-8898.966,-7302.4243
2026-08-04 06:00:00+00:00,,-9914.197,-10712.468,-9115.927
2026-08-04 07:00:00+00:00,,-7740.8984,-8539.169,-6942.628
2026-08-04 08:00:00+00:00,,-5297.2354,-6095.5063,-4498.965
2026-08-04 09:00:00+00:00,,-1805.624,-2603.8948,-1007.35333
2026-08-04 10:00:00+00:00,,3030.2534,2231.9824,3828.524
2026-08-04 11:00:00+00:00,,3056.2202,2257.9492,3854.4907
2026-08-04 12:00:00+00:00,,3716.9658,2918.6953,4515.237
2026-08-04 13:00:00+00:00,,1597.0638,798.7934,2395.3345
2026-08-04 14:00:00+00:00,,-2420.0176,-3218.2883,-1621.747
2026-08-04 15:00:00+00:00,,-6581.051,-7379.322,-5782.7803
2026-08-04 16:00:00+00:00,,-9744.3,-10542.571,-8946.029
2026-08-04 17:00:00+00:00,,-8679.192,-9477.463,-7880.921
2026-08-04 18:00:00+00:00,,-8760.3,-9558.571,-7962.0293
2026-08-04 19:00:00+00:00,,-10879.65,-11677.921,-10081.38
2026-08-04 20:00:00+00:00,,-8416.909,-9215.18,-7618.638
2026-08-04 21:00:00+00:00,,-10440.224,-11238.495,-9641.953
2026-08-04 22:00:00+00:00,,-10609.861,-11408.132,-9811.591
2026-08-04 23:00:00+00:00,,-10746.349,-11544.619,-9948.078
2026-08-05 00:00:00+00:00,,-10350.316,-11148.587,-9552.045
2026-08-05 01:00:00+00:00,,-9262.201,-10060.472,-8463.931
2026-08-05 02:00:00+00:00,,-8667.298,-9465.568,-7869.027
2026-08-05 03:00:00+00:00,,-7161.5327,-7959.803,-6363.2617
2026-08-05 04:00:00+00:00,,-8296.6045,-9094.876,-7498.334
2026-08-05 05:00:00+00:00,,-10152.437,-10950.707,-9354.166
2026-08-05 06:00:00+00:00,,-8493.873,-9292.144,-7695.602
2026-08-05 07:00:00+00:00,,-4309.5913,-5107.8623,-3511.3208
2026-08-05 08:00:00+00:00,,-1259.2411,-2057.5117,-460.97028
2026-08-05 09:00:00+00:00,,1331.059,532.788,2129.3296
2026-08-05 10:00:00+00:00,,3633.3857,2835.1147,4431.6562
2026-08-05 11:00:00+00:00,,4500.0635,3701.793,5298.3345
2026-08-05 12:00:00+00:00,,7802.9985,7004.728,8601.269
2026-08-05 13:00:00+00:00,,1767.1381,968.8676,2565.4092
2026-08-05 14:00:00+00:00,,673.29193,-124.97883,1471.5629
2026-08-05 15:00:00+00:00,,-954.77155,-1753.0422,-156.5008
2026-08-05 16:00:00+00:00,,-5140.071,-5938.3413,-4341.8
2026-08-05 17:00:00+00:00,,-7480.593,-8278.864,-6682.3223
2026-08-05 18:00:00+00:00,,-10414.544,-11212.815,-9616.273
2026-08-05 19:00:00+00:00,,-11204.445,-12002.716,-10406.174
2026-08-05 20:00:00+00:00,,-11779.872,-12578.143,-10981.601
2026-08-05 21:00:00+00:00,,-7469.4897,-8267.761,-6671.219
2026-08-05 22:00:00+00:00,,-8376.372,-9174.643,-7578.101
2026-08-05 23:00:00+00:00,,-6181.1753,-6979.446,-5382.9043
2026-08-06 00:00:00+00:00,,-6145.8193,-6944.0903,-5347.549
2026-08-06 01:00:00+00:00,,-2939.6797,-3737.9504,-2141.409
2026-08-06 02:00:00+00:00,,-7024.1294,-7822.4,-6225.859
2026-08-06 03:00:00+00:00,,-6570.745,-7369.016,-5772.4746
2026-08-06 04:00:00+00:00,,-8473.584,-9271.8545,-7675.3125
2026-08-06 05:00:00+00:00,,-9043.551,-9841.821,-8245.28
2026-08-06 06:00:00+00:00,,-8227.85,-9026.12,-7429.5786
2026-08-06 07:00:00+00:00,,-6613.9814,-7412.252,-5815.711
2026-08-06 08:00:00+00:00,,-1012.65753,-1810.9282,-214.38678
2026-08-06 09:00:00+00:00,,6466.2896,5668.019,7264.56
2026-08-06 10:00:00+00:00,,11759.009,10960.739,12557.278
2026-08-06 11:00:00+00:00,,13513.427,12715.155,14311.698
2026-08-06 12:00:00+00:00,,12685.21,11886.938,13483.481
2026-08-06 13:00:00+00:00,,11100.326,10302.056,11898.598
2026-08-06 14:00:00+00:00,,7661.097,6862.8267,8459.367
2026-08-06 15:00:00+00:00,,4042.857,3244.586,4841.1274
2026-08-06 16:00:00+00:00,,2642.0073,1843.7367,3440.2783
2026-08-06 17:00:00+00:00,,-147.33112,-945.6016,650.9399
2026-08-06 18:00:00+00:00,,-5355.7446,-6154.015,-4557.4736
2026-08-06 19:00:00+00:00,,-7224.514,-8022.7847,-6426.243
2026-08-06 20:00:00+00:00,,-6855.483,-7653.7534,-6057.2124
2026-08-06 21:00:00+00:00,,-5413.166,-6211.4365,-4614.895
2026-08-06 22:00:00+00:00,,-6818.832,-7617.1025,-6020.5615
2026-08-06 23:00:00+00:00,,-7488.9404,-8287.212,-6690.67
2026-08-07 00:00:00+00:00,,-8269.119,-9067.39,-7470.848
2026-08-07 01:00:00+00:00,,-8269.113,-9067.384,-7470.8423
2026-08-07 02:00:00+00:00,,-7537.233,-8335.504,-6738.962
2026-08-07 03:00:00+00:00,,-8210.999,-9009.27,-7412.728
2026-08-07 04:00:00+00:00,,-8968.295,-9766.566,-8170.0244
2026-08-07 05:00:00+00:00,,-12119.291,-12917.562,-11321.0205
2026-08-07 06:00:00+00:00,,-9053.513,-9851.783,-8255.241
2026-08-07 07:00:00+00:00,,-4269.3823,-5067.6533,-3471.1116
2026-08-07 08:00:00+00:00,,-2098.469,-2896.7397,-1300.1984
2026-08-07 09:00:00+00:00,,2312.0752,1513.8046,3110.3462
2026-08-07 10:00:00+00:00,,5682.901,4884.6304,6481.1714
2026-08-07 11:00:00+00:00,,7456.354,6658.0835,8254.625
2026-08-07 12:00:00+00:00,,7723.192,6924.9204,8521.462
2026-08-07 13:00:00+00:00,,4365.6206,3567.3496,5163.891
2026-08-07 14:00:00+00:00,,292.06195,-506.2088,1090.3324
2026-08-07 15:00:00+00:00,,-3199.6956,-3997.9663,-2401.4248
2026-08-07 16:00:00+00:00,,-5916.1685,-6714.4395,-5117.898
2026-08-07 17:00:00+00:00,,-10664.203,-11462.475,-9865.933
2026-08-07 18:00:00+00:00,,-10763.851,-11562.121,-9965.58
2026-08-07 19:00:00+00:00,,-12588.892,-13387.162,-11790.621
2026-08-07 20:00:00+00:00,,-11065.884,-11864.155,-10267.613
2026-08-07 21:00:00+00:00,,-11774.383,-12572.654,-10976.112
2026-08-07 22:00:00+00:00,,-11188.237,-11986.508,-10389.966
2026-08-07 23:00:00+00:00,,-11364.212,-12162.482,-10565.941
2026-08-08 00:00:00+00:00,,-6374.612,-7172.8823,-5576.341
2026-08-08 01:00:00+00:00,,-8779.15,-9577.421,-7980.8794
2026-08-08 02:00:00+00:00,,-9086.319,-9884.59,-8288.049
2026-08-08 03:00:00+00:00,,-7888.7407,-8687.012,-7090.4697
2026-08-08 04:00:00+00:00,,-9025.458,-9823.7295,-8227.1875
2026-08-08 05:00:00+00:00,,-9162.304,-9960.574,-8364.033
2026-08-08 06:00:00+00:00,,-4873.068,-5671.339,-4074.797
2026-08-08 07:00:00+00:00,,-2395.1074,-3193.3782,-1596.8368
2026-08-08 08:00:00+00:00,,1953.7255,1155.455,2751.9966
2026-08-08 09:00:00+00:00,,7822.358,7024.0874,8620.629
2026-08-08 10:00:00+00:00,,11697.877,10899.605,12496.148
2026-08-08 11:00:00+00:00,,15388.29,14590.0205,16186.56
2026-08-08 12:00:00+00:00,,14943.339,14145.069,15741.608
2026-08-08 13:00:00+00:00,,14835.683,14037.411,15633.954
2026-08-08 14:00:00+00:00,,12418.75,11620.479,13217.0205
2026-08-08 15:00:00+00:00,,6113.0366,5314.766,6911.307
2026-08-08 16:00:00+00:00,,-2464.996,-3263.2668,-1666.7253
2026-08-08 17:00:00+00:00,,-3995.6426,-4793.913,-3197.3718
2026-08-08 18:00:00+00:00,,-6516.9453,-7315.216,-5718.6743
2026-08-08 19:00:00+00:00,,-10491.355,-11289.626,-9693.085
2026-08-08 20:00:00+00:00,,-8623.229,-9421.499,-7824.9575
2026-08-08 21:00:00+00:00,,-7702.9014,-8501.172,-6904.6304
2026-08-08 22:00:00+00:00,,-7479.3887,-8277.66,-6681.118
2026-08-08 23:00:00+00:00,,-6981.31,-7779.581,-6183.0396
2026-08-09 00:00:00+00:00,,-7158.5225,-7956.7935,-6360.252
2026-08-09 01:00:00+00:00,,-6897.1377,-7695.408,-6098.867
2026-08-09 02:00:00+00:00,,-5518.765,-6317.036,-4720.4946
2026-08-09 03:00:00+00:00,,-5855.1953,-6653.466,-5056.9243
2026-08-09 04:00:00+00:00,,-7779.999,-8578.2705,-6981.7285
2026-08-09 05:00:00+00:00,,-4556.5605,-5354.8315,-3758.2898
2026-08-09 06:00:00+00:00,,829.46674,31.195732,1627.7372
2026-08-09 07:00:00+00:00,,4572.436,3774.165,5370.7065
2026-08-09 08:00:00+00:00,,8210.396,7412.1265,9008.667
2026-08-09 09:00:00+00:00,,13523.829,12725.558,14322.101
2026-08-09 10:00:00+00:00,,13802.144,13003.872,14600.415
2026-08-09 11:00:00+00:00,,15901.276,15103.007,16699.547
2026-08-09 12:00:00+00:00,,16242.841,15444.569,17041.113
2026-08-09 13:00:00+00:00,,16058.366,15260.097,16856.639
2026-08-09 14:00:00+00:00,,13759.849,12961.577,14558.12
2026-08-09 15:00:00+00:00,,6585.9644,5787.694,7384.235
2026-08-09 16:00:00+00:00,,2608.2588,1809.9882,3406.5293
2026-08-09 17:00:00+00:00,,-2037.363,-2835.6338,-1239.0922
2026-08-09 18:00:00+00:00,,-2829.2144,-3627.485,-2030.9436
2026-08-09 19:00:00+00:00,,-7344.715,-8142.9854,-6546.444
2026-08-09 20:00:00+00:00,,-6339.664,-7137.935,-5541.3936
2026-08-09 21:00:00+00:00,,-5890.147,-6688.418,-5091.8765
2026-08-09 22:00:00+00:00,,-5004.6616,-5802.932,-4206.3906
2026-08-09 23:00:00+00:00,,-4127.1865,-4925.457,-3328.9155
