date,gen_load_diff_delu_actual,gen_load_diff_delu_fitted,gen_load_diff_delu_lower,gen_load_diff_delu_upper
2026-05-01 00:00:00+00:00,-4008.7852,-1799.3403,-2597.611,-1001.06964
2026-05-01 01:00:00+00:00,-3774.664,-2123.007,-2921.2778,-1324.7362
2026-05-01 02:00:00+00:00,-5338.4336,-2508.3486,-3306.6194,-1710.078
2026-05-01 03:00:00+00:00,-6265.168,-5760.0444,-6558.315,-4961.7734
2026-05-01 04:00:00+00:00,-3506.3594,-5571.864,-6370.135,-4773.5933
2026-05-01 05:00:00+00:00,-786.8829,-3395.0852,-4193.356,-2596.8145
2026-05-01 06:00:00+00:00,4116.914,-215.58063,-1013.8514,582.69037
2026-05-01 07:00:00+00:00,10304.371,9987.384,9189.113,10785.653
2026-05-01 08:00:00+00:00,14189.968,13565.737,12767.468,14364.007
2026-05-01 09:00:00+00:00,14756.265,14636.101,13837.831,15434.37
2026-05-01 10:00:00+00:00,14828.901,14652.688,13854.417,15450.96
2026-05-01 11:00:00+00:00,15058.886,14288.372,13490.101,15086.644
2026-05-01 12:00:00+00:00,14699.378,14728.683,13930.413,15526.952
2026-05-01 13:00:00+00:00,15327.218,14802.411,14004.14,15600.683
2026-05-01 14:00:00+00:00,13526.581,13138.091,12339.82,13936.36
2026-05-01 15:00:00+00:00,9462.789,7282.594,6484.3228,8080.8647
2026-05-01 16:00:00+00:00,-18.433662,-928.4471,-1726.7178,-130.17633
2026-05-01 17:00:00+00:00,-8443.273,-5350.7876,-6149.0586,-4552.517
2026-05-01 18:00:00+00:00,-10243.523,-7674.0806,-8472.352,-6875.81
2026-05-01 19:00:00+00:00,-6629.4336,-2986.8694,-3785.1401,-2188.5986
2026-05-01 20:00:00+00:00,-3113.961,-1890.2091,-2688.4797,-1091.9384
2026-05-01 21:00:00+00:00,-864.9141,-510.5379,-1308.8087,287.7331
2026-05-01 22:00:00+00:00,483.01556,557.0717,-241.19928,1355.3422
2026-05-01 23:00:00+00:00,1276.5585,568.4555,-229.81525,1366.726
2026-05-02 00:00:00+00:00,744.8398,770.48334,-27.787178,1568.7543
2026-05-02 01:00:00+00:00,941.30853,1155.785,357.5146,1954.056
2026-05-02 02:00:00+00:00,500.6718,2338.269,1539.9979,3136.5396
2026-05-02 03:00:00+00:00,-608.3321,-2438.5706,-3236.8413,-1640.2999
2026-05-02 04:00:00+00:00,-437.31256,-2963.7449,-3762.0156,-2165.474
2026-05-02 05:00:00+00:00,2065.3281,-557.4007,-1355.6715,240.86981
2026-05-02 06:00:00+00:00,4733.4106,3152.02,2353.749,3950.29
2026-05-02 07:00:00+00:00,11191.859,9222.698,8424.428,10020.969
2026-05-02 08:00:00+00:00,13571.878,12190.358,11392.089,12988.628
2026-05-02 09:00:00+00:00,17360.621,15399.905,14601.636,16198.175
2026-05-02 10:00:00+00:00,17066.57,15866.983,15068.712,16665.256
2026-05-02 11:00:00+00:00,16851.102,15827.376,15029.1045,16625.648
2026-05-02 12:00:00+00:00,17696.848,15678.653,14880.382,16476.924
2026-05-02 13:00:00+00:00,15824.647,15945.976,15147.706,16744.246
2026-05-02 14:00:00+00:00,13296.022,13312.188,12513.918,14110.458
2026-05-02 15:00:00+00:00,2668.6719,4219.5615,3421.291,5017.8325
2026-05-02 16:00:00+00:00,-6230.0156,-7011.5186,-7809.7896,-6213.248
2026-05-02 17:00:00+00:00,-12749.383,-10058.59,-10856.861,-9260.319
2026-05-02 18:00:00+00:00,-15084.002,-13071.379,-13869.649,-12273.107
