number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,1015.9190875721588,0.6445773043974437,none,False,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,True,0.6200851877173058,,none,long,energy,medium,COMPLETE
1,1021.7394038768613,0.7089339099570375,small,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,0.09241519767830514,12.0,small,short,population,medium,COMPLETE
2,950.6594245949578,0.4648122349394299,medium,True,True,False,True,False,False,False,True,True,True,False,False,True,True,False,False,True,0.5694573705111001,,none,long,energy,small,COMPLETE
3,1162.610903269642,0.49298880612382745,medium,True,True,True,False,False,True,True,False,True,True,False,True,True,False,False,True,False,0.04605277773785482,1.0,medium,short,mean,none,COMPLETE
4,959.3639937569847,0.393206344842501,small,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,0.8428078625199215,12.0,small,short,distance_population,none,COMPLETE
5,952.7224640258579,0.6720617876758167,small,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,False,False,0.20297124351245682,6.0,none,none,population,small,COMPLETE
6,957.2108196525058,0.23161022842017984,none,False,False,True,False,False,True,True,True,True,True,True,True,True,False,True,False,False,0.4399497850886815,12.0,medium,short,population,none,COMPLETE
7,982.2100201744038,0.5308492231914285,small,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,0.010461060196630073,,small,none,distance_population,medium,COMPLETE
8,1108.3004841774334,0.9338529852597781,none,True,True,True,False,True,False,True,False,True,True,True,False,False,False,False,False,True,0.630472514908337,1.0,small,long,distance_population,small,COMPLETE
9,1224.2363494907545,0.12988042568729513,medium,True,False,False,False,True,False,False,False,True,True,True,True,False,True,True,False,True,0.9459355722111467,1.0,small,short,idw,small,COMPLETE
10,960.8388014906453,0.039113635782087264,medium,False,False,False,True,False,False,False,True,True,False,False,False,True,True,True,False,True,0.3615733297115468,,none,long,None,small,COMPLETE
11,1007.0564369111561,0.7982762489770867,small,True,True,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,0.2997533938418641,6.0,none,none,max,small,COMPLETE
12,988.9276391908933,0.3435421256419664,medium,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False,0.21859230287354034,6.0,none,none,distance_energy,small,COMPLETE
13,963.4599614984976,0.6143709731796965,medium,True,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,True,0.6469929984698191,6.0,none,none,energy,small,COMPLETE
14,961.4286249527087,0.9936756255065158,small,True,True,True,True,True,False,False,False,True,False,False,False,True,False,False,False,True,0.4934782780790785,,none,long,energy,small,COMPLETE
15,949.6643690329197,0.8342576887697881,small,True,True,False,True,False,True,False,True,False,True,True,False,True,True,False,False,False,0.2023630100429937,6.0,none,none,population,small,COMPLETE
16,1026.2567472622488,0.8404287364993522,medium,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,False,True,0.7793630437334149,,medium,long,max,small,COMPLETE
17,920.3830173759483,0.32815641095113857,small,True,True,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,0.3968612748199076,6.0,none,long,None,small,COMPLETE
18,951.2163959310419,0.31148365944726586,small,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0.18464242969194145,6.0,none,none,None,medium,COMPLETE
19,949.418135361474,0.24395291293532217,small,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,0.3586898824158089,6.0,none,none,None,none,COMPLETE
20,905.7600205912269,0.22781525573746128,small,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,0.3751684521071018,6.0,medium,long,None,none,COMPLETE
21,905.7600205912269,0.2023290718501653,small,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,0.3563324626556297,6.0,medium,long,None,none,COMPLETE
22,905.7600205912269,0.17380358955002312,small,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,0.4185758720219889,6.0,medium,long,None,none,COMPLETE
23,905.7600205912269,0.12286385386030162,small,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,0.5196076799794936,6.0,medium,long,None,none,COMPLETE
24,905.7600205912269,0.026087067698878946,small,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,0.28229516251523545,6.0,medium,long,None,none,COMPLETE
25,905.7600205912269,0.15124311760494888,small,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,0.43724612570870924,6.0,medium,long,None,none,COMPLETE
26,969.580348608215,0.21863197057387818,none,False,False,False,True,False,True,True,True,True,False,True,False,False,True,True,True,False,0.28864253701862136,6.0,medium,long,mean,none,COMPLETE
27,988.5268402499511,0.4181108078192103,small,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,False,False,0.7389370675120142,6.0,medium,long,idw,none,COMPLETE
