date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,11823.0,11666.006197659222,11318.788524481313,12013.223870837131,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,11587.03,11424.591379956071,11077.373706778162,11771.80905313398,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,11555.88,11304.926786803184,10957.709113625273,11652.144459981093,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,11552.4,11317.87034574909,10970.652672571181,11665.088018927,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,11669.8,11452.237702543176,11105.020029365267,11799.455375721085,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,11820.0,11694.142581741187,11346.924908563278,12041.360254919096,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,12426.25,12377.679704738404,12030.462031560495,12724.897377916313,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,13163.43,13200.157806920835,12852.940133742926,13547.375480098744,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,13975.9,13872.470299476414,13525.252626298505,14219.687972654323,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,14337.8,14271.277037131968,13924.05936395406,14618.494710309878,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,14551.4,14615.596673467237,14268.379000289326,14962.814346645146,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,14322.65,14599.526882108257,14252.309208930346,14946.744555286165,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,14084.95,14346.56204164283,13999.344368464921,14693.77971482074,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,13837.03,14085.749447387268,13738.53177420936,14432.967120565178,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,13798.15,14127.38052490797,13780.16285173006,14474.598198085878,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,13961.6,14346.146106340211,13998.928433162302,14693.36377951812,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,14372.3,14836.984235917616,14489.766562739707,15184.201909095525,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,14490.85,14929.011905963758,14581.794232785847,15276.229579141667,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,14252.15,14579.212639235551,14231.994966057642,14926.43031241346,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,13617.98,13941.818046526289,13594.60037334838,14289.035719704198,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,13062.65,13226.80109885558,12879.58342567767,13574.018772033489,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,12734.9,12680.496768305899,12333.27909512799,13027.714441483808,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,12314.38,12142.509768266309,11795.2920950884,12489.72744144422,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,11824.03,11619.921886136064,11272.704212958155,11967.139559313973,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,11521.32,11344.373682274107,10997.156009096198,11691.591355452016,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,11325.3,11105.021580894356,10757.803907716447,11452.239254072265,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,11233.25,10982.70876320905,10635.49109003114,11329.926436386959,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,11156.25,11005.25046198579,10658.03278880788,11352.4681351637,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,11140.0,11095.440840323961,10748.223167146052,11442.65851350187,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,11134.2,11310.988406790802,10963.770733612893,11658.206079968711,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,11511.2,11888.770603846191,11541.552930668282,12235.9882770241,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,12395.63,12788.234096921537,12441.016423743627,13135.451770099447,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,13205.8,13380.963122725261,13033.745449547352,13728.18079590317,2026-01-31 00:00:00+00:00,32
2026-02-01 09:00:00+00:00,13980.18,13883.891320453393,13536.673647275484,14231.108993631302,2026-01-31 00:00:00+00:00,33
2026-02-01 10:00:00+00:00,14577.7,14262.16744208842,13914.949768910512,14609.38511526633,2026-01-31 00:00:00+00:00,34
2026-02-01 11:00:00+00:00,14329.93,14092.321241470177,13745.103568292267,14439.538914648085,2026-01-31 00:00:00+00:00,35
2026-02-01 12:00:00+00:00,13860.35,13806.45440153037,13459.236728352462,14153.67207470828,2026-01-31 00:00:00+00:00,36
2026-02-01 13:00:00+00:00,13607.83,13566.790478339695,13219.572805161786,13914.008151517604,2026-01-31 00:00:00+00:00,37
2026-02-01 14:00:00+00:00,13511.53,13596.353581861895,13249.135908683984,13943.571255039804,2026-01-31 00:00:00+00:00,38
2026-02-01 15:00:00+00:00,13667.48,13906.086844631893,13558.869171453984,14253.304517809804,2026-01-31 00:00:00+00:00,39
2026-02-01 16:00:00+00:00,14350.93,14364.298941469142,14017.081268291233,14711.516614647051,2026-01-31 00:00:00+00:00,40
2026-02-01 17:00:00+00:00,14584.8,14585.103345345677,14237.88567216777,14932.321018523588,2026-01-31 00:00:00+00:00,41
2026-02-01 18:00:00+00:00,14233.7,14309.671627304866,13962.453954126957,14656.889300482775,2026-01-31 00:00:00+00:00,42
2026-02-01 19:00:00+00:00,13724.98,13687.651123563608,13340.433450385699,14034.868796741517,2026-01-31 00:00:00+00:00,43
2026-02-01 20:00:00+00:00,13298.85,13204.282394120126,12857.064720942217,13551.500067298035,2026-01-31 00:00:00+00:00,44
2026-02-01 21:00:00+00:00,13055.6,12812.772082111758,12465.55440893385,13159.989755289667,2026-01-31 00:00:00+00:00,45
