date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-06-15 00:00:00+00:00,,8405.761,8185.9683,8625.554
2026-06-15 01:00:00+00:00,,8763.942,8544.149,8983.735
2026-06-15 02:00:00+00:00,,9750.984,9531.191,9970.777
2026-06-15 03:00:00+00:00,,10744.284,10524.491,10964.076
2026-06-15 04:00:00+00:00,,12091.646,11871.854,12311.438
2026-06-15 05:00:00+00:00,,13067.336,12847.543,13287.129
2026-06-15 06:00:00+00:00,,13504.523,13284.731,13724.316
2026-06-15 07:00:00+00:00,,13714.56,13494.767,13934.353
2026-06-15 08:00:00+00:00,,13949.706,13729.913,14169.499
2026-06-15 09:00:00+00:00,,13797.462,13577.669,14017.255
2026-06-15 10:00:00+00:00,,13605.938,13386.1455,13825.731
2026-06-15 11:00:00+00:00,,13335.663,13115.87,13555.456
2026-06-15 12:00:00+00:00,,13066.695,12846.902,13286.487
2026-06-15 13:00:00+00:00,,13165.705,12945.912,13385.498
2026-06-15 14:00:00+00:00,,13220.822,13001.03,13440.615
2026-06-15 15:00:00+00:00,,13375.4375,13155.645,13595.23
2026-06-15 16:00:00+00:00,,13527.343,13307.551,13747.136
2026-06-15 17:00:00+00:00,,13380.377,13160.584,13600.17
2026-06-15 18:00:00+00:00,,12844.806,12625.013,13064.599
2026-06-15 19:00:00+00:00,,12184.896,11965.104,12404.689
2026-06-15 20:00:00+00:00,,11568.795,11349.002,11788.588
2026-06-15 21:00:00+00:00,,11217.883,10998.09,11437.676
2026-06-15 22:00:00+00:00,,10667.735,10447.943,10887.528
2026-06-15 23:00:00+00:00,,10088.394,9868.601,10308.187
2026-06-16 00:00:00+00:00,,9594.4375,9374.645,9814.23
2026-06-16 01:00:00+00:00,,9415.793,9196.0,9635.586
2026-06-16 02:00:00+00:00,,9611.718,9391.925,9831.511
2026-06-16 03:00:00+00:00,,10432.992,10213.199,10652.784
2026-06-16 04:00:00+00:00,,11597.635,11377.842,11817.427
2026-06-16 05:00:00+00:00,,12298.13,12078.337,12517.923
2026-06-16 06:00:00+00:00,,12709.66,12489.868,12929.453
2026-06-16 07:00:00+00:00,,12808.824,12589.031,13028.616
2026-06-16 08:00:00+00:00,,12773.956,12554.163,12993.749
2026-06-16 09:00:00+00:00,,12761.67,12541.877,12981.462
2026-06-16 10:00:00+00:00,,12574.798,12355.005,12794.591
2026-06-16 11:00:00+00:00,,12219.304,11999.511,12439.097
2026-06-16 12:00:00+00:00,,12253.1045,12033.312,12472.897
2026-06-16 13:00:00+00:00,,12162.169,11942.376,12381.962
2026-06-16 14:00:00+00:00,,12090.196,11870.403,12309.989
2026-06-16 15:00:00+00:00,,12350.146,12130.354,12569.938
2026-06-16 16:00:00+00:00,,12470.041,12250.248,12689.833
2026-06-16 17:00:00+00:00,,12109.202,11889.409,12328.995
2026-06-16 18:00:00+00:00,,11655.941,11436.148,11875.734
2026-06-16 19:00:00+00:00,,11203.931,10984.138,11423.724
2026-06-16 20:00:00+00:00,,10705.057,10485.264,10924.85
2026-06-16 21:00:00+00:00,,10069.956,9850.163,10289.749
2026-06-16 22:00:00+00:00,,9512.349,9292.557,9732.142
2026-06-16 23:00:00+00:00,,9188.569,8968.776,9408.361
2026-06-17 00:00:00+00:00,,9198.474,8978.681,9418.267
2026-06-17 01:00:00+00:00,,9062.883,8843.09,9282.676
2026-06-17 02:00:00+00:00,,9277.148,9057.355,9496.94
2026-06-17 03:00:00+00:00,,9900.748,9680.955,10120.541
2026-06-17 04:00:00+00:00,,10870.187,10650.394,11089.9795
2026-06-17 05:00:00+00:00,,11741.921,11522.128,11961.713
2026-06-17 06:00:00+00:00,,12166.373,11946.58,12386.166
2026-06-17 07:00:00+00:00,,12174.745,11954.952,12394.538
2026-06-17 08:00:00+00:00,,11981.522,11761.7295,12201.315
2026-06-17 09:00:00+00:00,,11904.058,11684.265,12123.851
2026-06-17 10:00:00+00:00,,11795.059,11575.267,12014.852
2026-06-17 11:00:00+00:00,,11574.985,11355.192,11794.778
2026-06-17 12:00:00+00:00,,11398.717,11178.924,11618.51
2026-06-17 13:00:00+00:00,,11437.477,11217.685,11657.27
2026-06-17 14:00:00+00:00,,11575.796,11356.004,11795.589
2026-06-17 15:00:00+00:00,,11853.681,11633.888,12073.473
2026-06-17 16:00:00+00:00,,12057.896,11838.104,12277.688
2026-06-17 17:00:00+00:00,,11921.614,11701.821,12141.407
2026-06-17 18:00:00+00:00,,11523.953,11304.161,11743.746
2026-06-17 19:00:00+00:00,,11143.883,10924.091,11363.676
2026-06-17 20:00:00+00:00,,10491.444,10271.651,10711.237
2026-06-17 21:00:00+00:00,,9899.695,9679.902,10119.488
2026-06-17 22:00:00+00:00,,9385.229,9165.436,9605.021
2026-06-17 23:00:00+00:00,,9129.217,8909.424,9349.01
2026-06-18 00:00:00+00:00,,9085.122,8865.329,9304.915
