date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,11823.0,11699.06708688832,11287.93175926502,12110.202414511623,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,11587.03,11504.545385284293,11093.41005766099,11915.680712907593,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,11555.88,11344.499354809785,10933.364027186482,11755.634682433085,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,11552.4,11381.380822372932,10970.24549474963,11792.516149996234,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,11669.8,11528.504184189618,11117.368856566318,11939.63951181292,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,11820.0,12019.73219976061,11608.596872137308,12430.86752738391,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,12426.25,12583.419582564225,12172.284254940925,12994.554910187528,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,13163.43,12963.167014349696,12552.031686726394,13374.302341972996,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,13975.9,13623.485897423006,13212.350569799704,14034.621225046307,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,14337.8,14140.863802986587,13729.728475363287,14551.99913060989,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,14551.4,14677.09656931816,14265.961241694858,15088.231896941461,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,14322.65,14606.346163469849,14195.210835846548,15017.48149109315,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,14084.95,14461.28605644425,14050.150728820949,14872.421384067551,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,13837.03,13887.637202355516,13476.501874732214,14298.772529978818,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,13798.15,13810.407904765216,13399.272577141915,14221.543232388518,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,13961.6,13898.63261069549,13487.497283072187,14309.76793831879,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,14372.3,14345.807463990353,13934.672136367051,14756.942791613654,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,14490.85,14396.773198118459,13985.637870495157,14807.90852574176,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,14252.15,14215.274696365546,13804.139368742246,14626.410023988847,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,13617.98,13364.684664230292,12953.549336606991,13775.819991853594,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,13062.65,13032.924602826803,12621.7892752035,13444.059930450103,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,12734.9,12941.496615609478,12530.361287986176,13352.631943232778,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,12314.38,12300.645868439837,11889.510540816535,12711.781196063137,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,11824.03,11749.651169859872,11338.51584223657,12160.786497483172,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,11521.32,11148.186810421363,10737.051482798062,11559.322138044665,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,11325.3,11137.350363037749,10726.215035414449,11548.485690661051,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,11233.25,11067.749152893743,10656.613825270442,11478.884480517045,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,11156.25,11369.775986764516,10958.640659141214,11780.911314387817,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,11140.0,11586.022778585206,11174.887450961905,11997.158106208508,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,11134.2,11599.249821638037,11188.114494014735,12010.385149261338,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,11511.2,12080.800657456692,11669.66532983339,12491.935985079994,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,12395.63,13237.01606392339,12825.88073630009,13648.151391546693,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,13205.8,13736.773984073121,13325.63865644982,14147.909311696423,2026-01-31 00:00:00+00:00,32
