date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-03-25 00:00:00+00:00,,11176.248,10986.348,11366.148
2026-03-25 01:00:00+00:00,,11001.361,10811.461,11191.261
2026-03-25 02:00:00+00:00,,11195.253,11005.353,11385.152
2026-03-25 03:00:00+00:00,,11785.331,11595.431,11975.231
2026-03-25 04:00:00+00:00,,12563.909,12374.009,12753.81
2026-03-25 05:00:00+00:00,,13346.99,13157.09,13536.891
2026-03-25 06:00:00+00:00,,14167.429,13977.528,14357.329
2026-03-25 07:00:00+00:00,,14383.172,14193.271,14573.072
2026-03-25 08:00:00+00:00,,14381.786,14191.886,14571.687
2026-03-25 09:00:00+00:00,,14620.337,14430.437,14810.237
2026-03-25 10:00:00+00:00,,14012.207,13822.307,14202.107
2026-03-25 11:00:00+00:00,,14276.93,14087.029,14466.83
2026-03-25 12:00:00+00:00,,13771.292,13581.392,13961.192
2026-03-25 13:00:00+00:00,,14115.586,13925.687,14305.486
2026-03-25 14:00:00+00:00,,14198.214,14008.313,14388.114
2026-03-25 15:00:00+00:00,,14339.32,14149.42,14529.221
2026-03-25 16:00:00+00:00,,14106.54,13916.64,14296.44
2026-03-25 17:00:00+00:00,,14342.246,14152.346,14532.146
2026-03-25 18:00:00+00:00,,14021.544,13831.644,14211.444
2026-03-25 19:00:00+00:00,,13385.541,13195.641,13575.441
2026-03-25 20:00:00+00:00,,13241.136,13051.235,13431.036
2026-03-25 21:00:00+00:00,,12289.521,12099.621,12479.422
2026-03-25 22:00:00+00:00,,12005.944,11816.044,12195.845
2026-03-25 23:00:00+00:00,,11718.921,11529.0205,11908.821
2026-03-26 00:00:00+00:00,,11728.583,11538.683,11918.483
2026-03-26 01:00:00+00:00,,11716.925,11527.025,11906.825
2026-03-26 02:00:00+00:00,,12096.133,11906.232,12286.033
2026-03-26 03:00:00+00:00,,12270.728,12080.827,12460.627
2026-03-26 04:00:00+00:00,,13272.795,13082.895,13462.695
2026-03-26 05:00:00+00:00,,14293.663,14103.763,14483.563
2026-03-26 06:00:00+00:00,,14812.933,14623.032,15002.832
