date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-08-14 00:00:00+00:00,9309.02,9487.062,9297.161,9676.962
2026-08-14 01:00:00+00:00,9129.88,9455.496,9265.596,9645.396
2026-08-14 02:00:00+00:00,9319.9,9286.4,9096.5,9476.301
2026-08-14 03:00:00+00:00,9779.82,9972.838,9782.9375,10162.738
2026-08-14 04:00:00+00:00,10633.73,10722.213,10532.3125,10912.113
2026-08-14 05:00:00+00:00,11335.25,11471.117,11281.217,11661.018
2026-08-14 06:00:00+00:00,11912.13,11777.47,11587.569,11967.37
2026-08-14 07:00:00+00:00,12317.05,12064.246,11874.346,12254.146
2026-08-14 08:00:00+00:00,12302.03,11816.091,11626.19,12005.991
2026-08-14 09:00:00+00:00,12059.83,11444.589,11254.688,11634.489
2026-08-14 10:00:00+00:00,11891.98,11281.996,11092.097,11471.896
2026-08-14 11:00:00+00:00,11919.72,11232.387,11042.486,11422.286
2026-08-14 12:00:00+00:00,11563.75,11110.737,10920.837,11300.638
2026-08-14 13:00:00+00:00,11282.25,11171.717,10981.816,11361.617
2026-08-14 14:00:00+00:00,11559.33,11482.889,11292.988,11672.789
2026-08-14 15:00:00+00:00,11688.8,11531.526,11341.626,11721.427
2026-08-14 16:00:00+00:00,11978.9,11795.212,11605.312,11985.112
2026-08-14 17:00:00+00:00,11923.43,11788.571,11598.671,11978.472
2026-08-14 18:00:00+00:00,11424.2,11567.088,11377.1875,11756.988
2026-08-14 19:00:00+00:00,10714.47,11319.599,11129.698,11509.499
2026-08-14 20:00:00+00:00,9933.97,10994.816,10804.916,11184.717
2026-08-14 21:00:00+00:00,9807.1,10682.126,10492.226,10872.026
2026-08-14 22:00:00+00:00,9075.8,10409.517,10219.616,10599.417
2026-08-14 23:00:00+00:00,8523.46,9971.319,9781.419,10161.22
2026-08-15 00:00:00+00:00,8143.55,9850.551,9660.65,10040.451
2026-08-15 01:00:00+00:00,7993.43,9877.336,9687.436,10067.236
2026-08-15 02:00:00+00:00,7983.16,9888.781,9698.881,10078.682
2026-08-15 03:00:00+00:00,8201.36,9865.863,9675.963,10055.764
2026-08-15 04:00:00+00:00,8607.63,9711.695,9521.795,9901.596
2026-08-15 05:00:00+00:00,9382.22,10283.374,10093.474,10473.274
2026-08-15 06:00:00+00:00,9924.94,10410.879,10220.979,10600.779
2026-08-15 07:00:00+00:00,10187.6,10592.299,10402.398,10782.199
2026-08-15 08:00:00+00:00,9969.74,10560.139,10370.238,10750.039
