date,load_50hz_actual,load_50hz_fitted,load_50hz_lower,load_50hz_upper
2026-02-06 00:00:00+00:00,12016.22,12009.668,11825.173,12194.163
2026-02-06 01:00:00+00:00,11870.75,11892.059,11707.563,12076.554
2026-02-06 02:00:00+00:00,11945.5,11901.875,11717.38,12086.369
2026-02-06 03:00:00+00:00,12152.5,12102.849,11918.3545,12287.344
2026-02-06 04:00:00+00:00,12821.05,12189.492,12004.997,12373.986
2026-02-06 05:00:00+00:00,13963.22,14068.6875,13884.193,14253.183
2026-02-06 06:00:00+00:00,14895.55,14997.361,14812.866,15181.856
2026-02-06 07:00:00+00:00,15410.25,14894.072,14709.578,15078.567
2026-02-06 08:00:00+00:00,15733.0,15326.622,15142.127,15511.117
2026-02-06 09:00:00+00:00,15956.23,15824.162,15639.667,16008.656
2026-02-06 10:00:00+00:00,16044.73,15669.222,15484.728,15853.717
2026-02-06 11:00:00+00:00,16040.85,15466.205,15281.71,15650.7
2026-02-06 12:00:00+00:00,15647.68,15283.736,15099.241,15468.231
2026-02-06 13:00:00+00:00,15363.75,15228.953,15044.458,15413.448
2026-02-06 14:00:00+00:00,15275.73,14873.92,14689.425,15058.415
2026-02-06 15:00:00+00:00,15174.33,15086.339,14901.844,15270.834
2026-02-06 16:00:00+00:00,15513.2,15483.6875,15299.192,15668.182
2026-02-06 17:00:00+00:00,15578.85,15547.317,15362.822,15731.812
2026-02-06 18:00:00+00:00,15229.4,15043.435,14858.939,15227.93
2026-02-06 19:00:00+00:00,14304.75,14684.423,14499.928,14868.918
2026-02-06 20:00:00+00:00,13455.75,14001.289,13816.795,14185.784
2026-02-06 21:00:00+00:00,12754.73,12981.142,12796.647,13165.637
2026-02-06 22:00:00+00:00,12180.58,12238.595,12054.1,12423.089
2026-02-06 23:00:00+00:00,11667.3,12059.544,11875.049,12244.038
2026-02-07 00:00:00+00:00,11264.05,11298.852,11114.357,11483.347
2026-02-07 01:00:00+00:00,10955.65,11022.853,10838.358,11207.348
2026-02-07 02:00:00+00:00,11013.3,10937.945,10753.45,11122.439
2026-02-07 03:00:00+00:00,11054.38,10943.821,10759.327,11128.316
2026-02-07 04:00:00+00:00,11088.85,11651.214,11466.719,11835.709
2026-02-07 05:00:00+00:00,11161.6,11788.535,11604.04,11973.03
2026-02-07 06:00:00+00:00,11684.05,13175.265,12990.77,13359.759
