date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,17982.12,17429.513596818346,16517.527495235223,18338.303433429413,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,17698.82,16913.574697713546,16003.106404370841,17826.151562020776,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,17430.0,17088.48556921449,16177.264075281262,18001.87900954366,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,17458.4,17801.528627982905,16892.207266164754,18710.662905149486,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,17561.65,18881.825522170915,17973.31545913118,19792.854833429148,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,18567.54,20051.18993934933,19136.538272929785,20959.27680281616,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,19519.88,21131.12317375794,20221.389393510937,22044.323928244186,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,20500.92,22050.60591168076,21141.497044588818,22964.394268607044,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,21950.83,22667.293544797933,21759.032311572726,23582.239505061763,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,22461.58,23042.686552714076,22134.975414367535,23959.128292893856,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,22446.79,23086.858821108304,22178.438392460223,24000.69634726535,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,22044.89,22887.289394788,21977.87519494135,23798.517185925575,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,22164.98,22615.53979311169,21704.18213798087,23526.84345048477,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,21953.03,22343.24562701284,21432.848247871127,23253.660211232956,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,22039.91,22163.53616251365,21255.25246414485,23074.35555373427,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,22287.29,22035.65864069147,21124.452667096688,22946.81557656578,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,23037.14,21885.36097226846,20976.821866895832,22798.138691139433,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,23476.05,21587.16407191455,20675.636563005693,22497.37234010933,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,23085.43,21029.887010147533,20117.885346118535,21942.706942912846,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,21756.47,20217.984922162294,19307.70378477228,21134.110525475044,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,20619.12,19248.878023042565,18338.68834094374,20160.783264907936,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,19919.1,18218.484110233992,17309.43282412867,19131.313358615298,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,18897.56,17246.872930965717,16337.72464754003,18158.03194775419,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,17323.4,16450.392616060555,15540.239383138676,17365.27748530075,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,16478.78,15932.111554052224,15020.230593070446,16844.438324072362,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,16442.66,15754.828789245053,14842.249543172144,16661.17295459574,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,16271.01,15956.131731947276,15047.749714909924,16866.824346893613,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,16416.04,16547.05668334691,15636.535940151876,17459.387723033833,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,16315.69,17484.682823855648,16573.248223271137,18396.58100673417,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,16586.89,18548.21663757972,17638.866264529694,19459.255121201728,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,16993.48,19627.84134774009,18719.127127251497,20540.82728157661,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,18234.16,20665.827272630675,19756.453001884194,21574.11076159313,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,19480.58,21553.538125374675,20644.90681581652,22468.94964496155,2026-01-31 00:00:00+00:00,32
2026-02-01 09:00:00+00:00,20422.23,22153.700110490954,21244.32427390209,23063.783132272725,2026-01-31 00:00:00+00:00,33
2026-02-01 10:00:00+00:00,20693.54,22453.357384913914,21542.14694223903,23363.813647536095,2026-01-31 00:00:00+00:00,34
2026-02-01 11:00:00+00:00,20900.31,22498.597393969736,21586.591381672464,23408.855558827592,2026-01-31 00:00:00+00:00,35
2026-02-01 12:00:00+00:00,20601.19,22377.830186462154,21465.291832992378,23289.23110750181,2026-01-31 00:00:00+00:00,36
2026-02-01 13:00:00+00:00,20331.96,22196.93950065497,21283.776259776965,23107.199076807367,2026-01-31 00:00:00+00:00,37
2026-02-01 14:00:00+00:00,20252.59,21977.666547444285,21066.618383289624,22885.07261104141,2026-01-31 00:00:00+00:00,38
2026-02-01 15:00:00+00:00,20710.89,21782.455693760934,20868.851008701124,22691.162749496827,2026-01-31 00:00:00+00:00,39
2026-02-01 16:00:00+00:00,21830.29,21504.56566051941,20592.849076120507,22411.652591613893,2026-01-31 00:00:00+00:00,40
2026-02-01 17:00:00+00:00,22577.57,21141.711406961254,20230.59857318203,22052.844510908482,2026-01-31 00:00:00+00:00,41
2026-02-01 18:00:00+00:00,22580.14,20581.6103283092,19672.740293907034,21494.065122630913,2026-01-31 00:00:00+00:00,42
2026-02-01 19:00:00+00:00,21709.95,19841.629497078564,18933.04561163367,20752.028694898378,2026-01-31 00:00:00+00:00,43
2026-02-01 20:00:00+00:00,20464.93,18966.773912848093,18056.20890229291,19876.393759764243,2026-01-31 00:00:00+00:00,44
2026-02-01 21:00:00+00:00,19633.63,18025.150591096764,17117.070787938865,18938.298316970144,2026-01-31 00:00:00+00:00,45
2026-02-01 22:00:00+00:00,18555.22,17130.170218532545,16221.082868356521,18040.75782792186,2026-01-31 00:00:00+00:00,46
2026-02-01 23:00:00+00:00,17212.58,16423.970491410324,15514.277033081064,17333.41702754109,2026-01-31 00:00:00+00:00,47
2026-02-02 00:00:00+00:00,16986.46,16263.848934636562,15350.796507133236,17173.8924872695,2026-01-31 00:00:00+00:00,48
2026-02-02 01:00:00+00:00,16792.19,16563.9924434914,15653.598990552524,17475.623962801634,2026-01-31 00:00:00+00:00,49
2026-02-02 02:00:00+00:00,16871.19,17275.29317510475,16362.465256460182,18185.631213373534,2026-01-31 00:00:00+00:00,50
2026-02-02 03:00:00+00:00,17561.95,18258.138323899097,17344.50739014876,19166.860928841586,2026-01-31 00:00:00+00:00,51
2026-02-02 04:00:00+00:00,19067.34,19456.187132426992,18543.80637366777,20366.8600527724,2026-01-31 00:00:00+00:00,52
2026-02-02 05:00:00+00:00,22138.24,20775.203346743667,19865.30887045999,21688.033732640353,2026-01-31 00:00:00+00:00,53
