date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-01-24 00:00:00+00:00,18500.88,18028.07479183082,17117.207652827306,18935.40138925364
2026-01-24 01:00:00+00:00,17915.77,17614.09106454886,16703.325500884068,18522.622553924026
2026-01-24 02:00:00+00:00,17901.79,17818.39802847029,16907.212887405305,18726.77986969493
2026-01-24 03:00:00+00:00,17764.24,18496.009947286155,17586.10455242626,19405.172105764417
2026-01-24 04:00:00+00:00,18058.46,19487.598070072003,18577.23491367679,20396.850198425414
2026-01-24 05:00:00+00:00,18590.53,20543.03883603885,19633.0152672523,21451.937394346467
2026-01-24 06:00:00+00:00,19565.55,21583.328837635072,20674.596817782007,22492.39010646969
2026-01-24 07:00:00+00:00,20887.84,22520.15297303384,21611.91820363806,23429.661747601458
2026-01-24 08:00:00+00:00,21854.97,23265.909367483076,22358.474646419418,24175.357919586644
2026-01-24 09:00:00+00:00,22204.08,23642.266578386934,22734.03268585702,24549.8955630068
2026-01-24 10:00:00+00:00,22438.44,23563.889342182112,22656.02073392355,24472.50149239174
2026-01-24 11:00:00+00:00,21955.85,23127.268175134974,22216.066246584298,24033.478666398256
2026-01-24 12:00:00+00:00,21431.0,22605.29374437713,21698.901640080934,23510.85919590781
2026-01-24 13:00:00+00:00,21273.0,22223.92358206973,21316.150152378592,23132.820116334
2026-01-24 14:00:00+00:00,21140.58,22042.383120453902,21134.124911274885,22950.76080488468
2026-01-24 15:00:00+00:00,21841.78,21971.64311104386,21062.251196579167,22879.19350749701
2026-01-24 16:00:00+00:00,22502.55,21897.63105070135,20989.37547166479,22806.11160297565
2026-01-24 17:00:00+00:00,22863.91,21657.306453009045,20745.490600858895,22565.41220786425
2026-01-24 18:00:00+00:00,22331.25,21149.718477925242,20240.57640685195,22057.55422077248
2026-01-24 19:00:00+00:00,21169.7,20387.390695034228,19475.954023305774,21293.828472275447
2026-01-24 20:00:00+00:00,20394.3,19416.72958302533,18504.547806749248,20323.05771624946
2026-01-24 21:00:00+00:00,19743.35,18341.873437813378,17431.887118618815,19248.026377898765
2026-01-24 22:00:00+00:00,18661.08,17283.2367368605,16373.375135500775,18191.361844029707
2026-01-24 23:00:00+00:00,17920.4,16410.374010001888,15498.899053317877,17318.49608000884
2026-01-25 00:00:00+00:00,17537.87,15858.27468374999,14947.308786348229,16765.018022606855
2026-01-25 01:00:00+00:00,16909.71,15745.06534744573,14836.526409256678,16654.991211234315
2026-01-25 02:00:00+00:00,16874.19,16080.98382274172,15171.270167201601,16989.93944525092
2026-01-25 03:00:00+00:00,17006.98,16800.74906941392,15892.37315318239,17709.982517948563
2026-01-25 04:00:00+00:00,16834.08,17773.468551587095,16863.820510495578,18682.3490560435
2026-01-25 05:00:00+00:00,17078.19,18894.902582554427,17984.752608827675,19802.278612048103
2026-01-25 06:00:00+00:00,17605.38,20069.44380601823,19160.421398187795,20978.063010110953
2026-01-25 07:00:00+00:00,18869.59,21206.800228910506,20297.882565562053,22115.20576870306
2026-01-25 08:00:00+00:00,20588.01,22185.15548727222,21277.839092702518,23093.904624445844
2026-01-25 09:00:00+00:00,21857.9,22870.048471841666,21962.913237474808,23779.624639057212
2026-01-25 10:00:00+00:00,22259.16,23240.069067754735,22332.378446647603,24150.49386014381
2026-01-25 11:00:00+00:00,21869.27,23357.79628242172,22450.93723852163,24267.58072415304
2026-01-25 12:00:00+00:00,21454.13,23338.201594324983,22430.922108404637,24248.807921004125
2026-01-25 13:00:00+00:00,21154.15,23256.067267130333,22348.75675669094,24165.76128582078
2026-01-25 14:00:00+00:00,21111.82,23133.473053126818,22224.705845623474,24043.883750125795
2026-01-25 15:00:00+00:00,21287.85,22987.85861690381,22078.558906810835,23897.278193655853
2026-01-25 16:00:00+00:00,22570.24,22756.653040545247,21846.78407715423,23664.396696066033
2026-01-25 17:00:00+00:00,23083.59,22323.15903652372,21414.517170967985,23231.776673100983
2026-01-25 18:00:00+00:00,22618.99,21634.189603962186,20725.91586242716,22540.78613843801
2026-01-25 19:00:00+00:00,21790.41,20743.863333163237,19833.425742433377,21650.445707809646
2026-01-25 20:00:00+00:00,21100.48,19711.44327857877,18801.065529914824,20619.324670137274
2026-01-25 21:00:00+00:00,20256.31,18645.968728891523,17735.298431703388,19554.452697043645
2026-01-25 22:00:00+00:00,19211.89,17662.970363737324,16751.731928475536,18571.507681646097
2026-01-25 23:00:00+00:00,18547.64,16897.27123311209,15986.756143342154,17808.03126952208
2026-01-26 00:00:00+00:00,17919.82,16673.40291447919,15764.553677865904,17584.64649235889
2026-01-26 01:00:00+00:00,17619.99,16923.147163859874,16011.97077416884,17831.8507768112
2026-01-26 02:00:00+00:00,17413.59,17562.203318467728,16650.51150962454,18470.969244868906
2026-01-26 03:00:00+00:00,17963.05,18470.04024508185,17562.453888698976,19379.544811646796
2026-01-26 04:00:00+00:00,19886.82,19564.150059574615,18656.809746658153,20474.71094903651
2026-01-26 05:00:00+00:00,23502.47,20785.088503136114,19873.59878616472,21693.693808999276
2026-01-26 06:00:00+00:00,25343.63,22020.57166493083,21110.578319839064,22929.870082131045
2026-01-26 07:00:00+00:00,26586.82,23185.929563426376,22277.1931866416,24096.321553883943
2026-01-26 08:00:00+00:00,27295.01,24221.83000127011,23311.86363882208,25130.587873869677
2026-01-26 09:00:00+00:00,27607.5,25069.266184781554,24160.58226847472,25979.389698300845
2026-01-26 10:00:00+00:00,27350.32,25678.366633483565,24768.610997861702,26587.562542235228
2026-01-26 11:00:00+00:00,27402.81,26059.439772683836,25150.313217443443,26967.801090590678
2026-01-26 12:00:00+00:00,27052.8,26256.91633353741,25346.958266668596,27164.688816852842
2026-01-26 13:00:00+00:00,26475.6,26306.083503706737,25396.816384857975,27213.937476354615
2026-01-26 14:00:00+00:00,26327.11,26199.245088304542,25290.17314687388,27106.055412593618
2026-01-26 15:00:00+00:00,26050.28,25949.935949377184,25040.877565944495,26858.169856598564
2026-01-26 16:00:00+00:00,26094.53,25544.532307552196,24635.4851449684,26452.120749213584
2026-01-26 17:00:00+00:00,26249.12,24964.897284555125,24055.753971949358,25871.811170840192
2026-01-26 18:00:00+00:00,25726.53,24215.681723099606,23305.68855765374,25121.883567114215
2026-01-26 19:00:00+00:00,24717.52,23334.585421304262,22426.32203294782,24239.998241008656
2026-01-26 20:00:00+00:00,23319.09,22385.48965396932,21477.28902776155,23292.318461617077
2026-01-26 21:00:00+00:00,22325.7,21455.305381481165,20546.192762266717,22361.443191902737
2026-01-26 22:00:00+00:00,21133.58,20646.387587384794,19737.341409208875,21552.59862609179
2026-01-26 23:00:00+00:00,20032.09,20045.056416693944,19137.518282799538,20952.740246003716
2026-01-27 00:00:00+00:00,19303.03,19681.891683905393,18775.745109966858,20590.96315766411
2026-01-27 01:00:00+00:00,18800.12,19607.595306905972,18701.09553713932,20517.074766518155
2026-01-27 02:00:00+00:00,19143.61,19816.583826313912,18908.66877865505,20724.95004224895
2026-01-27 03:00:00+00:00,19694.43,20320.632908809075,19413.146435433282,21229.703087499216
