date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-08-16 00:00:00+00:00,14296.83,13920.81138356936,13359.755295014138,14481.867472124582
2026-08-16 01:00:00+00:00,13808.54,13698.431821221606,13137.375732666384,14259.487909776828
2026-08-16 02:00:00+00:00,13739.8,13594.263238484862,13033.20714992964,14155.319327040084
2026-08-16 03:00:00+00:00,14090.99,13709.56679623346,13148.510707678237,14270.622884788681
2026-08-16 04:00:00+00:00,14062.79,13902.29481550269,13341.238726947468,14463.350904057912
2026-08-16 05:00:00+00:00,14432.53,14792.99118348695,14231.935094931729,15354.047272042171
2026-08-16 06:00:00+00:00,14757.17,15760.013498271415,15198.957409716193,16321.069586826638
2026-08-16 07:00:00+00:00,16425.77,16429.442320031925,15868.386231476703,16990.498408587147
2026-08-16 08:00:00+00:00,16703.57,16695.258849067162,16134.202760511942,17256.314937622385
2026-08-16 09:00:00+00:00,16619.46,16851.151645604627,16290.095557049404,17412.20773415985
2026-08-16 10:00:00+00:00,16229.64,16821.750338284004,16260.694249728782,17382.806426839226
2026-08-16 11:00:00+00:00,16241.31,16482.223155198128,15921.167066642905,17043.27924375335
2026-08-16 12:00:00+00:00,15605.8,16151.185278333702,15590.129189778481,16712.241366888924
2026-08-16 13:00:00+00:00,15770.09,15930.48567299658,15369.429584441357,16491.5417615518
2026-08-16 14:00:00+00:00,15767.04,15796.52038491238,15235.46429635716,16357.576473467603
2026-08-16 15:00:00+00:00,15153.73,16407.66748479417,15846.611396238946,16968.723573349387
2026-08-16 16:00:00+00:00,14965.83,17000.069277410475,16439.013188855253,17561.125365965698
2026-08-16 17:00:00+00:00,14976.94,17236.26909400113,16675.21300544591,17797.325182556353
2026-08-16 18:00:00+00:00,14918.71,17041.23022717333,16480.17413861811,17602.286315728554
2026-08-16 19:00:00+00:00,14290.96,16895.445359631394,16334.389271076172,17456.501448186616
2026-08-16 20:00:00+00:00,13213.38,16138.236352156766,15577.180263601544,16699.292440711986
2026-08-16 21:00:00+00:00,12049.19,15275.18928288732,14714.133194332098,15836.245371442543
2026-08-16 22:00:00+00:00,11414.82,14442.182592560488,13881.126504005268,15003.238681115708
2026-08-16 23:00:00+00:00,11034.4,13785.98589905177,13224.92981049655,14347.04198760699
2026-08-17 00:00:00+00:00,10897.31,13554.938002872525,12993.881914317302,14115.994091427747
2026-08-17 01:00:00+00:00,11080.929,13702.542959016013,13141.486870460792,14263.599047571235
2026-08-17 02:00:00+00:00,11441.399,13975.935563402281,13414.879474847061,14536.991651957502
2026-08-17 03:00:00+00:00,12523.08,15201.3925880802,14640.336499524978,15762.448676635422
2026-08-17 04:00:00+00:00,14453.0,17597.764787649565,17036.708699094343,18158.820876204787
2026-08-17 05:00:00+00:00,15957.79,19459.384781701487,18898.328693146264,20020.44087025671
2026-08-17 06:00:00+00:00,16643.45,20725.507538159884,20164.45144960466,21286.563626715106
2026-08-17 07:00:00+00:00,17425.73,21209.40708515368,20648.35099659846,21770.463173708904
2026-08-17 08:00:00+00:00,17631.46,21222.703633174566,20661.647544619344,21783.759721729784
2026-08-17 09:00:00+00:00,18024.92,21225.630901753077,20664.574813197854,21786.6869903083
2026-08-17 10:00:00+00:00,18143.06,21217.593625944068,20656.537537388846,21778.649714499286
2026-08-17 11:00:00+00:00,18600.59,20844.050844529767,20282.994755974545,21405.10693308499
2026-08-17 12:00:00+00:00,17685.05,20222.90232883188,19661.846240276656,20783.9584173871
2026-08-17 13:00:00+00:00,17677.49,19874.150523063658,19313.094434508435,20435.20661161888
2026-08-17 14:00:00+00:00,17377.89,19716.975241407104,19155.919152851882,20278.031329962327
2026-08-17 15:00:00+00:00,17255.43,19868.730654532606,19307.674565977384,20429.78674308783
2026-08-17 16:00:00+00:00,17183.57,20197.26652921548,19636.21044066026,20758.322617770704
2026-08-17 17:00:00+00:00,16949.75,20196.895584373855,19635.839495818636,20757.951672929077
2026-08-17 18:00:00+00:00,16342.84,19704.29889629685,19143.242807741626,20265.35498485207
2026-08-17 19:00:00+00:00,15649.75,19115.80002956197,18554.743941006753,19676.856118117194
2026-08-17 20:00:00+00:00,14678.51,17833.41167670934,17272.355588154118,18394.467765264562
2026-08-17 21:00:00+00:00,14073.67,16772.840204047206,16211.784115491984,17333.89629260243
2026-08-17 22:00:00+00:00,13447.27,15809.328373503744,15248.272284948522,16370.384462058966
2026-08-17 23:00:00+00:00,12947.47,15259.21250681346,14698.156418258237,15820.268595368681
2026-08-18 00:00:00+00:00,12439.24,14853.08578839303,14292.029699837809,15414.141876948252
2026-08-18 01:00:00+00:00,12786.35,14816.30789107878,14255.251802523559,15377.363979634003
2026-08-18 02:00:00+00:00,12995.62,15077.076886039185,14516.020797483963,15638.132974594408
2026-08-18 03:00:00+00:00,13939.33,16143.32404734176,15582.267958786539,16704.380135896983
2026-08-18 04:00:00+00:00,16103.41,18446.176529393277,17885.120440838058,19007.2326179485
2026-08-18 05:00:00+00:00,17568.03,20140.481342591087,19579.42525403587,20701.53743114631
2026-08-18 06:00:00+00:00,18735.04,21131.44889580068,20570.39280724546,21692.504984355903
2026-08-18 07:00:00+00:00,18584.36,21354.86095288678,20793.804864331556,21915.917041442
2026-08-18 08:00:00+00:00,18758.56,21422.43582512878,20861.37973657356,21983.491913684004
2026-08-18 09:00:00+00:00,18487.68,21629.673825631326,21068.617737076103,22190.729914186548
2026-08-18 10:00:00+00:00,19086.46,21598.279542846572,21037.22345429135,22159.335631401795
2026-08-18 11:00:00+00:00,18531.1,21351.207175579388,20790.151087024165,21912.26326413461
2026-08-18 12:00:00+00:00,18336.04,20641.474320791025,20080.418232235803,21202.530409346247
2026-08-18 13:00:00+00:00,18261.88,20262.45322409042,19701.397135535197,20823.509312645638
2026-08-18 14:00:00+00:00,17616.53,19934.121385686045,19373.065297130823,20495.177474241267
2026-08-18 15:00:00+00:00,17723.85,19914.59444147713,19353.538352921907,20475.65053003235
2026-08-18 16:00:00+00:00,18120.47,20109.93475212397,19548.878663568747,20670.990840679187
2026-08-18 17:00:00+00:00,17767.08,19993.885164931202,19432.82907637598,20554.941253486424
2026-08-18 18:00:00+00:00,17234.23,19337.0002457329,18775.944157177677,19898.05633428812
2026-08-18 19:00:00+00:00,16996.58,18670.24480816985,18109.188719614627,19231.30089672507
2026-08-18 20:00:00+00:00,15536.04,17553.844911661246,16992.788823106024,18114.90100021647
2026-08-18 21:00:00+00:00,14384.29,16313.793438682467,15752.737350127245,16874.84952723769
2026-08-18 22:00:00+00:00,13298.59,15465.736106324834,14904.680017769611,16026.792194880054
2026-08-18 23:00:00+00:00,13061.67,14954.815860886041,14393.75977233082,15515.871949441263
2026-08-19 00:00:00+00:00,12816.84,14643.53325650627,14082.477167951049,15204.589345061495
2026-08-19 01:00:00+00:00,12960.78,14728.470652301381,14167.414563746159,15289.526740856603
2026-08-19 02:00:00+00:00,13159.68,15003.755550172944,14442.699461617722,15564.811638728164
