date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-02-06 00:00:00+00:00,19725.15,19773.056325315534,19206.49926765683,20339.613382974236
2026-02-06 01:00:00+00:00,19440.1,19330.48889056316,18763.931832904454,19897.04594822186
2026-02-06 02:00:00+00:00,19454.79,19305.668177448548,18739.111119789843,19872.22523510725
2026-02-06 03:00:00+00:00,19941.76,19744.001440355885,19177.44438269718,20310.558498014587
2026-02-06 04:00:00+00:00,21243.53,20797.552663475166,20230.995605816464,21364.10972113387
2026-02-06 05:00:00+00:00,23767.18,23207.155980606294,22640.598922947593,23773.713038265
2026-02-06 06:00:00+00:00,25675.58,24968.819622737275,24402.26256507857,25535.376680395977
2026-02-06 07:00:00+00:00,26382.98,25938.62140921002,25372.064351551315,26505.17846686872
2026-02-06 08:00:00+00:00,26389.03,26087.063211085482,25520.506153426777,26653.620268744184
2026-02-06 09:00:00+00:00,26180.75,25984.83908883065,25418.282031171944,26551.39614648935
2026-02-06 10:00:00+00:00,26002.45,25939.629186428392,25373.072128769687,26506.186244087094
2026-02-06 11:00:00+00:00,25982.18,25850.074923326665,25283.517865667964,26416.63198098537
2026-02-06 12:00:00+00:00,25473.43,25563.473152881706,24996.916095223,26130.030210540408
2026-02-06 13:00:00+00:00,24965.88,25158.35972135973,24591.802663701026,25724.916779018437
2026-02-06 14:00:00+00:00,24983.75,24781.843931580235,24215.286873921534,25348.400989238937
2026-02-06 15:00:00+00:00,24945.06,24630.237693892148,24063.680636233446,25196.794751550853
2026-02-06 16:00:00+00:00,25239.65,25000.02390897305,24433.466851314348,25566.58096663175
2026-02-06 17:00:00+00:00,25612.05,25215.657819858374,24649.10076219967,25782.214877517075
2026-02-06 18:00:00+00:00,25240.06,24507.51335988615,23940.95630222745,25074.070417544855
2026-02-06 19:00:00+00:00,23935.73,23087.401881432328,22520.844823773627,23653.958939091033
2026-02-06 20:00:00+00:00,22854.78,21920.62542588704,21354.068368228334,22487.18248354574
2026-02-06 21:00:00+00:00,21723.22,20662.668311294634,20096.111253635932,21229.22536895334
2026-02-06 22:00:00+00:00,20338.29,19330.47274331207,18763.915685653366,19897.029800970773
2026-02-06 23:00:00+00:00,18945.27,18154.22533699494,17587.668279336234,18720.78239465364
2026-02-07 00:00:00+00:00,18570.44,17472.90566937954,16906.348611720834,18039.46272703824
2026-02-07 01:00:00+00:00,18282.7,17128.752264934938,16562.195207276232,17695.30932259364
2026-02-07 02:00:00+00:00,18244.26,17152.635626774103,16586.0785691154,17719.192684432808
2026-02-07 03:00:00+00:00,18318.83,17318.46404048352,16751.906982824818,17885.021098142224
2026-02-07 04:00:00+00:00,18255.46,17647.271274312836,17080.71421665413,18213.828331971537
2026-02-07 05:00:00+00:00,18882.7,18097.078694869873,17530.521637211168,18663.635752528575
2026-02-07 06:00:00+00:00,19547.63,19277.508259083435,18710.95120142473,19844.065316742137
2026-02-07 07:00:00+00:00,20615.96,20650.069607942754,20083.512550284053,21216.62666560146
2026-02-07 08:00:00+00:00,21513.25,21343.697334615288,20777.140276956583,21910.25439227399
2026-02-07 09:00:00+00:00,22111.04,21712.416219691142,21145.859162032437,22278.973277349844
2026-02-07 10:00:00+00:00,22065.04,21930.98304163129,21364.42598397259,22497.540099289996
2026-02-07 11:00:00+00:00,21613.29,21699.402405950714,21132.84534829201,22265.959463609415
2026-02-07 12:00:00+00:00,20731.91,21258.77662716231,20692.219569503606,21825.333684821013
2026-02-07 13:00:00+00:00,20293.81,20802.741405287114,20236.18434762841,21369.298462945815
2026-02-07 14:00:00+00:00,20224.35,20439.45221463977,19872.895156981063,21006.00927229847
2026-02-07 15:00:00+00:00,20687.51,20488.00441989057,19921.44736223187,21054.561477549276
