date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-04-27 00:00:00+00:00,,14126.037,13737.901,14514.173
2026-04-27 01:00:00+00:00,,14304.737,13916.602,14692.873
2026-04-27 02:00:00+00:00,,14956.918,14568.782,15345.055
2026-04-27 03:00:00+00:00,,17064.219,16676.082,17452.355
2026-04-27 04:00:00+00:00,,19402.762,19014.625,19790.896
2026-04-27 05:00:00+00:00,,20892.156,20504.02,21280.291
2026-04-27 06:00:00+00:00,,21719.742,21331.605,22107.877
2026-04-27 07:00:00+00:00,,21530.29,21142.154,21918.426
2026-04-27 08:00:00+00:00,,21440.295,21052.158,21828.43
2026-04-27 09:00:00+00:00,,21363.338,20975.201,21751.473
2026-04-27 10:00:00+00:00,,21304.73,20916.594,21692.865
2026-04-27 11:00:00+00:00,,21013.248,20625.111,21401.383
2026-04-27 12:00:00+00:00,,20212.959,19824.824,20601.096
2026-04-27 13:00:00+00:00,,20014.182,19626.045,20402.316
2026-04-27 14:00:00+00:00,,19734.547,19346.412,20122.684
2026-04-27 15:00:00+00:00,,19968.258,19580.123,20356.395
2026-04-27 16:00:00+00:00,,20495.883,20107.748,20884.02
2026-04-27 17:00:00+00:00,,20748.596,20360.46,21136.732
2026-04-27 18:00:00+00:00,,20924.117,20535.98,21312.254
2026-04-27 19:00:00+00:00,,20490.62,20102.484,20878.756
2026-04-27 20:00:00+00:00,,19613.742,19225.605,20001.877
2026-04-27 21:00:00+00:00,,18388.662,18000.525,18776.799
2026-04-27 22:00:00+00:00,,17252.096,16863.96,17640.232
2026-04-27 23:00:00+00:00,,16482.303,16094.167,16870.44
2026-04-28 00:00:00+00:00,,16322.451,15934.315,16710.588
2026-04-28 01:00:00+00:00,,16431.072,16042.9375,16819.209
2026-04-28 02:00:00+00:00,,16694.55,16306.415,17082.686
2026-04-28 03:00:00+00:00,,17348.805,16960.67,17736.941
2026-04-28 04:00:00+00:00,,19302.107,18913.97,19690.242
2026-04-28 05:00:00+00:00,,21130.19,20742.055,21518.326
2026-04-28 06:00:00+00:00,,22371.682,21983.545,22759.816
2026-04-28 07:00:00+00:00,,22261.791,21873.656,22649.928
2026-04-28 08:00:00+00:00,,21715.271,21327.135,22103.406
2026-04-28 09:00:00+00:00,,21664.326,21276.191,22052.463
2026-04-28 10:00:00+00:00,,21824.95,21436.812,22213.084
2026-04-28 11:00:00+00:00,,21545.346,21157.209,21933.48
2026-04-28 12:00:00+00:00,,21211.217,20823.08,21599.352
2026-04-28 13:00:00+00:00,,20679.844,20291.709,21067.98
2026-04-28 14:00:00+00:00,,20798.996,20410.86,21187.133
2026-04-28 15:00:00+00:00,,21190.04,20801.902,21578.174
2026-04-28 16:00:00+00:00,,21603.52,21215.385,21991.656
2026-04-28 17:00:00+00:00,,21804.541,21416.404,22192.678
2026-04-28 18:00:00+00:00,,21168.621,20780.484,21556.758
2026-04-28 19:00:00+00:00,,20646.514,20258.377,21034.648
2026-04-28 20:00:00+00:00,,19882.834,19494.7,20270.97
2026-04-28 21:00:00+00:00,,18876.605,18488.469,19264.74
2026-04-28 22:00:00+00:00,,17802.963,17414.828,18191.1
2026-04-28 23:00:00+00:00,,17203.025,16814.889,17591.16
2026-04-29 00:00:00+00:00,,17150.207,16762.072,17538.344
2026-04-29 01:00:00+00:00,,17069.445,16681.31,17457.582
2026-04-29 02:00:00+00:00,,17498.756,17110.62,17886.89
2026-04-29 03:00:00+00:00,,17963.61,17575.473,18351.744
2026-04-29 04:00:00+00:00,,19974.66,19586.525,20362.797
2026-04-29 05:00:00+00:00,,21924.12,21535.984,22312.256
2026-04-29 06:00:00+00:00,,22742.406,22354.271,23130.543
2026-04-29 07:00:00+00:00,,22406.682,22018.547,22794.818
2026-04-29 08:00:00+00:00,,21662.545,21274.408,22050.682
2026-04-29 09:00:00+00:00,,21671.65,21283.514,22059.785
2026-04-29 10:00:00+00:00,,21738.838,21350.703,22126.975
2026-04-29 11:00:00+00:00,,21637.652,21249.518,22025.79
2026-04-29 12:00:00+00:00,,21264.672,20876.537,21652.809
2026-04-29 13:00:00+00:00,,20506.188,20118.053,20894.324
2026-04-29 14:00:00+00:00,,20178.518,19790.38,20566.652
2026-04-29 15:00:00+00:00,,20611.025,20222.889,20999.16
2026-04-29 16:00:00+00:00,,21180.42,20792.283,21568.555
2026-04-29 17:00:00+00:00,,21217.297,20829.16,21605.434
2026-04-29 18:00:00+00:00,,20985.932,20597.795,21374.068
2026-04-29 19:00:00+00:00,,20630.693,20242.559,21018.83
2026-04-29 20:00:00+00:00,,19964.846,19576.71,20352.982
2026-04-29 21:00:00+00:00,,18937.352,18549.217,19325.488
2026-04-29 22:00:00+00:00,,18061.186,17673.05,18449.322
2026-04-29 23:00:00+00:00,,17449.953,17061.816,17838.09
2026-04-30 00:00:00+00:00,,16837.078,16448.941,17225.215
2026-04-30 01:00:00+00:00,,16928.568,16540.432,17316.703
2026-04-30 02:00:00+00:00,,17537.953,17149.816,17926.088
2026-04-30 03:00:00+00:00,,18071.727,17683.59,18459.861
2026-04-30 04:00:00+00:00,,19924.377,19536.24,20312.512
2026-04-30 05:00:00+00:00,,22020.0,21631.863,22408.135
2026-04-30 06:00:00+00:00,,22702.418,22314.283,23090.555
