date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-05-23 00:00:00+00:00,14221.22,14116.761,13728.625,14504.896
2026-05-23 01:00:00+00:00,14044.0,13704.08,13315.943,14092.216
2026-05-23 02:00:00+00:00,14978.61,13527.455,13139.319,13915.591
2026-05-23 03:00:00+00:00,15431.77,13462.831,13074.695,13850.967
2026-05-23 04:00:00+00:00,15858.48,13801.868,13413.732,14190.004
2026-05-23 05:00:00+00:00,16314.77,14633.915,14245.779,15022.052
2026-05-23 06:00:00+00:00,17116.27,15483.814,15095.679,15871.95
2026-05-23 07:00:00+00:00,17702.76,15681.841,15293.705,16069.977
2026-05-23 08:00:00+00:00,17753.45,15638.039,15249.902,16026.175
2026-05-23 09:00:00+00:00,18041.39,16011.236,15623.101,16399.371
2026-05-23 10:00:00+00:00,18039.79,15617.909,15229.772,16006.045
2026-05-23 11:00:00+00:00,17859.96,15404.514,15016.378,15792.649
2026-05-23 12:00:00+00:00,17055.84,15367.563,14979.427,15755.699
2026-05-23 13:00:00+00:00,16921.45,15174.889,14786.753,15563.025
2026-05-23 14:00:00+00:00,16810.92,15036.009,14647.873,15424.145
2026-05-23 15:00:00+00:00,16983.4,15620.539,15232.403,16008.675
2026-05-23 16:00:00+00:00,17137.93,16327.16,15939.024,16715.297
2026-05-23 17:00:00+00:00,17125.37,16648.695,16260.559,17036.83
2026-05-23 18:00:00+00:00,16544.07,16566.738,16178.602,16954.873
2026-05-23 19:00:00+00:00,16266.76,16411.5,16023.363,16799.635
2026-05-23 20:00:00+00:00,15686.75,16237.196,15849.061,16625.332
2026-05-23 21:00:00+00:00,14664.54,15404.369,15016.233,15792.505
2026-05-23 22:00:00+00:00,13948.9,14630.541,14242.404,15018.677
2026-05-23 23:00:00+00:00,13261.23,13967.487,13579.352,14355.623
2026-05-24 00:00:00+00:00,12762.57,13407.331,13019.195,13795.467
2026-05-24 01:00:00+00:00,12729.58,13148.631,12760.495,13536.767
2026-05-24 02:00:00+00:00,12892.85,12816.011,12427.875,13204.147
2026-05-24 03:00:00+00:00,13380.86,12636.811,12248.675,13024.947
2026-05-24 04:00:00+00:00,13234.38,12947.633,12559.497,13335.77
2026-05-24 05:00:00+00:00,13879.24,13599.062,13210.926,13987.197
2026-05-24 06:00:00+00:00,15115.33,14326.644,13938.508,14714.779
2026-05-24 07:00:00+00:00,15723.4,14791.688,14403.553,15179.825
2026-05-24 08:00:00+00:00,15935.29,14838.938,14450.803,15227.075
2026-05-24 09:00:00+00:00,16231.3,15168.012,14779.875,15556.147
2026-05-24 10:00:00+00:00,16392.26,15173.743,14785.607,15561.88
2026-05-24 11:00:00+00:00,15818.31,15142.144,14754.008,15530.279
2026-05-24 12:00:00+00:00,15172.46,14911.724,14523.588,15299.86
2026-05-24 13:00:00+00:00,14904.43,14815.438,14427.303,15203.575
2026-05-24 14:00:00+00:00,14934.52,14718.764,14330.628,15106.9
2026-05-24 15:00:00+00:00,15505.35,15109.56,14721.424,15497.695
2026-05-24 16:00:00+00:00,15923.63,15969.844,15581.708,16357.9795
2026-05-24 17:00:00+00:00,16707.23,16352.498,15964.362,16740.633
2026-05-24 18:00:00+00:00,16921.95,16523.322,16135.187,16911.459
2026-05-24 19:00:00+00:00,17142.42,16430.035,16041.898,16818.17
2026-05-24 20:00:00+00:00,16364.61,16345.154,15957.019,16733.291
2026-05-24 21:00:00+00:00,15236.11,15555.66,15167.523,15943.796
2026-05-24 22:00:00+00:00,14305.78,14782.607,14394.472,15170.743
2026-05-24 23:00:00+00:00,13667.11,14131.329,13743.192,14519.465
2026-05-25 00:00:00+00:00,13305.97,13503.53,13115.395,13891.666
2026-05-25 01:00:00+00:00,13131.6,13347.75,12959.614,13735.886
2026-05-25 02:00:00+00:00,13176.12,13308.873,12920.737,13697.009
2026-05-25 03:00:00+00:00,13474.1,13390.207,13002.07,13778.343
2026-05-25 04:00:00+00:00,13985.51,14264.844,13876.707,14652.9795
2026-05-25 05:00:00+00:00,14240.35,15928.806,15540.67,16316.942
2026-05-25 06:00:00+00:00,15029.07,16810.527,16422.39,17198.664
2026-05-25 07:00:00+00:00,15888.72,17063.395,16675.26,17451.531
2026-05-25 08:00:00+00:00,16135.71,17058.701,16670.566,17446.838
2026-05-25 09:00:00+00:00,16746.33,17406.545,17018.408,17794.68
2026-05-25 10:00:00+00:00,16745.55,17504.309,17116.174,17892.445
2026-05-25 11:00:00+00:00,16280.04,17336.822,16948.688,17724.959
2026-05-25 12:00:00+00:00,15840.26,17118.703,16730.566,17506.84
2026-05-25 13:00:00+00:00,15380.74,17049.877,16661.742,17438.014
2026-05-25 14:00:00+00:00,15270.24,16867.434,16479.297,17255.57
2026-05-25 15:00:00+00:00,15908.59,17089.012,16700.877,17477.148
2026-05-25 16:00:00+00:00,16021.31,17355.658,16967.521,17743.795
2026-05-25 17:00:00+00:00,16265.68,17565.36,17177.223,17953.494
2026-05-25 18:00:00+00:00,16464.75,17449.418,17061.281,17837.553
2026-05-25 19:00:00+00:00,16248.9,17093.783,16705.646,17481.918
2026-05-25 20:00:00+00:00,15804.79,16619.828,16231.691,17007.963
2026-05-25 21:00:00+00:00,14884.33,15748.242,15360.106,16136.378
2026-05-25 22:00:00+00:00,14771.96,14790.397,14402.262,15178.533
2026-05-25 23:00:00+00:00,14268.22,14042.121,13653.985,14430.257
2026-05-26 00:00:00+00:00,13837.12,13677.558,13289.421,14065.693
2026-05-26 01:00:00+00:00,13792.72,13790.25,13402.113,14178.386
2026-05-26 02:00:00+00:00,13823.51,14292.9,13904.765,14681.037
2026-05-26 03:00:00+00:00,15063.18,15187.311,14799.174,15575.446
2026-05-26 04:00:00+00:00,17700.69,17841.877,17453.742,18230.014
