date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-02-06 00:00:00+00:00,19725.15,20103.05,19708.26,20497.842
2026-02-06 01:00:00+00:00,19440.1,19987.527,19592.736,20382.318
2026-02-06 02:00:00+00:00,19454.79,20139.225,19744.434,20534.016
2026-02-06 03:00:00+00:00,19941.76,20641.084,20246.293,21035.875
2026-02-06 04:00:00+00:00,21243.53,21827.309,21432.518,22222.1
2026-02-06 05:00:00+00:00,23767.18,24496.719,24101.928,24891.51
2026-02-06 06:00:00+00:00,25675.58,25773.25,25378.459,26168.041
2026-02-06 07:00:00+00:00,26382.98,26294.441,25899.65,26689.232
2026-02-06 08:00:00+00:00,26389.03,26237.014,25842.223,26631.807
2026-02-06 09:00:00+00:00,26180.75,26088.602,25693.809,26483.393
2026-02-06 10:00:00+00:00,26002.45,25824.61,25429.818,26219.4
2026-02-06 11:00:00+00:00,25982.18,25773.566,25378.775,26168.357
2026-02-06 12:00:00+00:00,25473.43,25269.611,24874.82,25664.402
2026-02-06 13:00:00+00:00,24965.88,24858.123,24463.332,25252.914
2026-02-06 14:00:00+00:00,24983.75,24383.598,23988.807,24778.389
2026-02-06 15:00:00+00:00,24945.06,24091.137,23696.346,24485.928
2026-02-06 16:00:00+00:00,25239.65,24335.514,23940.723,24730.305
2026-02-06 17:00:00+00:00,25612.05,24939.38,24544.59,25334.172
2026-02-06 18:00:00+00:00,25240.06,24595.666,24200.875,24990.459
2026-02-06 19:00:00+00:00,23935.73,23766.678,23371.887,24161.469
2026-02-06 20:00:00+00:00,22854.78,22669.916,22275.125,23064.707
2026-02-06 21:00:00+00:00,21723.22,21501.322,21106.531,21896.113
2026-02-06 22:00:00+00:00,20338.29,20171.586,19776.795,20566.377
2026-02-06 23:00:00+00:00,18945.27,19049.686,18654.895,19444.477
2026-02-07 00:00:00+00:00,18570.44,18536.902,18142.111,18931.693
2026-02-07 01:00:00+00:00,18282.7,18415.129,18020.338,18809.92
2026-02-07 02:00:00+00:00,18244.26,18343.553,17948.762,18738.344
2026-02-07 03:00:00+00:00,18318.83,18356.252,17961.46,18751.043
2026-02-07 04:00:00+00:00,18255.46,18897.979,18503.188,19292.77
2026-02-07 05:00:00+00:00,18882.7,19910.934,19516.143,20305.725
2026-02-07 06:00:00+00:00,19547.63,21419.434,21024.643,21814.225
2026-02-07 07:00:00+00:00,20615.96,22250.018,21855.227,22644.809
2026-02-07 08:00:00+00:00,21513.25,22405.857,22011.066,22800.648
2026-02-07 09:00:00+00:00,22111.04,22711.24,22316.45,23106.031
2026-02-07 10:00:00+00:00,22065.04,22596.412,22201.621,22991.203
2026-02-07 11:00:00+00:00,21613.29,22408.273,22013.48,22803.064
2026-02-07 12:00:00+00:00,20731.91,21928.71,21533.92,22323.504
2026-02-07 13:00:00+00:00,20293.81,21521.807,21127.016,21916.598
2026-02-07 14:00:00+00:00,20224.35,21178.764,20783.973,21573.555
2026-02-07 15:00:00+00:00,20687.51,21350.867,20956.076,21745.66
2026-02-07 16:00:00+00:00,21716.39,21909.938,21515.145,22304.729
2026-02-07 17:00:00+00:00,22705.97,22485.764,22090.973,22880.555
2026-02-07 18:00:00+00:00,22312.01,22091.045,21696.254,22485.836
2026-02-07 19:00:00+00:00,21129.19,21103.059,20708.268,21497.85
2026-02-07 20:00:00+00:00,20218.77,20089.412,19694.62,20484.203
2026-02-07 21:00:00+00:00,19455.52,19402.188,19007.396,19796.979
2026-02-07 22:00:00+00:00,18540.65,18342.629,17947.838,18737.42
2026-02-07 23:00:00+00:00,17481.7,17231.945,16837.154,17626.738
2026-02-08 00:00:00+00:00,17021.97,16535.977,16141.186,16930.768
2026-02-08 01:00:00+00:00,16854.09,16279.725,15884.933,16674.516
2026-02-08 02:00:00+00:00,16763.66,16214.895,15820.103,16609.686
2026-02-08 03:00:00+00:00,16975.58,16258.585,15863.794,16653.377
2026-02-08 04:00:00+00:00,16875.84,16549.299,16154.508,16944.09
2026-02-08 05:00:00+00:00,17007.06,17086.898,16692.107,17481.69
2026-02-08 06:00:00+00:00,17705.45,18164.084,17769.293,18558.875
2026-02-08 07:00:00+00:00,18718.04,19351.83,18957.037,19746.621
2026-02-08 08:00:00+00:00,19847.38,20206.162,19811.371,20600.953
2026-02-08 09:00:00+00:00,20411.92,21140.662,20745.871,21535.453
2026-02-08 10:00:00+00:00,20938.93,21355.123,20960.332,21749.914
2026-02-08 11:00:00+00:00,21019.49,21282.646,20887.855,21677.438
2026-02-08 12:00:00+00:00,20855.42,20571.094,20176.303,20965.887
2026-02-08 13:00:00+00:00,20469.8,20185.053,19790.262,20579.844
2026-02-08 14:00:00+00:00,20199.65,20185.473,19790.682,20580.266
2026-02-08 15:00:00+00:00,20471.66,20755.541,20360.75,21150.332
2026-02-08 16:00:00+00:00,21565.05,21322.182,20927.39,21716.973
2026-02-08 17:00:00+00:00,22714.55,22144.182,21749.389,22538.973
2026-02-08 18:00:00+00:00,22596.8,21702.018,21307.227,22096.809
2026-02-08 19:00:00+00:00,21990.77,20822.246,20427.455,21217.037
2026-02-08 20:00:00+00:00,21363.02,19894.709,19499.918,20289.5
2026-02-08 21:00:00+00:00,20518.88,19116.611,18721.818,19511.402
2026-02-08 22:00:00+00:00,19335.15,17959.428,17564.637,18354.22
2026-02-08 23:00:00+00:00,18331.57,17014.824,16620.033,17409.617
2026-02-09 00:00:00+00:00,17884.36,16619.576,16224.785,17014.367
2026-02-09 01:00:00+00:00,17772.72,16487.51,16092.718,16882.3
