date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,17982.12,17372.035,17049.443,17694.627,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,17698.82,17168.57,16845.979,17491.162,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,17430.0,17483.254,17160.662,17805.846,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,17458.4,17128.365,16805.771,17450.957,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,17561.65,17701.33,17378.736,18023.922,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,18567.54,18327.518,18004.926,18650.11,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,19519.88,20573.611,20251.02,20896.203,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,20500.92,20675.861,20353.27,20998.453,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,21950.83,21718.863,21396.271,22041.455,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,22461.58,22216.344,21893.75,22538.936,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,22446.79,22514.55,22191.959,22837.145,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,22044.89,21580.426,21257.834,21903.018,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,22164.98,21754.682,21432.09,22077.275,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,21953.03,21400.078,21077.486,21722.67,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,22039.91,21694.203,21371.61,22016.795,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,22287.29,21866.922,21544.33,22189.516,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,23037.14,22900.828,22578.234,23223.42,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,23476.05,23134.475,22811.883,23457.066,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,23085.43,22878.863,22556.271,23201.455,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,21756.47,21620.326,21297.734,21942.918,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,20619.12,21061.547,20738.955,21384.139,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,19919.1,19833.705,19511.113,20156.297,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,18897.56,18281.889,17959.297,18604.482,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,17323.4,17687.44,17364.848,18010.033,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,16478.78,16339.116,16016.524,16661.709,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,16442.66,16116.09,15793.497,16438.682,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,16271.01,15886.349,15563.756,16208.94,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,16416.04,15835.142,15512.55,16157.734,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,16315.69,16345.445,16022.853,16668.037,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,16586.89,17003.324,16680.732,17325.918,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,16993.48,17401.902,17079.31,17724.496,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,18234.16,19133.496,18810.902,19456.088,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,19480.58,19009.506,18686.914,19332.098,2026-01-31 00:00:00+00:00,32
2026-02-01 09:00:00+00:00,20422.23,20887.54,20564.947,21210.13,2026-01-31 00:00:00+00:00,33
2026-02-01 10:00:00+00:00,20693.54,21064.982,20742.39,21387.574,2026-01-31 00:00:00+00:00,34
2026-02-01 11:00:00+00:00,20900.31,21153.88,20831.29,21476.473,2026-01-31 00:00:00+00:00,35
2026-02-01 12:00:00+00:00,20601.19,20972.988,20650.396,21295.58,2026-01-31 00:00:00+00:00,36
2026-02-01 13:00:00+00:00,20331.96,20896.875,20574.283,21219.467,2026-01-31 00:00:00+00:00,37
2026-02-01 14:00:00+00:00,20252.59,20518.99,20196.398,20841.582,2026-01-31 00:00:00+00:00,38
2026-02-01 15:00:00+00:00,20710.89,20889.795,20567.203,21212.389,2026-01-31 00:00:00+00:00,39
2026-02-01 16:00:00+00:00,21830.29,22685.492,22362.9,23008.084,2026-01-31 00:00:00+00:00,40
2026-02-01 17:00:00+00:00,22577.57,22756.361,22433.768,23078.953,2026-01-31 00:00:00+00:00,41
2026-02-01 18:00:00+00:00,22580.14,22253.658,21931.066,22576.25,2026-01-31 00:00:00+00:00,42
2026-02-01 19:00:00+00:00,21709.95,21247.857,20925.266,21570.451,2026-01-31 00:00:00+00:00,43
2026-02-01 20:00:00+00:00,20464.93,20997.193,20674.602,21319.785,2026-01-31 00:00:00+00:00,44
2026-02-01 21:00:00+00:00,19633.63,19643.422,19320.83,19966.014,2026-01-31 00:00:00+00:00,45
2026-02-01 22:00:00+00:00,18555.22,18464.248,18141.656,18786.84,2026-01-31 00:00:00+00:00,46
2026-02-01 23:00:00+00:00,17212.58,17423.38,17100.79,17745.973,2026-01-31 00:00:00+00:00,47
2026-02-02 00:00:00+00:00,16986.46,16992.777,16670.186,17315.37,2026-01-31 00:00:00+00:00,48
2026-02-02 01:00:00+00:00,16792.19,16846.242,16523.65,17168.836,2026-01-31 00:00:00+00:00,49
