date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-06-18 00:00:00+00:00,,15190.534,14867.941,15513.126
2026-06-18 01:00:00+00:00,,15712.596,15390.004,16035.1875
2026-06-18 02:00:00+00:00,,16037.713,15715.121,16360.306
2026-06-18 03:00:00+00:00,,16849.857,16527.266,17172.45
2026-06-18 04:00:00+00:00,,18670.982,18348.39,18993.574
2026-06-18 05:00:00+00:00,,20441.217,20118.625,20763.81
2026-06-18 06:00:00+00:00,,21325.799,21003.207,21648.39
2026-06-18 07:00:00+00:00,,20862.873,20540.281,21185.465
2026-06-18 08:00:00+00:00,,20936.896,20614.305,21259.488
2026-06-18 09:00:00+00:00,,20553.682,20231.09,20876.273
2026-06-18 10:00:00+00:00,,20511.426,20188.834,20834.018
2026-06-18 11:00:00+00:00,,20699.217,20376.625,21021.809
2026-06-18 12:00:00+00:00,,20647.066,20324.475,20969.658
2026-06-18 13:00:00+00:00,,19735.78,19413.188,20058.371
2026-06-18 14:00:00+00:00,,20363.45,20040.855,20686.041
2026-06-18 15:00:00+00:00,,20107.273,19784.682,20429.867
2026-06-18 16:00:00+00:00,,20518.186,20195.594,20840.777
2026-06-18 17:00:00+00:00,,20707.957,20385.365,21030.549
2026-06-18 18:00:00+00:00,,20502.416,20179.824,20825.008
2026-06-18 19:00:00+00:00,,20068.104,19745.512,20390.695
2026-06-18 20:00:00+00:00,,19515.613,19193.021,19838.207
2026-06-18 21:00:00+00:00,,19235.545,18912.953,19558.137
2026-06-18 22:00:00+00:00,,17969.842,17647.25,18292.434
2026-06-18 23:00:00+00:00,,16184.941,15862.349,16507.533
2026-06-19 00:00:00+00:00,,16732.406,16409.814,17054.998
2026-06-19 01:00:00+00:00,,16392.334,16069.742,16714.926
2026-06-19 02:00:00+00:00,,16859.166,16536.572,17181.758
2026-06-19 03:00:00+00:00,,17136.398,16813.807,17458.99
2026-06-19 04:00:00+00:00,,18558.838,18236.244,18881.43
2026-06-19 05:00:00+00:00,,19867.559,19544.967,20190.15
2026-06-19 06:00:00+00:00,,20665.041,20342.45,20987.633
2026-06-19 07:00:00+00:00,,20469.248,20146.656,20791.84
2026-06-19 08:00:00+00:00,,20244.318,19921.725,20566.91
2026-06-19 09:00:00+00:00,,20731.697,20409.104,21054.29
2026-06-19 10:00:00+00:00,,20466.195,20143.602,20788.787
2026-06-19 11:00:00+00:00,,20294.639,19972.047,20617.23
2026-06-19 12:00:00+00:00,,19961.412,19638.82,20284.004
2026-06-19 13:00:00+00:00,,20200.094,19877.502,20522.686
2026-06-19 14:00:00+00:00,,19327.9,19005.309,19650.492
2026-06-19 15:00:00+00:00,,19634.053,19311.459,19956.645
2026-06-19 16:00:00+00:00,,21304.621,20982.03,21627.213
2026-06-19 17:00:00+00:00,,20728.906,20406.314,21051.498
2026-06-19 18:00:00+00:00,,19894.22,19571.629,20216.812
2026-06-19 19:00:00+00:00,,19404.328,19081.736,19726.922
2026-06-19 20:00:00+00:00,,18249.598,17927.006,18572.19
2026-06-19 21:00:00+00:00,,17068.074,16745.48,17390.666
2026-06-19 22:00:00+00:00,,15441.741,15119.148,15764.333
2026-06-19 23:00:00+00:00,,14209.929,13887.336,14532.521
2026-06-20 00:00:00+00:00,,14169.119,13846.526,14491.711
2026-06-20 01:00:00+00:00,,14435.532,14112.939,14758.124
2026-06-20 02:00:00+00:00,,14090.032,13767.44,14412.624
2026-06-20 03:00:00+00:00,,14624.558,14301.965,14947.149
2026-06-20 04:00:00+00:00,,15829.601,15507.009,16152.193
2026-06-20 05:00:00+00:00,,16599.596,16277.005,16922.19
2026-06-20 06:00:00+00:00,,16784.555,16461.96,17107.146
2026-06-20 07:00:00+00:00,,17637.027,17314.436,17959.62
2026-06-20 08:00:00+00:00,,17470.502,17147.91,17793.094
2026-06-20 09:00:00+00:00,,17440.121,17117.53,17762.713
2026-06-20 10:00:00+00:00,,17334.58,17011.988,17657.172
2026-06-20 11:00:00+00:00,,17410.902,17088.31,17733.494
2026-06-20 12:00:00+00:00,,16602.504,16279.911,16925.096
2026-06-20 13:00:00+00:00,,16508.271,16185.679,16830.863
2026-06-20 14:00:00+00:00,,16792.281,16469.69,17114.873
2026-06-20 15:00:00+00:00,,16966.008,16643.416,17288.6
2026-06-20 16:00:00+00:00,,17804.188,17481.596,18126.781
2026-06-20 17:00:00+00:00,,17801.084,17478.492,18123.676
2026-06-20 18:00:00+00:00,,16973.64,16651.049,17296.234
2026-06-20 19:00:00+00:00,,17281.918,16959.324,17604.51
2026-06-20 20:00:00+00:00,,17750.734,17428.143,18073.326
2026-06-20 21:00:00+00:00,,17737.578,17414.984,18060.17
2026-06-20 22:00:00+00:00,,16666.16,16343.567,16988.752
2026-06-20 23:00:00+00:00,,14278.284,13955.692,14600.877
2026-06-21 00:00:00+00:00,,13451.821,13129.229,13774.413
2026-06-21 01:00:00+00:00,,13483.486,13160.895,13806.079
2026-06-21 02:00:00+00:00,,13728.664,13406.072,14051.256
2026-06-21 03:00:00+00:00,,13696.35,13373.757,14018.942
2026-06-21 04:00:00+00:00,,13561.926,13239.334,13884.518
2026-06-21 05:00:00+00:00,,13502.503,13179.911,13825.095
2026-06-21 06:00:00+00:00,,14585.075,14262.482,14907.668
2026-06-21 07:00:00+00:00,,14935.673,14613.081,15258.265
2026-06-21 08:00:00+00:00,,15161.342,14838.75,15483.935
2026-06-21 09:00:00+00:00,,15641.625,15319.033,15964.217
2026-06-21 10:00:00+00:00,,15758.386,15435.794,16080.978
2026-06-21 11:00:00+00:00,,15888.859,15566.268,16211.451
2026-06-21 12:00:00+00:00,,15449.51,15126.918,15772.103
2026-06-21 13:00:00+00:00,,15443.662,15121.07,15766.254
2026-06-21 14:00:00+00:00,,15246.806,14924.213,15569.397
2026-06-21 15:00:00+00:00,,15648.74,15326.147,15971.332
2026-06-21 16:00:00+00:00,,16052.493,15729.9,16375.085
