date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2026-06-15 00:00:00+00:00,13234.53,13505.889,13183.296,13828.481
2026-06-15 01:00:00+00:00,13418.4,13724.484,13401.892,14047.076
2026-06-15 02:00:00+00:00,14021.3,13857.673,13535.081,14180.265
2026-06-15 03:00:00+00:00,15282.74,15623.884,15301.292,15946.477
2026-06-15 04:00:00+00:00,18099.23,18561.705,18239.113,18884.297
2026-06-15 05:00:00+00:00,19704.76,18923.83,18601.238,19246.422
2026-06-15 06:00:00+00:00,20237.98,21208.941,20886.35,21531.535
2026-06-15 07:00:00+00:00,20614.24,20853.283,20530.691,21175.875
2026-06-15 08:00:00+00:00,21416.54,20827.18,20504.588,21149.771
2026-06-15 09:00:00+00:00,21163.21,21485.537,21162.945,21808.129
2026-06-15 10:00:00+00:00,20993.48,21193.873,20871.281,21516.465
2026-06-15 11:00:00+00:00,21927.87,20868.943,20546.352,21191.535
2026-06-15 12:00:00+00:00,21058.86,20265.639,19943.047,20588.23
2026-06-15 13:00:00+00:00,20357.03,20806.934,20484.342,21129.525
2026-06-15 14:00:00+00:00,20316.4,19924.438,19601.846,20247.03
2026-06-15 15:00:00+00:00,20835.24,20547.564,20224.973,20870.156
2026-06-15 16:00:00+00:00,20588.05,20034.16,19711.568,20356.754
2026-06-15 17:00:00+00:00,20731.56,20372.04,20049.447,20694.63
2026-06-15 18:00:00+00:00,20584.85,19253.557,18930.965,19576.15
2026-06-15 19:00:00+00:00,19694.64,19153.523,18830.932,19476.115
2026-06-15 20:00:00+00:00,18790.12,19274.98,18952.389,19597.574
2026-06-15 21:00:00+00:00,17696.12,18498.312,18175.72,18820.904
2026-06-15 22:00:00+00:00,17096.58,17299.752,16977.16,17622.346
2026-06-15 23:00:00+00:00,16361.13,16549.094,16226.502,16871.688
2026-06-16 00:00:00+00:00,15847.75,14925.929,14603.337,15248.5205
2026-06-16 01:00:00+00:00,15742.52,15130.507,14807.914,15453.099
2026-06-16 02:00:00+00:00,15917.96,15707.191,15384.6,16029.783
2026-06-16 03:00:00+00:00,16968.8,16743.268,16420.676,17065.86
2026-06-16 04:00:00+00:00,19047.38,18250.617,17928.025,18573.209
2026-06-16 05:00:00+00:00,20377.12,19783.209,19460.617,20105.8
2026-06-16 06:00:00+00:00,21099.55,20785.791,20463.2,21108.385
2026-06-16 07:00:00+00:00,21877.34,21498.236,21175.643,21820.828
2026-06-16 08:00:00+00:00,23012.97,21552.064,21229.473,21874.658
2026-06-16 09:00:00+00:00,22974.1,21727.256,21404.664,22049.848
2026-06-16 10:00:00+00:00,21905.73,21167.445,20844.852,21490.037
2026-06-16 11:00:00+00:00,21435.12,20853.316,20530.725,21175.908
2026-06-16 12:00:00+00:00,20507.04,19788.336,19465.744,20110.928
2026-06-16 13:00:00+00:00,20433.22,19731.7,19409.107,20054.291
2026-06-16 14:00:00+00:00,20372.39,19478.53,19155.938,19801.121
2026-06-16 15:00:00+00:00,20417.07,19598.809,19276.217,19921.4
2026-06-16 16:00:00+00:00,20940.18,20054.852,19732.26,20377.443
2026-06-16 17:00:00+00:00,20821.02,19880.268,19557.676,20202.861
2026-06-16 18:00:00+00:00,20573.95,19772.816,19450.225,20095.408
2026-06-16 19:00:00+00:00,19411.83,19658.223,19335.629,19980.814
2026-06-16 20:00:00+00:00,18387.46,19541.004,19218.41,19863.596
2026-06-16 21:00:00+00:00,16977.16,17817.256,17494.662,18139.848
2026-06-16 22:00:00+00:00,15641.81,17368.203,17045.611,17690.797
2026-06-16 23:00:00+00:00,15355.0,16740.97,16418.379,17063.562
2026-06-17 00:00:00+00:00,14888.01,15724.925,15402.332,16047.517
2026-06-17 01:00:00+00:00,15044.69,15394.659,15072.067,15717.252
2026-06-17 02:00:00+00:00,15230.65,15850.299,15527.706,16172.891
2026-06-17 03:00:00+00:00,16090.19,16998.396,16675.805,17320.99
2026-06-17 04:00:00+00:00,18675.08,18575.426,18252.832,18898.018
2026-06-17 05:00:00+00:00,20339.37,20415.658,20093.066,20738.252
2026-06-17 06:00:00+00:00,20968.57,21056.965,20734.373,21379.557
2026-06-17 07:00:00+00:00,20302.91,20916.838,20594.246,21239.43
2026-06-17 08:00:00+00:00,20633.36,20937.238,20614.646,21259.83
2026-06-17 09:00:00+00:00,20989.11,20445.242,20122.65,20767.834
2026-06-17 10:00:00+00:00,21124.4,20344.629,20022.037,20667.22
2026-06-17 11:00:00+00:00,21248.06,20211.139,19888.547,20533.73
2026-06-17 12:00:00+00:00,20093.16,19854.03,19531.438,20176.621
2026-06-17 13:00:00+00:00,19402.44,19470.307,19147.715,19792.898
2026-06-17 14:00:00+00:00,19725.91,19201.852,18879.26,19524.443
2026-06-17 15:00:00+00:00,20149.9,19431.953,19109.361,19754.545
2026-06-17 16:00:00+00:00,20395.39,19965.457,19642.863,20288.049
2026-06-17 17:00:00+00:00,20586.77,19834.582,19511.99,20157.174
2026-06-17 18:00:00+00:00,20190.63,19871.713,19549.121,20194.305
2026-06-17 19:00:00+00:00,19491.43,19036.398,18713.807,19358.992
2026-06-17 20:00:00+00:00,18807.57,18905.695,18583.104,19228.287
2026-06-17 21:00:00+00:00,17322.73,17883.756,17561.164,18206.348
2026-06-17 22:00:00+00:00,16252.31,17376.328,17053.736,17698.92
2026-06-17 23:00:00+00:00,15382.09,16753.906,16431.314,17076.498
2026-06-18 00:00:00+00:00,14900.9,16485.652,16163.06,16808.244
2026-06-18 01:00:00+00:00,14949.9,16232.001,15909.409,16554.594
2026-06-18 02:00:00+00:00,15311.97,15748.628,15426.036,16071.221
2026-06-18 03:00:00+00:00,16020.06,17658.398,17335.807,17980.99
