date,load_lu_actual,load_lu_fitted,load_lu_lower,load_lu_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,516.76,530.8314870504291,519.9634558884134,541.6995182124449,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,493.87,504.7749233679636,493.9068922059478,515.6429545299793,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,498.17,496.8981354672096,486.03010430519384,507.7661666292254,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,494.31,496.8782840050487,486.01025284303296,507.7463151670645,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,502.07,505.92643835971626,495.0584071977005,516.794469521732,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,511.59,528.8868050727089,518.0187739106931,539.7548362347246,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,548.39,565.8340085705141,554.9659774084984,576.7020397325299,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,591.88,607.6197605369426,596.7517293749269,618.4877916989584,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,596.37,636.2376422885361,625.3696111265203,647.1056734505519,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,644.97,663.4930516541341,652.6250204921183,674.3610828161499,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,669.42,669.0007305312535,658.1326993692377,679.8687616932692,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,660.48,663.3899234419802,652.5218922799644,674.2579546039959,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,629.33,646.6775320681242,635.8095009061084,657.5455632301399,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,618.79,632.1830367904639,621.3150056284481,643.0510679524797,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,603.21,619.0750658860943,608.2070347240785,629.9430970481101,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,605.53,624.1409302929877,613.272899130972,635.0089614550035,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,631.64,646.2712235517271,635.4031923897113,657.1392547137428,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,645.78,665.2037628963218,654.335731734306,676.0717940583376,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,657.46,646.6295773172571,635.7615461552414,657.4976084792729,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,623.5,617.2208987083197,606.352867546304,628.0889298703355,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,605.02,587.6860938055338,576.818062643518,598.5541249675496,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,572.51,570.8810077454416,560.0129765834258,581.7490389074574,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,547.36,543.0358458418881,532.1678146798723,553.9038770039039,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,507.9,518.0834621739954,507.2154310119796,528.9514933360111,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,483.3,493.5310237786634,482.66299261664767,504.39905494067915,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,466.44,477.0751186348376,466.20708747282185,487.9431497968534,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,458.61,469.15429849269157,458.2862673306758,480.02232965470733,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,456.08,470.64386448219346,459.7758333201777,481.51189564420923,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,461.54,478.8269291006341,467.95889793861835,489.6949602626499,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,475.41,496.2189924384623,485.3509612764465,507.08702360047806,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,491.27,521.7636364275796,510.8956052655638,532.6316675895954,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,505.65,550.6388462988713,539.7708151368555,561.506877460887,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,533.88,579.3171712165591,568.4491400545434,590.1852023785749,2026-01-31 00:00:00+00:00,32
2026-02-01 09:00:00+00:00,561.46,604.9106421004369,594.0426109384211,615.7786732624527,2026-01-31 00:00:00+00:00,33
2026-02-01 10:00:00+00:00,593.93,625.9690257673253,615.1009946053097,636.8370569293411,2026-01-31 00:00:00+00:00,34
2026-02-01 11:00:00+00:00,610.92,628.9133285071198,618.045297345104,639.7813596691356,2026-01-31 00:00:00+00:00,35
2026-02-01 12:00:00+00:00,586.06,612.8786406190059,602.0106094569901,623.7466717810216,2026-01-31 00:00:00+00:00,36
2026-02-01 13:00:00+00:00,562.19,596.2971537878024,585.4291226257866,607.1651849498181,2026-01-31 00:00:00+00:00,37
2026-02-01 14:00:00+00:00,549.82,586.9206524472611,576.0526212852453,597.7886836092769,2026-01-31 00:00:00+00:00,38
2026-02-01 15:00:00+00:00,555.19,589.904155330109,579.0361241680932,600.7721864921248,2026-01-31 00:00:00+00:00,39
2026-02-01 16:00:00+00:00,588.97,614.7869819678679,603.9189508058521,625.6550131298836,2026-01-31 00:00:00+00:00,40
2026-02-01 17:00:00+00:00,612.55,640.8330145606424,629.9649833986266,651.7010457226581,2026-01-31 00:00:00+00:00,41
2026-02-01 18:00:00+00:00,605.35,631.039646301311,620.1716151392952,641.9076774633268,2026-01-31 00:00:00+00:00,42
2026-02-01 19:00:00+00:00,586.26,601.9560847821147,591.0880536200989,612.8241159441304,2026-01-31 00:00:00+00:00,43
2026-02-01 20:00:00+00:00,560.68,576.9644305390566,566.0963993770408,587.8324617010724,2026-01-31 00:00:00+00:00,44
2026-02-01 21:00:00+00:00,551.45,566.0109829122074,555.1429517501916,576.8790140742232,2026-01-31 00:00:00+00:00,45
