date,load_lu_actual,load_lu_fitted,load_lu_lower,load_lu_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,516.76,524.98596,517.45886,532.5131,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,493.87,507.37378,499.84665,514.90094,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,498.17,495.40323,487.8761,502.93036,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,494.31,492.02774,484.5006,499.5549,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,502.07,501.7828,494.25568,509.30997,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,511.59,514.87286,507.34573,522.4,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,548.39,542.024,534.4969,549.55115,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,591.88,581.1446,573.61743,588.67175,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,596.37,596.8642,589.33704,604.39136,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,644.97,634.37976,626.8526,641.90686,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,669.42,649.3389,641.81177,656.866,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,660.48,643.00854,635.4814,650.53564,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,629.33,620.61664,613.0895,628.1438,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,618.79,606.0046,598.4774,613.5317,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,603.21,593.51904,585.99194,601.0462,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,605.53,596.4142,588.887,603.9413,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,631.64,623.161,615.63385,630.6881,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,645.78,647.4003,639.87317,654.9274,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,657.46,648.22156,640.69446,655.7487,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,623.5,614.21735,606.6902,621.74445,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,605.02,595.18494,587.65784,602.7121,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,572.51,575.0614,567.5343,582.58856,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,547.36,551.87744,544.3503,559.4046,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,507.9,524.09216,516.56506,531.6193,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,483.3,496.70166,489.1745,504.2288,2026-01-31 00:00:00+00:00,24
2026-02-01 01:00:00+00:00,466.44,475.35757,467.8304,482.8847,2026-01-31 00:00:00+00:00,25
2026-02-01 02:00:00+00:00,458.61,464.2625,456.73535,471.78964,2026-01-31 00:00:00+00:00,26
2026-02-01 03:00:00+00:00,456.08,461.31454,453.7874,468.8417,2026-01-31 00:00:00+00:00,27
2026-02-01 04:00:00+00:00,461.54,465.71725,458.19012,473.2444,2026-01-31 00:00:00+00:00,28
2026-02-01 05:00:00+00:00,475.41,478.8149,471.28775,486.34204,2026-01-31 00:00:00+00:00,29
2026-02-01 06:00:00+00:00,491.27,498.51102,490.9839,506.03815,2026-01-31 00:00:00+00:00,30
2026-02-01 07:00:00+00:00,505.65,511.71265,504.18552,519.2398,2026-01-31 00:00:00+00:00,31
2026-02-01 08:00:00+00:00,533.88,536.27606,528.74896,543.8032,2026-01-31 00:00:00+00:00,32
2026-02-01 09:00:00+00:00,561.46,562.0056,554.47845,569.5328,2026-01-31 00:00:00+00:00,33
2026-02-01 10:00:00+00:00,593.93,588.78845,581.2613,596.31555,2026-01-31 00:00:00+00:00,34
2026-02-01 11:00:00+00:00,610.92,603.11957,595.5924,610.6467,2026-01-31 00:00:00+00:00,35
2026-02-01 12:00:00+00:00,586.06,578.33136,570.80426,585.8585,2026-01-31 00:00:00+00:00,36
2026-02-01 13:00:00+00:00,562.19,563.0332,555.50604,570.56036,2026-01-31 00:00:00+00:00,37
2026-02-01 14:00:00+00:00,549.82,549.5617,542.0346,557.08887,2026-01-31 00:00:00+00:00,38
2026-02-01 15:00:00+00:00,555.19,561.1488,553.6217,568.67596,2026-01-31 00:00:00+00:00,39
2026-02-01 16:00:00+00:00,588.97,588.9601,581.4329,596.4872,2026-01-31 00:00:00+00:00,40
2026-02-01 17:00:00+00:00,612.55,608.9971,601.47,616.52423,2026-01-31 00:00:00+00:00,41
2026-02-01 18:00:00+00:00,605.35,592.5376,585.01044,600.06476,2026-01-31 00:00:00+00:00,42
2026-02-01 19:00:00+00:00,586.26,571.4155,563.8884,578.9427,2026-01-31 00:00:00+00:00,43
2026-02-01 20:00:00+00:00,560.68,549.9436,542.41644,557.47076,2026-01-31 00:00:00+00:00,44
2026-02-01 21:00:00+00:00,551.45,539.99243,532.4653,547.5196,2026-01-31 00:00:00+00:00,45
2026-02-01 22:00:00+00:00,523.38,515.41095,507.88382,522.9381,2026-01-31 00:00:00+00:00,46
2026-02-01 23:00:00+00:00,497.38,493.0045,485.47736,500.53165,2026-01-31 00:00:00+00:00,47
2026-02-02 00:00:00+00:00,475.71,468.86624,461.3391,476.39337,2026-01-31 00:00:00+00:00,48
2026-02-02 01:00:00+00:00,465.31,455.46115,447.93402,462.9883,2026-01-31 00:00:00+00:00,49
2026-02-02 02:00:00+00:00,462.25,450.87463,443.34747,458.40176,2026-01-31 00:00:00+00:00,50
2026-02-02 03:00:00+00:00,474.04,463.44904,455.9219,470.9762,2026-01-31 00:00:00+00:00,51
2026-02-02 04:00:00+00:00,510.47,499.4259,491.89877,506.95306,2026-01-31 00:00:00+00:00,52
2026-02-02 05:00:00+00:00,596.18,579.1389,571.61176,586.666,2026-01-31 00:00:00+00:00,53
2026-02-02 06:00:00+00:00,677.01,663.37823,655.8511,670.90533,2026-01-31 00:00:00+00:00,54
2026-02-02 07:00:00+00:00,723.29,712.34314,704.81604,719.8703,2026-01-31 00:00:00+00:00,55
2026-02-02 08:00:00+00:00,749.08,742.44635,734.91925,749.9735,2026-01-31 00:00:00+00:00,56
2026-02-02 09:00:00+00:00,756.5,748.4565,740.9294,755.98364,2026-01-31 00:00:00+00:00,57
2026-02-02 10:00:00+00:00,762.09,750.26514,742.73804,757.7923,2026-01-31 00:00:00+00:00,58
2026-02-02 11:00:00+00:00,754.41,737.81946,730.2923,745.3466,2026-01-31 00:00:00+00:00,59
2026-02-02 12:00:00+00:00,735.29,720.5053,712.97815,728.0325,2026-01-31 00:00:00+00:00,60
2026-02-02 13:00:00+00:00,718.34,700.14417,692.617,707.6713,2026-01-31 00:00:00+00:00,61
2026-02-02 14:00:00+00:00,700.69,691.06195,683.5348,698.5891,2026-01-31 00:00:00+00:00,62
2026-02-02 15:00:00+00:00,693.96,686.89636,679.3692,694.42346,2026-01-31 00:00:00+00:00,63
2026-02-02 16:00:00+00:00,718.44,717.79175,710.2646,725.3189,2026-01-31 00:00:00+00:00,64
2026-02-02 17:00:00+00:00,740.74,740.46747,732.9403,747.9946,2026-01-31 00:00:00+00:00,65
2026-02-02 18:00:00+00:00,725.42,723.43274,715.90564,730.9599,2026-01-31 00:00:00+00:00,66
2026-02-02 19:00:00+00:00,691.64,688.7969,681.2697,696.32404,2026-01-31 00:00:00+00:00,67
2026-02-02 20:00:00+00:00,647.32,639.8874,632.3602,647.4145,2026-01-31 00:00:00+00:00,68
2026-02-02 21:00:00+00:00,617.93,614.76605,607.2389,622.29315,2026-01-31 00:00:00+00:00,69
2026-02-02 22:00:00+00:00,582.89,581.7214,574.1942,589.24854,2026-01-31 00:00:00+00:00,70
2026-02-02 23:00:00+00:00,555.72,551.9872,544.4601,559.51434,2026-01-31 00:00:00+00:00,71
2026-02-03 00:00:00+00:00,528.72,524.7569,517.2298,532.28406,2026-01-31 00:00:00+00:00,72
