date,load_lu_actual,load_lu_fitted,load_lu_lower,load_lu_upper
2026-04-27 00:00:00+00:00,403.62,402.0057,394.47858,409.53284
2026-04-27 01:00:00+00:00,406.58,400.53528,393.00815,408.06244
2026-04-27 02:00:00+00:00,420.43,411.73767,404.21054,419.26483
2026-04-27 03:00:00+00:00,459.39,443.81293,436.2858,451.34006
2026-04-27 04:00:00+00:00,534.26,507.41882,499.8917,514.946
2026-04-27 05:00:00+00:00,582.73,568.0348,560.5076,575.5619
2026-04-27 06:00:00+00:00,613.07,602.15564,594.6285,609.68274
2026-04-27 07:00:00+00:00,624.43,615.63007,608.1029,623.15717
2026-04-27 08:00:00+00:00,631.97,617.5656,610.03845,625.0928
2026-04-27 09:00:00+00:00,637.13,616.98376,609.4566,624.5109
2026-04-27 10:00:00+00:00,626.07,606.27014,598.743,613.79724
2026-04-27 11:00:00+00:00,614.6,595.31506,587.7879,602.84216
2026-04-27 12:00:00+00:00,594.88,582.81433,575.28723,590.3415
2026-04-27 13:00:00+00:00,575.0,575.791,568.26385,583.3182
2026-04-27 14:00:00+00:00,564.53,569.9226,562.39545,577.4497
2026-04-27 15:00:00+00:00,576.46,573.33203,565.8049,580.85913
2026-04-27 16:00:00+00:00,590.99,579.66095,572.1338,587.1881
2026-04-27 17:00:00+00:00,594.45,583.09094,575.5638,590.61804
2026-04-27 18:00:00+00:00,581.7,568.9292,561.4021,576.45636
2026-04-27 19:00:00+00:00,562.92,552.13403,544.6069,559.66113
2026-04-27 20:00:00+00:00,529.53,530.75635,523.2292,538.28345
2026-04-27 21:00:00+00:00,500.92,504.28214,496.755,511.8093
2026-04-27 22:00:00+00:00,475.62,477.89114,470.36398,485.41827
2026-04-27 23:00:00+00:00,453.11,452.4054,444.87827,459.93253
2026-04-28 00:00:00+00:00,438.5,439.33188,431.80472,446.859
2026-04-28 01:00:00+00:00,414.89,433.19946,425.67233,440.7266
2026-04-28 02:00:00+00:00,416.8,435.98978,428.46262,443.5169
2026-04-28 03:00:00+00:00,444.97,454.17676,446.64963,461.7039
2026-04-28 04:00:00+00:00,501.86,508.81412,501.28696,516.34125
2026-04-28 05:00:00+00:00,551.35,562.6382,555.111,570.1653
2026-04-28 06:00:00+00:00,583.1,602.37067,594.8435,609.89777
2026-04-28 07:00:00+00:00,595.83,619.72235,612.19525,627.2495
2026-04-28 08:00:00+00:00,599.45,616.2295,608.70233,623.7566
2026-04-28 09:00:00+00:00,603.04,620.479,612.95184,628.0061
2026-04-28 10:00:00+00:00,596.49,611.90173,604.37463,619.4289
2026-04-28 11:00:00+00:00,590.35,601.6205,594.0933,609.1476
2026-04-28 12:00:00+00:00,575.95,585.1423,577.6151,592.6694
2026-04-28 13:00:00+00:00,557.77,571.709,564.1818,579.2361
2026-04-28 14:00:00+00:00,549.77,562.1218,554.5947,569.649
2026-04-28 15:00:00+00:00,554.04,562.0069,554.47974,569.53406
2026-04-28 16:00:00+00:00,566.91,566.5076,558.9805,574.0348
2026-04-28 17:00:00+00:00,568.7,565.3093,557.78217,572.8365
2026-04-28 18:00:00+00:00,554.4,549.8069,542.2798,557.33405
2026-04-28 19:00:00+00:00,540.4,544.82886,537.30176,552.356
2026-04-28 20:00:00+00:00,508.83,519.87695,512.34985,527.4041
2026-04-28 21:00:00+00:00,469.59,485.15723,477.6301,492.68436
2026-04-28 22:00:00+00:00,470.47,455.97864,448.45148,463.50577
2026-04-28 23:00:00+00:00,449.09,435.78085,428.25372,443.30798
2026-04-29 00:00:00+00:00,435.23,420.9925,413.46533,428.51962
2026-04-29 01:00:00+00:00,431.2,419.91077,412.3836,427.4379
2026-04-29 02:00:00+00:00,441.69,424.4095,416.88235,431.9366
2026-04-29 03:00:00+00:00,474.27,444.74936,437.22223,452.2765
2026-04-29 04:00:00+00:00,535.43,492.8418,485.31464,500.36893
