date,load_lu_actual,load_lu_fitted,load_lu_lower,load_lu_upper
2026-02-06 00:00:00+00:00,531.89,536.71716,529.1675,544.2668
2026-02-06 01:00:00+00:00,515.09,517.3796,509.8299,524.9292
2026-02-06 02:00:00+00:00,505.43,516.3011,508.75143,523.8507
2026-02-06 03:00:00+00:00,514.55,523.69135,516.14166,531.24097
2026-02-06 04:00:00+00:00,541.77,555.59,548.0404,563.13965
2026-02-06 05:00:00+00:00,613.92,633.7528,626.2032,641.3024
2026-02-06 06:00:00+00:00,694.49,714.58545,707.0358,722.1351
2026-02-06 07:00:00+00:00,740.55,764.0747,756.5251,771.6244
2026-02-06 08:00:00+00:00,755.23,776.1664,768.61676,783.71606
2026-02-06 09:00:00+00:00,764.63,778.73663,771.18695,786.28625
2026-02-06 10:00:00+00:00,771.37,788.4973,780.9477,796.04694
2026-02-06 11:00:00+00:00,750.16,774.92944,767.37976,782.47906
2026-02-06 12:00:00+00:00,731.21,757.50024,749.95056,765.04987
2026-02-06 13:00:00+00:00,711.14,729.4172,721.86755,736.96686
2026-02-06 14:00:00+00:00,687.95,713.39044,705.8408,720.94006
2026-02-06 15:00:00+00:00,677.98,698.73883,691.1892,706.28845
2026-02-06 16:00:00+00:00,700.35,720.90295,713.3533,728.4526
2026-02-06 17:00:00+00:00,721.23,744.3633,736.81366,751.9129
2026-02-06 18:00:00+00:00,704.13,725.6741,718.12445,733.2237
2026-02-06 19:00:00+00:00,672.73,685.39874,677.84906,692.94836
2026-02-06 20:00:00+00:00,628.27,638.9578,631.40814,646.50745
2026-02-06 21:00:00+00:00,602.63,609.9012,602.35156,617.45087
2026-02-06 22:00:00+00:00,570.26,572.8087,565.25903,580.35834
2026-02-06 23:00:00+00:00,549.65,536.29456,528.74493,543.8442
2026-02-07 00:00:00+00:00,520.47,516.0231,508.4734,523.5727
2026-02-07 01:00:00+00:00,500.14,502.5966,495.04694,510.14624
2026-02-07 02:00:00+00:00,488.88,495.26843,487.71878,502.81808
2026-02-07 03:00:00+00:00,488.46,486.43024,478.88058,493.97986
2026-02-07 04:00:00+00:00,495.4,495.40637,487.85675,502.95602
2026-02-07 05:00:00+00:00,509.37,513.9875,506.43784,521.5371
2026-02-07 06:00:00+00:00,531.69,544.0531,536.5034,551.6027
2026-02-07 07:00:00+00:00,553.54,570.7273,563.1776,578.2769
2026-02-07 08:00:00+00:00,577.61,595.5119,587.9622,603.0615
2026-02-07 09:00:00+00:00,587.59,615.9955,608.4458,623.5451
2026-02-07 10:00:00+00:00,607.81,624.5043,616.95465,632.05396
2026-02-07 11:00:00+00:00,607.08,620.61774,613.06805,628.16736
2026-02-07 12:00:00+00:00,580.83,602.73444,595.1848,610.2841
2026-02-07 13:00:00+00:00,559.69,586.9198,579.3701,594.4694
2026-02-07 14:00:00+00:00,551.85,579.6032,572.0536,587.1529
2026-02-07 15:00:00+00:00,551.93,585.69354,578.1439,593.2432
2026-02-07 16:00:00+00:00,587.71,619.96344,612.4138,627.5131
2026-02-07 17:00:00+00:00,625.82,655.77423,648.2246,663.3239
