date,load_lu_actual,load_lu_fitted,load_lu_lower,load_lu_upper
2026-05-19 00:00:00+00:00,,484.69983,474.32455,495.0751
2026-05-19 01:00:00+00:00,,461.1772,450.8019,471.55246
2026-05-19 02:00:00+00:00,,481.862,471.48672,492.23724
2026-05-19 03:00:00+00:00,,490.70718,480.3319,501.08243
2026-05-19 04:00:00+00:00,,544.0036,533.62836,554.3789
2026-05-19 05:00:00+00:00,,588.43085,578.05554,598.8061
2026-05-19 06:00:00+00:00,,614.95685,604.58154,625.3321
2026-05-19 07:00:00+00:00,,624.7729,614.3976,635.14813
2026-05-19 08:00:00+00:00,,641.18054,630.8053,651.5558
2026-05-19 09:00:00+00:00,,644.0072,633.6319,654.38245
2026-05-19 10:00:00+00:00,,641.43134,631.0561,651.8066
2026-05-19 11:00:00+00:00,,632.12866,621.75336,642.5039
2026-05-19 12:00:00+00:00,,604.4365,594.0613,614.81177
2026-05-19 13:00:00+00:00,,586.03503,575.6597,596.4103
2026-05-19 14:00:00+00:00,,597.22406,586.84875,607.5993
2026-05-19 15:00:00+00:00,,599.91174,589.53644,610.287
2026-05-19 16:00:00+00:00,,601.1445,590.76917,611.5197
2026-05-19 17:00:00+00:00,,596.2346,585.8593,606.60986
2026-05-19 18:00:00+00:00,,563.87225,553.49695,574.2475
2026-05-19 19:00:00+00:00,,561.0174,550.64215,571.3927
2026-05-19 20:00:00+00:00,,525.82117,515.4459,536.1965
2026-05-19 21:00:00+00:00,,473.27405,462.89877,483.64932
2026-05-19 22:00:00+00:00,,491.67645,481.30118,502.05173
2026-05-19 23:00:00+00:00,,481.97827,471.603,492.35355
2026-05-20 00:00:00+00:00,,422.19504,411.81976,432.5703
2026-05-20 01:00:00+00:00,,444.16547,433.7902,454.54074
2026-05-20 02:00:00+00:00,,465.78854,455.41327,476.16382
2026-05-20 03:00:00+00:00,,466.67502,456.29974,477.0503
2026-05-20 04:00:00+00:00,,488.76425,478.389,499.13953
2026-05-20 05:00:00+00:00,,575.7665,565.39124,586.1418
2026-05-20 06:00:00+00:00,,612.36523,601.9899,622.7405
2026-05-20 07:00:00+00:00,,640.6533,630.2781,651.02856
2026-05-20 08:00:00+00:00,,641.9345,631.55927,652.30975
2026-05-20 09:00:00+00:00,,644.484,634.1087,654.85925
2026-05-20 10:00:00+00:00,,626.596,616.22076,636.9713
2026-05-20 11:00:00+00:00,,618.29565,607.9204,628.67096
2026-05-20 12:00:00+00:00,,613.7538,603.37854,624.129
2026-05-20 13:00:00+00:00,,593.77386,583.39856,604.1491
2026-05-20 14:00:00+00:00,,584.1083,573.73303,594.4835
2026-05-20 15:00:00+00:00,,577.2769,566.9017,587.6522
2026-05-20 16:00:00+00:00,,583.2798,572.90454,593.6551
2026-05-20 17:00:00+00:00,,576.1099,565.7347,586.4852
2026-05-20 18:00:00+00:00,,536.7702,526.3949,547.14545
2026-05-20 19:00:00+00:00,,540.9997,530.62445,551.37494
2026-05-20 20:00:00+00:00,,536.7637,526.3884,547.139
2026-05-20 21:00:00+00:00,,492.31573,481.9405,502.691
2026-05-20 22:00:00+00:00,,449.05438,438.67914,459.42966
2026-05-20 23:00:00+00:00,,443.31216,432.93692,453.68744
2026-05-21 00:00:00+00:00,,420.1322,409.75693,430.50748
2026-05-21 01:00:00+00:00,,432.0082,421.63297,442.38348
2026-05-21 02:00:00+00:00,,438.4333,428.058,448.80853
2026-05-21 03:00:00+00:00,,477.49866,467.12338,487.87393
2026-05-21 04:00:00+00:00,,509.33206,498.9568,519.70734
2026-05-21 05:00:00+00:00,,564.4469,554.07166,574.8222
2026-05-21 06:00:00+00:00,,597.4742,587.09894,607.8495
2026-05-21 07:00:00+00:00,,633.34247,622.9672,643.7178
2026-05-21 08:00:00+00:00,,625.6669,615.2916,636.0421
2026-05-21 09:00:00+00:00,,626.4313,616.056,636.8066
2026-05-21 10:00:00+00:00,,622.19037,611.8151,632.5657
2026-05-21 11:00:00+00:00,,617.3449,606.9696,627.72015
2026-05-21 12:00:00+00:00,,602.6194,592.2441,612.9946
2026-05-21 13:00:00+00:00,,584.2018,573.8265,594.577
2026-05-21 14:00:00+00:00,,567.0232,556.64795,577.3985
2026-05-21 15:00:00+00:00,,577.70386,567.3286,588.07916
2026-05-21 16:00:00+00:00,,587.5299,577.15466,597.9052
2026-05-21 17:00:00+00:00,,572.495,562.11975,582.8703
2026-05-21 18:00:00+00:00,,552.4555,542.0802,562.83075
2026-05-21 19:00:00+00:00,,567.80457,557.4293,578.1798
2026-05-21 20:00:00+00:00,,520.90247,510.52716,531.2777
2026-05-21 21:00:00+00:00,,507.79843,497.4232,518.1737
2026-05-21 22:00:00+00:00,,492.80692,482.43164,503.1822
2026-05-21 23:00:00+00:00,,465.97238,455.5971,476.34766
