date,load_lu_actual,load_lu_fitted,load_lu_lower,load_lu_upper
2026-05-26 00:00:00+00:00,386.73,418.6457,408.27042,429.02097
2026-05-26 01:00:00+00:00,382.61,418.65244,408.27716,429.02768
2026-05-26 02:00:00+00:00,390.26,417.1638,406.78854,427.53906
2026-05-26 03:00:00+00:00,416.32,422.32944,411.95416,432.70468
2026-05-26 04:00:00+00:00,468.33,459.5335,449.15823,469.90878
2026-05-26 05:00:00+00:00,524.53,465.67743,455.30215,476.0527
2026-05-26 06:00:00+00:00,564.31,486.53607,476.1608,496.91135
2026-05-26 07:00:00+00:00,594.48,556.25494,545.8797,566.6302
2026-05-26 08:00:00+00:00,610.17,563.28937,552.91406,573.6646
2026-05-26 09:00:00+00:00,618.52,577.0809,566.7056,587.4562
2026-05-26 10:00:00+00:00,618.36,562.85895,552.4837,573.23425
2026-05-26 11:00:00+00:00,614.02,557.8174,547.4421,568.1926
2026-05-26 12:00:00+00:00,600.02,563.2414,552.86615,573.6167
2026-05-26 13:00:00+00:00,586.6,572.2047,561.82947,582.58
2026-05-26 14:00:00+00:00,580.4,565.037,554.66174,575.4123
2026-05-26 15:00:00+00:00,578.74,569.78503,559.4097,580.1603
2026-05-26 16:00:00+00:00,584.91,572.79065,562.4154,583.16595
2026-05-26 17:00:00+00:00,579.37,568.7689,558.3937,579.14417
2026-05-26 18:00:00+00:00,561.71,555.5109,545.1357,565.8862
2026-05-26 19:00:00+00:00,546.0,526.6825,516.30725,537.05774
2026-05-26 20:00:00+00:00,530.83,519.39294,509.01767,529.7682
2026-05-26 21:00:00+00:00,494.41,473.44824,463.07297,483.8235
2026-05-26 22:00:00+00:00,468.24,470.56476,460.18948,480.94003
2026-05-26 23:00:00+00:00,446.88,431.41357,421.0383,441.78885
2026-05-27 00:00:00+00:00,434.38,438.18988,427.8146,448.56512
2026-05-27 01:00:00+00:00,426.98,420.82895,410.4537,431.20422
2026-05-27 02:00:00+00:00,432.6,404.78934,394.41406,415.16458
2026-05-27 03:00:00+00:00,452.16,427.7118,417.33652,438.08704
2026-05-27 04:00:00+00:00,496.78,458.9962,448.62094,469.37146
2026-05-27 05:00:00+00:00,545.72,469.82666,459.4514,480.20193
2026-05-27 06:00:00+00:00,580.22,552.8116,542.4363,563.1868
2026-05-27 07:00:00+00:00,603.87,578.5961,568.2208,588.9714
2026-05-27 08:00:00+00:00,617.94,551.9488,541.57355,562.3241
2026-05-27 09:00:00+00:00,626.13,522.1175,511.74222,532.49274
2026-05-27 10:00:00+00:00,629.28,526.6163,516.241,536.9916
2026-05-27 11:00:00+00:00,622.37,529.5376,519.16235,539.9129
2026-05-27 12:00:00+00:00,612.06,502.72864,492.35336,513.1039
2026-05-27 13:00:00+00:00,599.46,499.05527,488.68,509.43054
2026-05-27 14:00:00+00:00,596.45,521.24786,510.8726,531.62317
2026-05-27 15:00:00+00:00,601.98,530.2098,519.8345,540.585
2026-05-27 16:00:00+00:00,603.73,527.07074,516.69543,537.446
2026-05-27 17:00:00+00:00,590.45,532.0543,521.6791,542.42957
2026-05-27 18:00:00+00:00,564.48,537.66187,527.2866,548.0372
2026-05-27 19:00:00+00:00,551.43,489.00894,478.6337,499.38422
2026-05-27 20:00:00+00:00,531.63,478.55075,468.17548,488.92603
2026-05-27 21:00:00+00:00,500.83,463.5689,453.19363,473.94418
2026-05-27 22:00:00+00:00,473.89,448.98685,438.61157,459.3621
2026-05-27 23:00:00+00:00,450.66,449.70917,439.3339,460.08444
2026-05-28 00:00:00+00:00,438.81,435.14255,424.7673,445.51782
2026-05-28 01:00:00+00:00,431.77,443.21393,432.83865,453.5892
2026-05-28 02:00:00+00:00,435.68,453.63367,443.25842,464.00894
2026-05-28 03:00:00+00:00,452.6,452.23148,441.8562,462.60675
2026-05-28 04:00:00+00:00,502.51,520.017,509.64172,530.3923
2026-05-28 05:00:00+00:00,548.48,545.32544,534.9502,555.70074
2026-05-28 06:00:00+00:00,584.06,588.80096,578.4257,599.1763
2026-05-28 07:00:00+00:00,609.65,627.4321,617.0569,637.8074
2026-05-28 08:00:00+00:00,621.82,637.4377,627.0624,647.8129
2026-05-28 09:00:00+00:00,627.25,642.7541,632.37885,653.12933
2026-05-28 10:00:00+00:00,625.89,619.0736,608.6983,629.44885
2026-05-28 11:00:00+00:00,614.28,598.9164,588.5411,609.2916
2026-05-28 12:00:00+00:00,608.04,606.01056,595.63525,616.3858
2026-05-28 13:00:00+00:00,594.29,601.1762,590.80096,611.5515
2026-05-28 14:00:00+00:00,586.72,578.0476,567.67236,588.4229
2026-05-28 15:00:00+00:00,590.21,578.2024,567.82715,588.5777
2026-05-28 16:00:00+00:00,593.24,583.7818,573.4065,594.15704
2026-05-28 17:00:00+00:00,593.32,593.2181,582.8428,603.5933
2026-05-28 18:00:00+00:00,578.76,573.7678,563.3925,584.14307
2026-05-28 19:00:00+00:00,558.89,554.3604,543.98517,564.7357
2026-05-28 20:00:00+00:00,538.34,536.912,526.53674,547.28723
2026-05-28 21:00:00+00:00,504.04,502.23074,491.85547,512.606
2026-05-28 22:00:00+00:00,477.5,474.036,463.66074,484.4113
2026-05-28 23:00:00+00:00,459.16,466.48215,456.10687,476.85742
2026-05-29 00:00:00+00:00,441.69,465.1474,454.77213,475.52264
2026-05-29 01:00:00+00:00,436.19,465.7077,455.33246,476.08298
2026-05-29 02:00:00+00:00,439.55,456.69565,446.32037,467.07092
2026-05-29 03:00:00+00:00,457.9,489.68515,479.30988,500.0604
2026-05-29 04:00:00+00:00,502.34,552.1765,541.8013,562.5518
2026-05-29 05:00:00+00:00,548.04,568.8854,558.51013,579.2607
2026-05-29 06:00:00+00:00,580.84,584.432,574.0567,594.80725
2026-05-29 07:00:00+00:00,603.73,630.2735,619.8982,640.64874
2026-05-29 08:00:00+00:00,612.45,637.8318,627.4565,648.20703
2026-05-29 09:00:00+00:00,617.14,632.1038,621.7286,642.4791
2026-05-29 10:00:00+00:00,617.28,593.2486,582.8733,603.62384
2026-05-29 11:00:00+00:00,616.9,538.45795,528.0827,548.8332
2026-05-29 12:00:00+00:00,602.21,499.98376,489.6085,510.35904
2026-05-29 13:00:00+00:00,588.34,502.7178,492.34256,513.0931
2026-05-29 14:00:00+00:00,578.95,520.6668,510.29153,531.04205
2026-05-29 15:00:00+00:00,585.25,522.4258,512.05054,532.8011
2026-05-29 16:00:00+00:00,587.82,523.74866,513.37335,534.1239
2026-05-29 17:00:00+00:00,580.97,524.3242,513.949,534.6995
2026-05-29 18:00:00+00:00,566.66,531.4354,521.0601,541.81067
2026-05-29 19:00:00+00:00,554.25,520.0747,509.69943,530.44995
2026-05-29 20:00:00+00:00,530.12,501.8026,491.42734,512.17786
2026-05-29 21:00:00+00:00,500.39,493.48145,483.10617,503.8567
2026-05-29 22:00:00+00:00,480.04,462.60535,452.23007,472.9806
2026-05-29 23:00:00+00:00,458.54,457.7697,447.39444,468.14496
2026-05-30 00:00:00+00:00,439.01,444.87677,434.50153,455.25204
2026-05-30 01:00:00+00:00,428.41,441.29453,430.91925,451.6698
2026-05-30 02:00:00+00:00,423.78,431.5966,421.2213,441.97186
2026-05-30 03:00:00+00:00,425.02,432.16626,421.791,442.5415
2026-05-30 04:00:00+00:00,430.19,473.93686,463.56158,484.31213
2026-05-30 05:00:00+00:00,439.25,447.69687,437.3216,458.07214
2026-05-30 06:00:00+00:00,461.03,442.0435,431.66824,452.41876
2026-05-30 07:00:00+00:00,486.46,455.38733,445.01205,465.7626
2026-05-30 08:00:00+00:00,513.87,449.19766,438.8224,459.57294
2026-05-30 09:00:00+00:00,525.35,454.47208,444.0968,464.84735
2026-05-30 10:00:00+00:00,520.39,467.55252,457.17725,477.9278
2026-05-30 11:00:00+00:00,510.3,474.1711,463.79584,484.54636
2026-05-30 12:00:00+00:00,494.47,452.17303,441.79776,462.54828
2026-05-30 13:00:00+00:00,484.19,474.21173,463.83646,484.587
2026-05-30 14:00:00+00:00,483.72,482.07504,471.69977,492.4503
2026-05-30 15:00:00+00:00,490.28,494.39423,484.01895,504.76947
2026-05-30 16:00:00+00:00,505.91,496.75726,486.38202,507.13254
2026-05-30 17:00:00+00:00,511.01,499.87787,489.5026,510.25314
2026-05-30 18:00:00+00:00,503.78,471.05167,460.67642,481.42694
2026-05-30 19:00:00+00:00,497.28,477.88104,467.50577,488.25632
2026-05-30 20:00:00+00:00,486.4,493.515,483.13974,503.8903
2026-05-30 21:00:00+00:00,459.63,455.6381,445.26285,466.01337
2026-05-30 22:00:00+00:00,440.75,447.13083,436.75555,457.5061
2026-05-30 23:00:00+00:00,422.01,451.40045,441.02518,461.77573
2026-05-31 00:00:00+00:00,404.77,429.90393,419.52866,440.27917
2026-05-31 01:00:00+00:00,395.21,412.34824,401.97296,422.7235
2026-05-31 02:00:00+00:00,393.34,400.89502,390.51974,411.27026
2026-05-31 03:00:00+00:00,392.42,383.07886,372.70358,393.45413
2026-05-31 04:00:00+00:00,401.61,403.4706,393.09534,413.84586
