date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-04-28 00:00:00+00:00,,12495.02401419768,11881.37262559984,13107.182091404928
2026-04-28 01:00:00+00:00,,12501.508223650351,11889.904635225663,13116.391059313635
2026-04-28 02:00:00+00:00,,12949.30416155328,12337.637298059055,13563.6245337091
2026-04-28 03:00:00+00:00,,13916.348820169873,13304.233422127625,14529.573193581538
2026-04-28 04:00:00+00:00,,15214.007336347267,14603.576750771934,15825.53872769685
2026-04-28 05:00:00+00:00,,16484.944548742682,15873.758686975536,17097.197085822103
2026-04-28 06:00:00+00:00,,17402.485751733217,16791.35564392071,18015.378187196744
2026-04-28 07:00:00+00:00,,17860.682681898255,17248.272697318105,18473.566185611577
2026-04-28 08:00:00+00:00,,17887.019189955638,17275.74289448256,18501.237316528364
2026-04-28 09:00:00+00:00,,17629.497233826125,17018.53085761074,18242.846720544996
2026-04-28 10:00:00+00:00,,17232.04219889504,16621.082481820173,17845.233167299593
2026-04-28 11:00:00+00:00,,16810.28556792462,16200.16326782884,17422.385126346297
2026-04-28 12:00:00+00:00,,16445.580051704113,15833.528636890449,17058.025330130986
2026-04-28 13:00:00+00:00,,16220.625445982252,15607.934594697968,16832.79850012782
2026-04-28 14:00:00+00:00,,16149.341276194458,15537.607239706169,16760.136137172023
2026-04-28 15:00:00+00:00,,16168.818612626348,15555.772488363864,16780.582080792436
2026-04-28 16:00:00+00:00,,16175.290261625227,15561.410831311603,16786.326094001426
2026-04-28 17:00:00+00:00,,16073.733150092092,15460.150773217727,16684.604039061942
2026-04-28 18:00:00+00:00,,15886.50184816933,15272.698867091813,16497.266923961033
2026-04-28 19:00:00+00:00,,15601.829544110798,14989.740769556474,16211.955018222592
2026-04-28 20:00:00+00:00,,15127.916814177692,14515.621639453246,15738.417625014341
2026-04-28 21:00:00+00:00,,14464.8235948858,13852.972713332878,15076.731083162353
2026-04-28 22:00:00+00:00,,13799.139068270939,13187.704852213152,14410.024360826077
2026-04-28 23:00:00+00:00,,13346.969067771734,12733.84791292775,13960.760528940627
2026-04-29 00:00:00+00:00,,12987.061965476481,12376.027784066002,13600.076430471738
2026-04-29 01:00:00+00:00,,12834.060475825509,12224.035479863092,13447.830924038202
2026-04-29 02:00:00+00:00,,13040.361632238022,12430.208589397504,13654.482580572376
