date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-02-04 00:00:00+00:00,16351.83,16899.648550825666,16282.26281883149,17517.6148779781
2026-02-04 01:00:00+00:00,15855.84,16742.431953938685,16124.622174944107,17360.58709191402
2026-02-04 02:00:00+00:00,15590.82,16914.90153198437,16296.428078633602,17531.949728126256
2026-02-04 03:00:00+00:00,15964.24,17590.76710734624,16973.32452650215,18208.727085843107
2026-02-04 04:00:00+00:00,17039.58,18518.434263414238,17901.1836755827,19136.97795249003
2026-02-04 05:00:00+00:00,19164.08,19417.99558404602,18799.523032211164,20036.285671557373
2026-02-04 06:00:00+00:00,21049.23,20133.972143839186,19515.920701940962,20751.928394533687
2026-02-04 07:00:00+00:00,22061.04,20744.609898244584,20126.829034675116,21363.09331317663
2026-02-04 08:00:00+00:00,22245.72,21285.1299941959,20667.164245578468,21904.350873649535
2026-02-04 09:00:00+00:00,22222.36,21693.596575787127,21075.517352307892,22312.690195982894
2026-02-04 10:00:00+00:00,22301.64,21882.614669794355,21264.14806239341,22501.17000210908
2026-02-04 11:00:00+00:00,21740.02,21864.591337008405,21246.43867067289,22482.564725779368
2026-02-04 12:00:00+00:00,21455.29,21792.588993877864,21173.148877709635,22411.866025167128
2026-02-04 13:00:00+00:00,20895.67,21653.96057444436,21035.507024789407,22271.807080052684
2026-02-04 14:00:00+00:00,20832.75,21485.10717248224,20866.8224787191,22103.614830422004
2026-02-04 15:00:00+00:00,21344.92,21303.120069849043,20684.86617321595,21922.756030957593
2026-02-04 16:00:00+00:00,22195.98,21088.984724447073,20471.2587513434,21707.785595548085
2026-02-04 17:00:00+00:00,22455.71,20714.79328978657,20096.956787862604,21333.97777760003
2026-02-04 18:00:00+00:00,21844.16,20144.662346830977,19526.69078698608,20762.788476318023
2026-02-04 19:00:00+00:00,20607.16,19421.475274827622,18804.150555117103,20040.30625499116
2026-02-04 20:00:00+00:00,19222.71,18630.823390200607,18013.187380867035,19250.833240900145
2026-02-04 21:00:00+00:00,18607.28,17854.676095680512,17236.576544900432,18474.373951207286
2026-02-04 22:00:00+00:00,17333.79,17177.259306462187,16558.736625926307,17796.92011981693
2026-02-04 23:00:00+00:00,16429.78,16737.152414010292,16118.712502797824,17357.162304287638
2026-02-05 00:00:00+00:00,15799.43,16317.68920751554,15700.39424683514,16936.74699741546
2026-02-05 01:00:00+00:00,15520.88,16073.691797481935,15455.781004525592,16692.319229857312
2026-02-05 02:00:00+00:00,15357.92,16145.513258781395,15528.906499568504,16764.881120334896
2026-02-05 03:00:00+00:00,15718.33,16575.449304331578,15958.656399195015,17195.640551620232
2026-02-05 04:00:00+00:00,16868.56,17296.56888140531,16678.929859676038,17916.623318027356
2026-02-05 05:00:00+00:00,19277.86,18167.41005006937,17549.842858163065,18788.00029384755
2026-02-05 06:00:00+00:00,21395.11,19073.295964352423,18455.382494075893,19694.17678666553
2026-02-05 07:00:00+00:00,22433.33,19978.190742868403,19361.740507788687,20597.47882330067
2026-02-05 08:00:00+00:00,22804.68,20812.215280641958,20194.669528166094,21431.701752400608
2026-02-05 09:00:00+00:00,22998.87,21471.995085845687,20854.12812781932,22091.727151233827
2026-02-05 10:00:00+00:00,23155.31,21863.391583747587,21245.81938972047,22482.77965285686
2026-02-05 11:00:00+00:00,22703.85,21943.89878589729,21326.80753007243,22563.208363493763
2026-02-05 12:00:00+00:00,22181.48,21808.863765544476,21191.30605180424,22427.86612491415
2026-02-05 13:00:00+00:00,21715.95,21507.153747750734,20889.4448500067,22125.957970615862
2026-02-05 14:00:00+00:00,21300.18,21097.547588193916,20479.84142576341,21717.010453789735
2026-02-05 15:00:00+00:00,21214.72,20647.563616814878,20029.72949750541,21267.045674552606
2026-02-05 16:00:00+00:00,21982.81,20267.342487985483,19649.035923249427,20886.984277622545
2026-02-05 17:00:00+00:00,22371.13,19956.018151497163,19337.616251748666,20576.06647691471
2026-02-05 18:00:00+00:00,21549.99,19587.333292382693,18969.70382112082,20209.46567205539
2026-02-05 19:00:00+00:00,20366.83,19140.747018434573,18522.50514194803,19761.553034640005
2026-02-05 20:00:00+00:00,19138.53,18606.492298540237,17988.937292557817,19227.597817377817
2026-02-05 21:00:00+00:00,18397.63,18048.731679966415,17431.094447893673,18669.532543747475
2026-02-05 22:00:00+00:00,17450.89,17515.91127489521,16897.022371545063,18135.956496853087
2026-02-05 23:00:00+00:00,16253.7,17101.072443398563,16482.044339772237,17720.70701890508
2026-02-06 00:00:00+00:00,15538.41,16561.61214974128,15944.300747892197,17182.33486251506
2026-02-06 01:00:00+00:00,14967.84,16066.158097329215,15448.451662680061,16687.08331940798
2026-02-06 02:00:00+00:00,14876.38,15859.044176403086,15242.203798628627,16478.718140966135
2026-02-06 03:00:00+00:00,15262.04,16101.777979559352,15484.561542506923,16721.608038289538
2026-02-06 04:00:00+00:00,16540.66,16762.710473314917,16144.95874776134,17382.93684634506
2026-02-06 05:00:00+00:00,18791.93,17685.439348552303,17068.067224521965,18306.242599553738
2026-02-06 06:00:00+00:00,20580.06,18740.257342574852,18123.275786372404,19360.38843376216
2026-02-06 07:00:00+00:00,21401.42,19812.890762268333,19195.066099667474,20433.282464260723
2026-02-06 08:00:00+00:00,21876.81,20739.174274011784,20121.165675828113,21360.011878628557
2026-02-06 09:00:00+00:00,21766.89,21401.589897955935,20783.917806823825,22021.50546132549
2026-02-06 10:00:00+00:00,21757.86,21748.906607894896,21131.435000528894,22368.501786545716
2026-02-06 11:00:00+00:00,21359.06,21714.168910367567,21096.92324630078,22333.921943103473
2026-02-06 12:00:00+00:00,20832.97,21413.965268520456,20795.56067590147,22033.24613684083
2026-02-06 13:00:00+00:00,20321.86,20973.35831441278,20355.203351326007,21593.177797260785
2026-02-06 14:00:00+00:00,20175.98,20518.00992047572,19899.93887059793,21137.3572327599
2026-02-06 15:00:00+00:00,20367.02,20110.50400222579,19492.22451102937,20729.936250740317
2026-02-06 16:00:00+00:00,21137.2,19762.53988784775,19144.25496113162,20382.242077554598
2026-02-06 17:00:00+00:00,21437.16,19422.154947262352,18804.109826594417,20042.371045345913
2026-02-06 18:00:00+00:00,20745.71,19025.109206301775,18407.8068128074,19645.341142089906
2026-02-06 19:00:00+00:00,19311.58,18510.430988441465,17892.588949458932,19131.49826915119
2026-02-06 20:00:00+00:00,18056.72,17948.72767097451,17330.364249052407,18568.05149185063
2026-02-06 21:00:00+00:00,17735.28,17376.3509635041,16758.721154680934,17996.00094819759
2026-02-06 22:00:00+00:00,16509.45,16856.079192522528,16239.301993621288,17476.42661906343
2026-02-06 23:00:00+00:00,15359.69,16446.10573158635,15828.52309647167,17065.79255470604
2026-02-07 00:00:00+00:00,14476.28,15685.440891278131,15067.158378852277,16305.210736827576
2026-02-07 01:00:00+00:00,13909.44,14817.90448097936,14200.595865973413,15435.434517839878
2026-02-07 02:00:00+00:00,13780.89,14231.629846296524,13614.904215613598,14848.774662609629
2026-02-07 03:00:00+00:00,13797.07,14160.76440566871,13543.643153656947,14779.380426641163
2026-02-07 04:00:00+00:00,14098.45,14598.181342764638,13981.433671803035,15216.68973564921
2026-02-07 05:00:00+00:00,14709.88,15372.193733996435,14754.992895806681,15990.999101239364
2026-02-07 06:00:00+00:00,15613.32,16302.69298530852,15685.195447173512,16922.561886512623
2026-02-07 07:00:00+00:00,16633.54,17336.5671428649,16718.53786812445,17955.763212612423
2026-02-07 08:00:00+00:00,17335.49,18306.193164038617,17688.957247582093,18924.575467875642
2026-02-07 09:00:00+00:00,17621.28,19002.30920337644,18384.42362958685,19620.962389504253
2026-02-07 10:00:00+00:00,17698.2,19347.68929817797,18729.71299006463,19966.67325320102
2026-02-07 11:00:00+00:00,17399.28,19301.87501192925,18684.178945244574,19920.626378840774
2026-02-07 12:00:00+00:00,16999.64,18944.318172952484,18326.654673997138,19563.74228336564
2026-02-07 13:00:00+00:00,16600.55,18389.819274467813,17771.839926449455,19009.01411231023
2026-02-07 14:00:00+00:00,16675.44,17760.8761219647,17143.254529497393,18379.68187769852
