date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-09-22 00:00:00+00:00,,12837.046,12616.532,13057.561
2026-09-22 01:00:00+00:00,,12841.946,12621.433,13062.46
2026-09-22 02:00:00+00:00,,12912.276,12691.763,13132.79
2026-09-22 03:00:00+00:00,,13596.739,13376.226,13817.253
2026-09-22 04:00:00+00:00,,15397.394,15176.88,15617.908
2026-09-22 05:00:00+00:00,,17078.924,16858.41,17299.438
2026-09-22 06:00:00+00:00,,18074.797,17854.283,18295.31
2026-09-22 07:00:00+00:00,,18367.875,18147.361,18588.389
2026-09-22 08:00:00+00:00,,18614.355,18393.842,18834.87
2026-09-22 09:00:00+00:00,,18771.037,18550.523,18991.55
2026-09-22 10:00:00+00:00,,18378.334,18157.818,18598.848
2026-09-22 11:00:00+00:00,,17918.457,17697.943,18138.97
2026-09-22 12:00:00+00:00,,17401.2,17180.686,17621.713
2026-09-22 13:00:00+00:00,,17035.879,16815.365,17256.393
2026-09-22 14:00:00+00:00,,16797.686,16577.172,17018.2
2026-09-22 15:00:00+00:00,,16856.979,16636.465,17077.492
2026-09-22 16:00:00+00:00,,17057.66,16837.146,17278.174
2026-09-22 17:00:00+00:00,,17190.59,16970.076,17411.104
2026-09-22 18:00:00+00:00,,16819.363,16598.85,17039.877
2026-09-22 19:00:00+00:00,,15658.523,15438.01,15879.038
2026-09-22 20:00:00+00:00,,14581.309,14360.795,14801.822
2026-09-22 21:00:00+00:00,,13486.812,13266.298,13707.326
2026-09-22 22:00:00+00:00,,12674.438,12453.925,12894.952
2026-09-22 23:00:00+00:00,,12413.367,12192.853,12633.881
2026-09-23 00:00:00+00:00,,12188.6045,11968.09,12409.118
2026-09-23 01:00:00+00:00,,12295.192,12074.679,12515.707
2026-09-23 02:00:00+00:00,,12876.9795,12656.466,13097.493
2026-09-23 03:00:00+00:00,,13870.057,13649.543,14090.57
2026-09-23 04:00:00+00:00,,16180.072,15959.558,16400.586
2026-09-23 05:00:00+00:00,,17471.037,17250.523,17691.55
2026-09-23 06:00:00+00:00,,18089.266,17868.752,18309.78
2026-09-23 07:00:00+00:00,,18307.807,18087.293,18528.32
2026-09-23 08:00:00+00:00,,18531.213,18310.7,18751.727
2026-09-23 09:00:00+00:00,,18510.805,18290.29,18731.318
2026-09-23 10:00:00+00:00,,18214.826,17994.312,18435.34
2026-09-23 11:00:00+00:00,,17780.799,17560.283,18001.312
2026-09-23 12:00:00+00:00,,17346.906,17126.393,17567.42
2026-09-23 13:00:00+00:00,,17074.168,16853.654,17294.682
2026-09-23 14:00:00+00:00,,16874.752,16654.238,17095.266
2026-09-23 15:00:00+00:00,,16914.549,16694.035,17135.062
2026-09-23 16:00:00+00:00,,17081.727,16861.213,17302.24
2026-09-23 17:00:00+00:00,,17170.898,16950.385,17391.412
2026-09-23 18:00:00+00:00,,16463.83,16243.315,16684.344
2026-09-23 19:00:00+00:00,,15487.362,15266.849,15707.876
2026-09-23 20:00:00+00:00,,14543.925,14323.411,14764.439
2026-09-23 21:00:00+00:00,,13612.566,13392.052,13833.08
2026-09-23 22:00:00+00:00,,12797.255,12576.741,13017.769
2026-09-23 23:00:00+00:00,,12522.139,12301.625,12742.652
2026-09-24 00:00:00+00:00,,12200.096,11979.582,12420.609
2026-09-24 01:00:00+00:00,,12134.885,11914.37,12355.398
2026-09-24 02:00:00+00:00,,12391.354,12170.839,12611.867
2026-09-24 03:00:00+00:00,,13248.188,13027.675,13468.702
2026-09-24 04:00:00+00:00,,15148.848,14928.333,15369.361
2026-09-24 05:00:00+00:00,,16495.072,16274.558,16715.586
2026-09-24 06:00:00+00:00,,17662.006,17441.492,17882.52
2026-09-24 07:00:00+00:00,,18096.12,17875.605,18316.633
2026-09-24 08:00:00+00:00,,18285.068,18064.555,18505.582
2026-09-24 09:00:00+00:00,,18487.092,18266.578,18707.605
2026-09-24 10:00:00+00:00,,18312.285,18091.771,18532.799
2026-09-24 11:00:00+00:00,,18009.855,17789.342,18230.37
2026-09-24 12:00:00+00:00,,17645.832,17425.318,17866.346
2026-09-24 13:00:00+00:00,,17352.6,17132.086,17573.113
2026-09-24 14:00:00+00:00,,17279.55,17059.037,17500.064
2026-09-24 15:00:00+00:00,,17368.473,17147.959,17588.988
2026-09-24 16:00:00+00:00,,17333.389,17112.875,17553.904
2026-09-24 17:00:00+00:00,,17310.914,17090.4,17531.428
2026-09-24 18:00:00+00:00,,16864.885,16644.371,17085.398
2026-09-24 19:00:00+00:00,,15930.528,15710.014,16151.042
2026-09-24 20:00:00+00:00,,14774.818,14554.305,14995.333
2026-09-24 21:00:00+00:00,,13799.509,13578.995,14020.023
2026-09-24 22:00:00+00:00,,13087.563,12867.049,13308.077
2026-09-24 23:00:00+00:00,,12594.187,12373.673,12814.701
2026-09-25 00:00:00+00:00,,12214.543,11994.029,12435.058
2026-09-25 01:00:00+00:00,,12241.926,12021.412,12462.44
2026-09-25 02:00:00+00:00,,12449.74,12229.226,12670.254
2026-09-25 03:00:00+00:00,,13243.31,13022.796,13463.823
2026-09-25 04:00:00+00:00,,15143.842,14923.328,15364.355
2026-09-25 05:00:00+00:00,,16511.324,16290.811,16731.838
2026-09-25 06:00:00+00:00,,17887.55,17667.037,18108.064
2026-09-25 07:00:00+00:00,,18080.898,17860.385,18301.412
2026-09-25 08:00:00+00:00,,18206.11,17985.596,18426.623
2026-09-25 09:00:00+00:00,,18150.303,17929.79,18370.816
2026-09-25 10:00:00+00:00,,17546.33,17325.816,17766.844
2026-09-25 11:00:00+00:00,,17012.814,16792.3,17233.328
2026-09-25 12:00:00+00:00,,16315.753,16095.239,16536.268
2026-09-25 13:00:00+00:00,,15969.135,15748.62,16189.648
2026-09-25 14:00:00+00:00,,15776.073,15555.56,15996.587
2026-09-25 15:00:00+00:00,,16040.184,15819.67,16260.697
2026-09-25 16:00:00+00:00,,16480.104,16259.59,16700.617
2026-09-25 17:00:00+00:00,,16650.725,16430.21,16871.238
2026-09-25 18:00:00+00:00,,15943.759,15723.244,16164.272
2026-09-25 19:00:00+00:00,,14941.0625,14720.548,15161.576
2026-09-25 20:00:00+00:00,,14030.476,13809.961,14250.989
2026-09-25 21:00:00+00:00,,13133.954,12913.44,13354.469
2026-09-25 22:00:00+00:00,,12401.086,12180.572,12621.6
2026-09-25 23:00:00+00:00,,11933.077,11712.563,12153.592
2026-09-26 00:00:00+00:00,,11415.336,11194.822,11635.85
2026-09-26 01:00:00+00:00,,11049.492,10828.979,11270.006
2026-09-26 02:00:00+00:00,,10926.766,10706.252,11147.28
2026-09-26 03:00:00+00:00,,10959.869,10739.3545,11180.383
2026-09-26 04:00:00+00:00,,11228.069,11007.555,11448.583
2026-09-26 05:00:00+00:00,,11864.132,11643.617,12084.6455
2026-09-26 06:00:00+00:00,,12527.18,12306.665,12747.693
2026-09-26 07:00:00+00:00,,13698.031,13477.517,13918.545
2026-09-26 08:00:00+00:00,,14468.054,14247.54,14688.567
2026-09-26 09:00:00+00:00,,14475.023,14254.509,14695.537
2026-09-26 10:00:00+00:00,,14043.993,13823.4795,14264.507
2026-09-26 11:00:00+00:00,,13516.285,13295.7705,13736.799
2026-09-26 12:00:00+00:00,,13047.521,12827.007,13268.035
2026-09-26 13:00:00+00:00,,12844.533,12624.02,13065.047
2026-09-26 14:00:00+00:00,,12873.87,12653.356,13094.384
2026-09-26 15:00:00+00:00,,13211.57,12991.057,13432.084
2026-09-26 16:00:00+00:00,,13616.164,13395.649,13836.678
2026-09-26 17:00:00+00:00,,13850.409,13629.8955,14070.923
2026-09-26 18:00:00+00:00,,13546.555,13326.04,13767.068
2026-09-26 19:00:00+00:00,,12948.066,12727.553,13168.58
2026-09-26 20:00:00+00:00,,12372.371,12151.857,12592.885
2026-09-26 21:00:00+00:00,,11908.169,11687.654,12128.683
2026-09-26 22:00:00+00:00,,11408.731,11188.218,11629.245
2026-09-26 23:00:00+00:00,,10519.283,10298.77,10739.797
2026-09-27 00:00:00+00:00,,10231.66,10011.1455,10452.174
2026-09-27 01:00:00+00:00,,9981.059,9760.545,10201.573
2026-09-27 02:00:00+00:00,,9805.592,9585.078,10026.106
2026-09-27 03:00:00+00:00,,10047.101,9826.587,10267.614
2026-09-27 04:00:00+00:00,,10266.228,10045.715,10486.742
2026-09-27 05:00:00+00:00,,10746.24,10525.727,10966.754
2026-09-27 06:00:00+00:00,,11219.146,10998.633,11439.66
2026-09-27 07:00:00+00:00,,12267.684,12047.17,12488.197
2026-09-27 08:00:00+00:00,,13075.0205,12854.507,13295.535
2026-09-27 09:00:00+00:00,,13424.577,13204.0625,13645.091
2026-09-27 10:00:00+00:00,,13491.36,13270.847,13711.875
2026-09-27 11:00:00+00:00,,13325.705,13105.19,13546.219
2026-09-27 12:00:00+00:00,,13035.918,12815.404,13256.432
2026-09-27 13:00:00+00:00,,13047.674,12827.159,13268.1875
2026-09-27 14:00:00+00:00,,13143.242,12922.729,13363.756
2026-09-27 15:00:00+00:00,,13311.519,13091.005,13532.032
2026-09-27 16:00:00+00:00,,13488.684,13268.169,13709.197
2026-09-27 17:00:00+00:00,,13675.406,13454.893,13895.92
2026-09-27 18:00:00+00:00,,13511.034,13290.5205,13731.548
2026-09-27 19:00:00+00:00,,13166.53,12946.017,13387.044
2026-09-27 20:00:00+00:00,,12529.235,12308.721,12749.749
2026-09-27 21:00:00+00:00,,11767.29,11546.776,11987.804
2026-09-27 22:00:00+00:00,,11156.748,10936.233,11377.262
2026-09-27 23:00:00+00:00,,10441.992,10221.479,10662.506
2026-09-28 00:00:00+00:00,,10365.297,10144.783,10585.811
2026-09-28 01:00:00+00:00,,10503.66,10283.1455,10724.174
2026-09-28 02:00:00+00:00,,10799.5625,10579.049,11020.077
2026-09-28 03:00:00+00:00,,11538.192,11317.679,11758.706
2026-09-28 04:00:00+00:00,,12801.139,12580.625,13021.652
2026-09-28 05:00:00+00:00,,14756.434,14535.919,14976.947
2026-09-28 06:00:00+00:00,,16289.587,16069.072,16510.1
2026-09-28 07:00:00+00:00,,17151.281,16930.768,17371.795
2026-09-28 08:00:00+00:00,,17429.17,17208.656,17649.684
2026-09-28 09:00:00+00:00,,17722.922,17502.408,17943.436
2026-09-28 10:00:00+00:00,,17777.268,17556.754,17997.781
2026-09-28 11:00:00+00:00,,17443.342,17222.828,17663.855
2026-09-28 12:00:00+00:00,,16918.582,16698.068,17139.096
2026-09-28 13:00:00+00:00,,16565.777,16345.263,16786.291
