date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-08-01 00:00:00+00:00,12673.34,12566.308,12345.794,12786.821
2026-08-01 01:00:00+00:00,12433.62,12283.433,12062.918,12503.946
2026-08-01 02:00:00+00:00,12253.01,12094.113,11873.6,12314.627
2026-08-01 03:00:00+00:00,12441.12,12542.515,12322.001,12763.028
2026-08-01 04:00:00+00:00,12698.58,13454.561,13234.046,13675.074
2026-08-01 05:00:00+00:00,13196.9,14320.045,14099.53,14540.559
2026-08-01 06:00:00+00:00,14237.22,15208.3125,14987.798,15428.826
2026-08-01 07:00:00+00:00,14746.13,15833.679,15613.165,16054.193
2026-08-01 08:00:00+00:00,14691.01,15886.128,15665.613,16106.642
2026-08-01 09:00:00+00:00,14758.91,15545.057,15324.542,15765.57
2026-08-01 10:00:00+00:00,13809.06,15311.596,15091.082,15532.109
2026-08-01 11:00:00+00:00,13496.44,14843.331,14622.817,15063.845
2026-08-01 12:00:00+00:00,12629.69,14434.973,14214.459,14655.486
2026-08-01 13:00:00+00:00,12202.29,14091.664,13871.15,14312.179
2026-08-01 14:00:00+00:00,12850.27,14263.374,14042.859,14483.888
2026-08-01 15:00:00+00:00,13417.68,14474.897,14254.384,14695.411
2026-08-01 16:00:00+00:00,14680.34,14511.771,14291.258,14732.285
2026-08-01 17:00:00+00:00,14756.63,14377.349,14156.834,14597.862
2026-08-01 18:00:00+00:00,14033.08,14040.7705,13820.256,14261.284
2026-08-01 19:00:00+00:00,13565.02,13415.398,13194.885,13635.912
2026-08-01 20:00:00+00:00,13231.4,12797.544,12577.03,13018.058
2026-08-01 21:00:00+00:00,12518.74,11969.054,11748.54,12189.567
2026-08-01 22:00:00+00:00,12075.9,11242.651,11022.138,11463.165
2026-08-01 23:00:00+00:00,11445.15,10663.307,10442.793,10883.82
2026-08-02 00:00:00+00:00,11273.7,10396.947,10176.433,10617.461
2026-08-02 01:00:00+00:00,11256.04,10294.36,10073.847,10514.874
2026-08-02 02:00:00+00:00,11375.76,10361.768,10141.254,10582.282
2026-08-02 03:00:00+00:00,11533.66,10699.119,10478.605,10919.633
2026-08-02 04:00:00+00:00,11721.66,10987.02,10766.506,11207.533
2026-08-02 05:00:00+00:00,11632.7,11759.162,11538.648,11979.677
2026-08-02 06:00:00+00:00,11784.23,12791.004,12570.49,13011.518
2026-08-02 07:00:00+00:00,12441.61,13410.627,13190.113,13631.141
