number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,680.0464854815369,medium,0.9160023329512211,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,0.1785199353479038,8,54,0.26448450656074934,660,140,medium,1.469014330085283e-05,8.484397387233486e-07,short,energy,0.8684528344293377,none,True,COMPLETE
1,677.630035671263,none,0.621860479244378,False,False,False,True,True,True,False,False,True,False,True,False,False,True,False,True,False,0.1002437917086877,7,99,0.12976584467127622,843,146,medium,0.05318350957709018,0.002261126423266788,none,mean,0.6007681804617719,small,True,COMPLETE
2,665.4429419306408,none,0.9831884466242989,False,False,False,True,False,True,False,True,True,False,True,True,True,False,False,False,True,0.014084786671537433,10,24,0.18499331015346576,833,45,small,8.16062819778795e-08,4.8489938279239506e-06,short,distance_energy,0.6186440749895015,small,True,COMPLETE
3,614.9856115995118,small,0.5909535671902397,True,True,True,True,False,False,True,True,False,False,True,True,True,False,False,False,False,0.0711634815414866,3,71,0.2157583771814507,924,78,none,2.0375308104368367e-08,0.04991957983905814,short,max,0.7585787642623633,none,False,COMPLETE
4,681.1899331138125,small,0.6529555994173042,False,False,False,True,True,False,False,True,True,True,False,True,True,False,True,False,True,0.07169812029672551,15,85,0.44091664325720964,694,72,medium,0.0005649561877692007,4.158432273659141e-07,long,mean,0.6647103507140715,none,False,COMPLETE
5,751.7842780934989,medium,0.7663105158306363,True,True,False,False,True,False,False,True,True,False,True,False,False,True,True,False,True,0.2642978054392167,12,97,0.32350297071969053,722,12,none,1.0717135005214232e-08,0.17204664039191825,long,max,0.5914559591880528,small,False,COMPLETE
6,670.753509605093,small,0.7167168581514227,False,False,True,False,True,False,True,True,True,False,True,True,False,True,True,False,True,0.010853074789797464,9,41,0.013476076813063675,564,121,medium,0.033135097973445625,5.391096199733392e-08,none,distance_energy,0.9153909551568282,small,False,COMPLETE
7,691.4285728328036,small,0.8160985592778289,False,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,0.01736341221388257,3,12,0.30836896540007447,952,34,small,0.0001218172932822323,7.227506329080594e-06,none,mean,0.8448671402416337,none,False,COMPLETE
8,656.162639125935,small,0.7618670391902291,True,False,True,True,True,True,True,False,True,False,True,False,True,False,False,True,True,0.2734551490298707,7,67,0.020188037254265545,471,11,small,1.4091828527135747e-05,0.00010145676404975441,short,distance_energy,0.9429952210633712,none,False,COMPLETE
9,737.6412738284154,small,0.803916011478578,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,0.2681251505272468,16,64,0.33181093986175964,473,42,small,0.006015050600250771,0.0008553257038902812,short,max,0.6921936800563949,small,True,COMPLETE
