date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper,cutoff,hours_ahead
2026-01-31 00:00:00+00:00,15372.47,15262.535,15030.294,15494.775,2026-01-31 00:00:00+00:00,0
2026-01-31 01:00:00+00:00,14900.18,14464.048,14231.808,14696.289,2026-01-31 00:00:00+00:00,1
2026-01-31 02:00:00+00:00,14625.07,14423.748,14191.508,14655.989,2026-01-31 00:00:00+00:00,2
2026-01-31 03:00:00+00:00,14563.9,14387.809,14155.567,14620.049,2026-01-31 00:00:00+00:00,3
2026-01-31 04:00:00+00:00,14988.36,15006.82,14774.579,15239.061,2026-01-31 00:00:00+00:00,4
2026-01-31 05:00:00+00:00,15499.66,14783.311,14551.069,15015.551,2026-01-31 00:00:00+00:00,5
2026-01-31 06:00:00+00:00,16347.62,16626.246,16394.006,16858.486,2026-01-31 00:00:00+00:00,6
2026-01-31 07:00:00+00:00,17471.58,17144.703,16912.463,17376.945,2026-01-31 00:00:00+00:00,7
2026-01-31 08:00:00+00:00,18386.26,17763.996,17531.756,17996.238,2026-01-31 00:00:00+00:00,8
2026-01-31 09:00:00+00:00,18851.08,18857.373,18625.13,19089.613,2026-01-31 00:00:00+00:00,9
2026-01-31 10:00:00+00:00,18897.09,18938.902,18706.662,19171.143,2026-01-31 00:00:00+00:00,10
2026-01-31 11:00:00+00:00,18576.39,18836.12,18603.877,19068.36,2026-01-31 00:00:00+00:00,11
2026-01-31 12:00:00+00:00,18079.64,18177.922,17945.682,18410.164,2026-01-31 00:00:00+00:00,12
2026-01-31 13:00:00+00:00,17680.14,17419.547,17187.307,17651.79,2026-01-31 00:00:00+00:00,13
2026-01-31 14:00:00+00:00,17598.03,17459.133,17226.89,17691.373,2026-01-31 00:00:00+00:00,14
2026-01-31 15:00:00+00:00,18128.94,18320.354,18088.113,18552.594,2026-01-31 00:00:00+00:00,15
2026-01-31 16:00:00+00:00,19071.18,18695.49,18463.248,18927.73,2026-01-31 00:00:00+00:00,16
2026-01-31 17:00:00+00:00,18972.51,18328.412,18096.17,18560.652,2026-01-31 00:00:00+00:00,17
2026-01-31 18:00:00+00:00,18274.6,17770.621,17538.379,18002.861,2026-01-31 00:00:00+00:00,18
2026-01-31 19:00:00+00:00,17332.7,16462.145,16229.904,16694.387,2026-01-31 00:00:00+00:00,19
2026-01-31 20:00:00+00:00,16481.59,15703.428,15471.1875,15935.669,2026-01-31 00:00:00+00:00,20
2026-01-31 21:00:00+00:00,15995.49,15248.184,15015.943,15480.425,2026-01-31 00:00:00+00:00,21
2026-01-31 22:00:00+00:00,15371.78,14352.775,14120.534,14585.016,2026-01-31 00:00:00+00:00,22
2026-01-31 23:00:00+00:00,14306.8,13680.492,13448.252,13912.733,2026-01-31 00:00:00+00:00,23
2026-02-01 00:00:00+00:00,13542.83,13571.851,13339.609,13804.091,2026-01-31 00:00:00+00:00,24
