date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-06-21 00:00:00+00:00,,11699.007,11466.766,11931.247
2026-06-21 01:00:00+00:00,,11636.968,11404.727,11869.209
2026-06-21 02:00:00+00:00,,11775.591,11543.351,12007.832
2026-06-21 03:00:00+00:00,,12626.381,12394.14,12858.621
2026-06-21 04:00:00+00:00,,12834.47,12602.229,13066.711
2026-06-21 05:00:00+00:00,,13535.457,13303.216,13767.697
2026-06-21 06:00:00+00:00,,13935.388,13703.146,14167.628
2026-06-21 07:00:00+00:00,,15032.841,14800.601,15265.082
2026-06-21 08:00:00+00:00,,15012.701,14780.461,15244.942
2026-06-21 09:00:00+00:00,,15403.94,15171.7,15636.182
2026-06-21 10:00:00+00:00,,14853.211,14620.971,15085.452
2026-06-21 11:00:00+00:00,,14742.619,14510.378,14974.859
2026-06-21 12:00:00+00:00,,13424.121,13191.881,13656.362
2026-06-21 13:00:00+00:00,,13134.745,12902.504,13366.985
2026-06-21 14:00:00+00:00,,13304.622,13072.382,13536.863
2026-06-21 15:00:00+00:00,,13419.108,13186.867,13651.349
2026-06-21 16:00:00+00:00,,13865.729,13633.488,14097.97
2026-06-21 17:00:00+00:00,,13889.554,13657.3125,14121.795
2026-06-21 18:00:00+00:00,,14218.903,13986.662,14451.144
2026-06-21 19:00:00+00:00,,13652.161,13419.92,13884.401
2026-06-21 20:00:00+00:00,,13282.842,13050.602,13515.083
2026-06-21 21:00:00+00:00,,12936.165,12703.925,13168.406
2026-06-21 22:00:00+00:00,,12336.4,12104.159,12568.641
2026-06-21 23:00:00+00:00,,12065.439,11833.199,12297.681
2026-06-22 00:00:00+00:00,,11805.444,11573.204,12037.685
2026-06-22 01:00:00+00:00,,12287.895,12055.653,12520.135
2026-06-22 02:00:00+00:00,,12381.033,12148.792,12613.273
2026-06-22 03:00:00+00:00,,13780.83,13548.59,14013.071
2026-06-22 04:00:00+00:00,,15495.317,15263.077,15727.559
