date,load_tenn_actual,load_tenn_fitted,load_tenn_lower,load_tenn_upper
2026-02-24 00:00:00+00:00,13309.28,13312.904,13080.664,13545.1455
2026-02-24 01:00:00+00:00,13186.21,13291.552,13059.312,13523.793
2026-02-24 02:00:00+00:00,13403.02,14020.158,13787.918,14252.399
2026-02-24 03:00:00+00:00,13986.56,14051.086,13818.845,14283.326
2026-02-24 04:00:00+00:00,15338.58,14973.086,14740.846,15205.327
2026-02-24 05:00:00+00:00,17846.41,17679.469,17447.227,17911.709
2026-02-24 06:00:00+00:00,19317.16,20604.916,20372.676,20837.156
2026-02-24 07:00:00+00:00,19969.44,20910.303,20678.062,21142.545
2026-02-24 08:00:00+00:00,19871.51,20160.387,19928.146,20392.629
2026-02-24 09:00:00+00:00,20194.64,20300.861,20068.621,20533.102
2026-02-24 10:00:00+00:00,20137.39,20222.209,19989.967,20454.45
2026-02-24 11:00:00+00:00,20069.88,19574.291,19342.049,19806.531
2026-02-24 12:00:00+00:00,19551.12,19370.281,19138.041,19602.523
2026-02-24 13:00:00+00:00,18687.19,18649.482,18417.242,18881.723
2026-02-24 14:00:00+00:00,18175.69,18312.486,18080.246,18544.727
2026-02-24 15:00:00+00:00,18513.44,18729.684,18497.443,18961.926
2026-02-24 16:00:00+00:00,19455.37,19369.889,19137.648,19602.129
2026-02-24 17:00:00+00:00,20066.21,20235.775,20003.535,20468.016
2026-02-24 18:00:00+00:00,19628.73,19909.059,19676.818,20141.299
2026-02-24 19:00:00+00:00,18742.28,18996.46,18764.22,19228.703
2026-02-24 20:00:00+00:00,17808.43,17857.412,17625.172,18089.652
2026-02-24 21:00:00+00:00,16857.7,16868.883,16636.643,17101.123
2026-02-24 22:00:00+00:00,15837.6,15997.631,15765.391,16229.871
2026-02-24 23:00:00+00:00,14834.78,15199.721,14967.48,15431.962
2026-02-25 00:00:00+00:00,14436.99,14398.761,14166.52,14631.001
2026-02-25 01:00:00+00:00,14128.52,14305.4375,14073.196,14537.678
2026-02-25 02:00:00+00:00,14051.14,14074.789,13842.549,14307.03
2026-02-25 03:00:00+00:00,14553.36,14456.268,14224.027,14688.509
2026-02-25 04:00:00+00:00,15581.44,15407.138,15174.897,15639.379
