number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_rolling_temp_option,params_spatial_agg_method,params_temp_lags_option,state
0,736.4112817668466,0.37255765386302764,none,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,0.22700949848959265,6.0,small,none,mean,medium,COMPLETE
1,735.5790660882473,0.5613127813993904,medium,True,False,True,True,True,False,True,False,False,True,False,True,True,True,True,True,False,0.6323514170529064,12.0,small,short,energy,small,COMPLETE
2,739.2646218550695,0.3766684285686691,small,True,True,True,True,False,True,True,True,True,True,True,False,False,False,False,False,False,0.7699778488378042,12.0,small,none,energy,none,COMPLETE
3,663.5507982615612,0.5348954985017005,medium,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,False,False,0.6198940522200824,,medium,short,None,small,COMPLETE
4,767.786639638246,0.9798908285405896,none,False,False,True,True,False,False,True,False,True,True,True,True,False,True,True,True,False,0.6614908353634507,12.0,small,long,idw,none,COMPLETE
5,721.9192191749231,0.148633498795944,small,False,False,False,True,False,True,True,False,True,True,True,False,True,True,True,False,True,0.5680309766210652,,none,long,idw,small,COMPLETE
6,735.9785997886597,0.8524321255153189,medium,True,True,True,True,True,False,False,True,False,True,False,True,False,True,True,True,True,0.4343929266144823,6.0,small,long,distance_energy,small,COMPLETE
7,745.359569619732,0.9763421767227034,medium,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,True,False,0.4877957216307112,12.0,medium,none,energy,none,COMPLETE
8,765.8292218602111,0.5585406658967773,medium,False,False,True,True,False,False,True,False,False,True,False,True,True,True,True,True,False,0.33260509884106915,,small,long,population,none,COMPLETE
9,698.4297853916629,0.6756517904571867,small,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,0.10047477414129719,,none,long,idw,none,COMPLETE
10,879.2319196164163,0.09011952411185231,medium,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,0.9628132500669613,1.0,medium,short,None,medium,COMPLETE
11,671.507259048776,0.7173724217379344,small,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.04048676160545621,,none,short,None,small,COMPLETE
12,655.905466345518,0.8010696677153881,small,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.13030509104751778,,medium,short,None,small,COMPLETE
13,700.383776607736,0.7812874482935348,small,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,0.8467790110644497,,medium,short,max,small,COMPLETE
14,894.6900517623686,0.3973998325633473,none,False,False,True,False,True,False,True,True,True,False,False,False,True,True,False,False,False,0.24288272084078533,1.0,medium,short,None,small,COMPLETE
15,699.3921681617439,0.6411344689703223,medium,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,0.3856316432982396,,medium,short,distance_population,small,COMPLETE
16,640.6664425895234,0.24143043283350268,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.7366887593932356,,medium,short,None,medium,COMPLETE
17,656.6177847969467,0.23523485544080447,small,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.7565757058760437,,medium,short,None,medium,COMPLETE
18,811.1998494805322,0.03186333120436513,small,False,True,True,False,True,True,False,True,True,False,False,False,True,False,False,False,True,0.9943023653341605,1.0,medium,short,distance_energy,medium,COMPLETE
19,746.8159408586299,0.25545809028502053,small,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.1644664855698299,6.0,medium,short,population,medium,COMPLETE
20,686.4059504441324,0.8837521019827734,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.011413288807139113,,medium,none,mean,medium,COMPLETE
21,656.6177847969467,0.23569521200651694,small,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.7536910862243122,,medium,short,None,medium,COMPLETE
22,656.6177847969467,0.25271249253376005,small,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.8185175313115618,,medium,short,None,medium,COMPLETE
23,656.6177847969467,0.4157028608033406,small,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.7125072279094717,,medium,short,None,medium,COMPLETE
24,701.8420306216171,0.15806164766084568,small,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.8505337022689454,,medium,short,distance_population,medium,COMPLETE
25,704.5550714097071,0.30672394179476364,small,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.5475818462253211,,none,short,max,medium,COMPLETE
26,697.42911423224,0.4664467953685067,none,False,True,False,False,False,True,False,True,True,False,True,False,True,False,False,True,True,0.9395132082214475,,medium,short,None,medium,COMPLETE
27,684.6393319181387,0.01529161238957269,small,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.3164649782498534,6.0,medium,short,None,medium,COMPLETE
28,645.7080100459123,0.18363656945418405,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.9009767538058195,,medium,none,None,medium,COMPLETE
29,890.412083012589,0.31647360088806253,none,False,True,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,0.9064868473623974,1.0,none,none,mean,small,COMPLETE
30,669.7058502146149,0.1636210243321839,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.8863684038365112,6.0,medium,none,None,medium,COMPLETE
31,645.7080100459123,0.2016898264333638,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.6915034514638516,,medium,none,None,medium,COMPLETE
32,645.7080100459123,0.1005067273397759,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.6889281332731994,,medium,none,None,medium,COMPLETE
33,645.7080100459123,0.09423851450243714,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.6793368595170255,,medium,none,None,medium,COMPLETE
34,727.2299261549682,0.0939322845540472,small,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.6176612930311277,12.0,medium,none,energy,medium,COMPLETE
35,675.826897872542,0.19035381182748767,small,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,0.8159142843612472,,small,none,None,medium,COMPLETE
36,726.7018301190628,0.3142694399474395,none,False,False,True,True,False,True,False,True,False,True,True,False,True,True,False,False,False,0.7140455092144894,12.0,medium,none,population,medium,COMPLETE
37,705.6786038439653,0.06329408179789411,small,True,True,True,False,True,False,True,True,True,False,False,False,False,False,True,False,False,0.5911923171281064,,small,none,distance_energy,medium,COMPLETE
38,740.9726457522062,0.4772598595963436,small,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,0.5050587388554697,,medium,none,distance_population,medium,COMPLETE
39,758.198415696761,0.13153704166211772,small,False,False,True,False,True,True,True,True,False,False,False,False,True,False,True,False,False,0.6604430525609981,12.0,medium,none,max,none,COMPLETE
40,735.0793820410848,0.35287566175242174,none,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,True,False,0.7899042685343849,,small,none,mean,medium,COMPLETE
41,645.7080100459123,0.2004962825419468,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.6887370263684847,,medium,none,None,medium,COMPLETE
42,645.7080100459123,0.10158056525180141,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.6496059504093653,,medium,none,None,medium,COMPLETE
43,686.3116760919689,0.06937410502608965,small,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,0.5276244462637354,,medium,none,idw,medium,COMPLETE
44,633.4362360893191,0.13391811539572357,medium,False,False,True,False,True,False,False,True,True,False,False,False,True,False,True,False,False,0.7355159863449647,,none,long,None,none,COMPLETE
45,652.9985288621509,0.2056217133287665,medium,False,False,True,False,True,False,True,True,True,False,False,False,True,True,True,False,False,0.7407555082223582,,none,long,None,none,COMPLETE
