number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
0,714.5575194036877,none,0.8620075092851924,False,False,False,True,True,True,False,True,True,False,True,False,False,False,True,True,False,6.0,0.2515940833240794,11,19,0.16547827330323744,403,67,medium,0.29017594888321807,9.58157600794938e-08,none,idw,0.6795596183196093,medium,COMPLETE
1,657.745410526944,medium,0.7609949939247119,False,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,6.0,0.261242935487026,7,92,0.0669350382070521,867,21,none,5.8625924838711074e-08,0.4460466111236172,short,energy,0.7269441924344582,none,COMPLETE
2,429.69910039419784,small,0.6848124427526597,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,1.0,0.03847519246021094,11,41,0.44504350387413705,528,11,none,0.0010746236149962666,0.005628566168936167,short,None,0.9098432252037714,small,COMPLETE
3,453.4272894462386,none,0.6818402896576389,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,1.0,0.1511693946013845,13,59,0.25394221581353793,487,75,medium,4.503084202087013e-06,2.5278398516831593e-08,none,energy,0.8396551872170064,small,COMPLETE
4,490.57637294873786,medium,0.8610539458925563,False,True,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,1.0,0.01726163668430103,12,71,0.4440189536405256,848,25,medium,1.0368112635590183e-06,0.44037127377262103,none,population,0.858039793280381,small,COMPLETE
5,457.8873549798247,medium,0.9651713684100998,True,False,False,True,False,False,True,False,False,True,True,True,True,True,False,True,True,,0.11996856007178022,8,57,0.2673427187083382,811,61,none,0.012820030567824124,1.41468490860134e-05,short,None,0.6703626607067308,none,COMPLETE
6,585.6283952162927,none,0.6008481226765235,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,12.0,0.013781778835832748,6,34,0.4572256975448238,657,61,medium,0.0017288053427778702,0.08421244666750424,short,mean,0.9351812141068669,small,COMPLETE
7,550.2277485586314,small,0.5752157335164818,False,True,True,False,False,True,True,True,False,False,False,True,False,True,True,False,False,6.0,0.010690316662262011,6,88,0.37334383402077814,730,58,small,0.0682507275317295,0.0002469585871285561,none,idw,0.5973144346888597,medium,COMPLETE
8,712.8352895963117,none,0.9399307432345925,True,True,False,False,False,True,False,True,True,False,True,False,True,False,True,True,True,12.0,0.016919353153191128,4,43,0.27067698599997336,573,147,none,2.6802830188471334e-07,0.2345053355255214,long,distance_population,0.7632954810414594,medium,COMPLETE
9,689.0601816293283,small,0.9789790609687334,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,1.0,0.023468113008983084,12,22,0.07284205343737044,610,133,medium,2.3643459950932383e-05,0.0005112837311669859,short,mean,0.7303028357764767,medium,COMPLETE
10,441.9567099841577,small,0.5062531056731754,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,True,,0.044879924068700526,15,6,0.3423535015008117,308,110,small,0.0006386946250200343,0.006008536087903849,long,max,0.9972276257248056,small,COMPLETE
11,451.9445630299122,small,0.511065548889227,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,True,,0.04040457464669713,16,5,0.36583291434768833,337,110,small,0.0003986385295281901,0.006019686430274455,long,max,0.9857064472670916,small,COMPLETE
12,487.9817317478064,small,0.7335014496681335,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,True,,0.056706772737127424,16,5,0.36163009395193446,305,99,small,0.0001245657596901756,0.006206897003130061,long,None,0.9981909700393368,small,COMPLETE
13,474.0597809774392,small,0.5081243079568913,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,True,,0.042256084661235434,14,33,0.4747185228058902,484,104,small,0.006239777954000189,2.8603944130512477e-06,long,distance_energy,0.8801851859531356,small,COMPLETE
14,436.28402616997954,small,0.6353369010091612,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,True,1.0,0.07148950973434114,10,73,0.3384119297556273,437,39,none,3.641189701776303e-05,0.005372366933552068,short,max,0.9278863781334081,small,COMPLETE
15,456.51039503484054,small,0.6700234993878083,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,True,1.0,0.08189363502122154,10,75,0.17961309698306155,496,37,none,7.333532052585389e-06,0.0009537769768930555,short,max,0.8083628285617868,small,COMPLETE
16,424.63875683965944,small,0.6265968162855843,False,False,True,False,False,False,False,False,True,True,True,False,False,True,False,True,True,1.0,0.027404586777346477,9,78,0.49889567513592215,973,11,none,3.07169558473113e-05,2.4509955228699388e-05,short,None,0.9144757253951079,none,COMPLETE
17,462.29208421545917,small,0.7948597584671361,False,False,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,1.0,0.02871674985782121,8,47,0.49431710061945366,978,39,none,0.006524948540187092,1.584655456576169e-05,short,None,0.9128009533877293,none,COMPLETE
