date,load_tran_actual,load_tran_fitted,load_tran_lower,load_tran_upper
2026-03-28 00:00:00+00:00,,6704.3633,6599.913,6808.8135
2026-03-28 01:00:00+00:00,,6621.919,6517.4683,6726.369
2026-03-28 02:00:00+00:00,,6516.2285,6411.7783,6620.6787
2026-03-28 03:00:00+00:00,,6698.1475,6593.6973,6802.598
2026-03-28 04:00:00+00:00,,7225.684,7121.234,7330.135
2026-03-28 05:00:00+00:00,,7893.542,7789.092,7997.992
2026-03-28 06:00:00+00:00,,8285.79,8181.3394,8390.24
2026-03-28 07:00:00+00:00,,8414.3,8309.85,8518.75
2026-03-28 08:00:00+00:00,,8520.654,8416.204,8625.1045
2026-03-28 09:00:00+00:00,,8443.445,8338.995,8547.8955
2026-03-28 10:00:00+00:00,,8111.9673,8007.517,8216.418
2026-03-28 11:00:00+00:00,,7937.585,7833.1343,8042.035
2026-03-28 12:00:00+00:00,,7633.424,7528.9736,7737.8745
2026-03-28 13:00:00+00:00,,7392.2827,7287.8325,7496.7334
2026-03-28 14:00:00+00:00,,7315.971,7211.521,7420.4214
2026-03-28 15:00:00+00:00,,7305.0796,7200.629,7409.53
2026-03-28 16:00:00+00:00,,7384.57,7280.1196,7489.0205
2026-03-28 17:00:00+00:00,,7381.8706,7277.42,7486.321
2026-03-28 18:00:00+00:00,,7144.994,7040.544,7249.445
2026-03-28 19:00:00+00:00,,6777.624,6673.174,6882.074
2026-03-28 20:00:00+00:00,,6491.481,6387.0303,6595.931
2026-03-28 21:00:00+00:00,,6225.8223,6121.3716,6330.2725
2026-03-28 22:00:00+00:00,,5900.7095,5796.259,6005.1597
2026-03-28 23:00:00+00:00,,5565.7437,5461.293,5670.194
2026-03-29 00:00:00+00:00,,5186.1997,5081.749,5290.65
2026-03-29 01:00:00+00:00,,4988.8906,4884.44,5093.341
2026-03-29 02:00:00+00:00,,4943.2764,4838.826,5047.727
2026-03-29 03:00:00+00:00,,5011.506,4907.0557,5115.956
2026-03-29 04:00:00+00:00,,4913.89,4809.44,5018.341
2026-03-29 05:00:00+00:00,,5088.45,4984.0,5192.901
2026-03-29 06:00:00+00:00,,5346.1655,5241.7153,5450.616
2026-03-29 07:00:00+00:00,,5617.0864,5512.636,5721.5366
2026-03-29 08:00:00+00:00,,5969.9116,5865.461,6074.362
2026-03-29 09:00:00+00:00,,6000.2583,5895.808,6104.709
2026-03-29 10:00:00+00:00,,5918.2354,5813.7847,6022.6855
2026-03-29 11:00:00+00:00,,5707.937,5603.487,5812.387
2026-03-29 12:00:00+00:00,,5435.4897,5331.0396,5539.94
2026-03-29 13:00:00+00:00,,5242.436,5137.986,5346.886
2026-03-29 14:00:00+00:00,,5238.6025,5134.1523,5343.0527
2026-03-29 15:00:00+00:00,,5354.768,5250.318,5459.2183
2026-03-29 16:00:00+00:00,,5588.794,5484.3438,5693.244
2026-03-29 17:00:00+00:00,,5801.3613,5696.9106,5905.8115
2026-03-29 18:00:00+00:00,,6006.743,5902.293,6111.194
2026-03-29 19:00:00+00:00,,5940.4634,5836.013,6044.914
2026-03-29 20:00:00+00:00,,5856.465,5752.0146,5960.9155
2026-03-29 21:00:00+00:00,,5632.5884,5528.138,5737.0386
2026-03-29 22:00:00+00:00,,5300.3867,5195.936,5404.837
2026-03-29 23:00:00+00:00,,5146.9434,5042.4927,5251.3936
