date,load_tran_actual,load_tran_fitted,load_tran_lower,load_tran_upper
2026-07-01 00:00:00+00:00,5992.5,5917.4106,5812.96,6021.861
2026-07-01 01:00:00+00:00,5979.0,5826.7183,5722.268,5931.1685
2026-07-01 02:00:00+00:00,6035.0,5888.62,5784.1694,5993.0703
2026-07-01 03:00:00+00:00,6404.25,6251.1562,6146.706,6355.6064
2026-07-01 04:00:00+00:00,7518.5,6897.259,6792.808,7001.709
2026-07-01 05:00:00+00:00,8387.0,7500.5483,7396.098,7604.9985
2026-07-01 06:00:00+00:00,9004.25,7925.8037,7821.3535,8030.2544
2026-07-01 07:00:00+00:00,9084.25,8061.793,7957.3423,8166.243
2026-07-01 08:00:00+00:00,9359.0,8075.8555,7971.405,8180.3057
2026-07-01 09:00:00+00:00,9409.25,8044.102,7939.652,8148.5522
2026-07-01 10:00:00+00:00,9078.0,7793.081,7688.6304,7897.5312
2026-07-01 11:00:00+00:00,8785.25,7669.437,7564.987,7773.8877
2026-07-01 12:00:00+00:00,8273.25,7510.8574,7406.4067,7615.3076
2026-07-01 13:00:00+00:00,7757.25,7391.025,7286.5747,7495.475
2026-07-01 14:00:00+00:00,7702.0,7332.9775,7228.527,7437.4277
2026-07-01 15:00:00+00:00,7619.5,7289.3813,7184.931,7393.832
2026-07-01 16:00:00+00:00,7697.25,7253.436,7148.986,7357.8867
2026-07-01 17:00:00+00:00,7767.25,7177.336,7072.8853,7281.786
2026-07-01 18:00:00+00:00,7568.75,7007.6455,6903.1953,7112.096
2026-07-01 19:00:00+00:00,7253.75,6736.9785,6632.5283,6841.429
2026-07-01 20:00:00+00:00,6934.25,6370.173,6265.722,6474.623
2026-07-01 21:00:00+00:00,6464.75,5842.553,5738.1025,5947.0034
2026-07-01 22:00:00+00:00,6174.0,5462.146,5357.6953,5566.596
2026-07-01 23:00:00+00:00,5940.75,5184.0835,5079.633,5288.5337
2026-07-02 00:00:00+00:00,5749.75,5058.1113,4953.661,5162.5615
2026-07-02 01:00:00+00:00,5721.25,4984.645,4880.195,5089.095
2026-07-02 02:00:00+00:00,5785.5,5072.969,4968.519,5177.42
2026-07-02 03:00:00+00:00,6226.25,5518.287,5413.837,5622.7373
2026-07-02 04:00:00+00:00,7430.0,6585.936,6481.4854,6690.386
2026-07-02 05:00:00+00:00,8262.75,7148.1104,7043.6597,7252.5605
2026-07-02 06:00:00+00:00,8511.5,7224.885,7120.434,7329.335
2026-07-02 07:00:00+00:00,8346.0,7200.837,7096.3867,7305.287
2026-07-02 08:00:00+00:00,8395.75,7134.1235,7029.673,7238.5737
2026-07-02 09:00:00+00:00,8464.5,7014.695,6910.2446,7119.1455
2026-07-02 10:00:00+00:00,8318.25,6833.123,6728.6724,6937.573
2026-07-02 11:00:00+00:00,8259.25,6736.1626,6631.7124,6840.6133
2026-07-02 12:00:00+00:00,8104.75,6626.672,6522.2217,6731.1226
2026-07-02 13:00:00+00:00,7906.75,6576.4385,6471.9883,6680.8887
2026-07-02 14:00:00+00:00,7626.75,6518.6133,6414.1626,6623.0635
2026-07-02 15:00:00+00:00,7590.0,6695.742,6591.292,6800.193
2026-07-02 16:00:00+00:00,7821.25,6728.7593,6624.309,6833.21
2026-07-02 17:00:00+00:00,8058.25,6787.1353,6682.685,6891.586
2026-07-02 18:00:00+00:00,7855.0,6601.611,6497.1606,6706.061
2026-07-02 19:00:00+00:00,7496.25,6415.1,6310.65,6519.551
2026-07-02 20:00:00+00:00,7155.25,6117.275,6012.824,6221.725
2026-07-02 21:00:00+00:00,6658.0,5590.5596,5486.109,5695.01
2026-07-02 22:00:00+00:00,6229.25,5259.5767,5155.1265,5364.0273
2026-07-02 23:00:00+00:00,5954.25,5009.2783,4904.828,5113.729
2026-07-03 00:00:00+00:00,5839.5,4884.9937,4780.5435,4989.4443
2026-07-03 01:00:00+00:00,5967.25,4891.977,4787.5264,4996.4272
2026-07-03 02:00:00+00:00,6012.75,4952.921,4848.47,5057.371
2026-07-03 03:00:00+00:00,6463.75,5285.1777,5180.7275,5389.6284
