number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_shortwave_lags_option,params_spatial_agg_method,params_use_solar_geometry,params_vapor_pressure,state
0,1042.5407411993426,0.040123423038917284,none,False,False,True,False,True,False,True,False,True,False,False,0.695570389508224,12.0,large,medium,mean,False,False,COMPLETE
1,696.0515849322745,0.22835859493593363,medium,True,False,True,False,True,False,True,False,True,True,False,0.584271480236521,,large,small,n_panels,False,True,COMPLETE
2,1726743817.6292295,0.2925434804109308,small,False,False,True,True,False,True,True,True,False,False,True,0.025358858404125217,1.0,large,large,idw,False,True,COMPLETE
3,703.1677114046665,0.9113135401792741,medium,True,True,False,True,True,False,False,False,False,False,False,0.9113216869313797,,large,medium,n_panels,True,False,COMPLETE
4,1276.8138421641077,0.21778526620946492,none,True,True,False,True,True,False,True,True,True,False,False,0.6709209067819548,6.0,none,none,mean,True,False,COMPLETE
5,1042.5443314952608,0.6084196483397601,small,True,True,False,False,True,True,True,True,True,True,False,0.08523846698068414,12.0,small,medium,capacity,True,True,COMPLETE
6,803.3900735685032,0.8273062932959893,none,False,True,False,True,False,True,True,True,True,False,False,0.7388774584834925,,none,medium,max,True,False,COMPLETE
7,5424904711.747007,0.40268118565158506,medium,True,False,True,False,False,True,False,True,False,True,True,0.5555043554076995,1.0,large,large,capacity,True,False,COMPLETE
8,732.1662640279147,0.6135247101953745,medium,False,True,False,True,True,False,False,False,False,False,False,0.17271246319706754,,small,large,mean,False,True,COMPLETE
9,168606092856.943,0.835570269543419,medium,False,False,False,True,False,True,True,False,True,False,True,0.4786438921603691,1.0,none,medium,n_panels,True,False,COMPLETE
10,1840.2906135071419,0.033493428218819454,large,True,False,True,False,True,False,False,False,True,True,True,0.3142558936714932,6.0,large,small,distance_n_panels,False,True,COMPLETE
11,693.4784710399921,0.9743051764301625,medium,True,True,True,False,True,False,False,False,False,True,False,0.9805231443055817,,large,small,n_panels,False,True,COMPLETE
12,693.4784710399921,0.5075146670179502,medium,True,True,True,False,True,False,False,False,False,True,False,0.9192234070518968,,large,small,n_panels,False,True,COMPLETE
13,687.9735526669245,0.7339022716602541,large,True,True,True,False,True,False,False,False,False,True,False,0.9774910988927559,,large,small,distance_capacity,False,True,COMPLETE
14,687.9735526669245,0.9669335081987366,large,True,True,True,False,True,False,False,False,False,True,False,0.964370782049316,,large,small,distance_capacity,False,True,COMPLETE
15,688.6257508752475,0.7557724722205748,large,True,True,True,False,True,False,False,False,False,True,False,0.8065663316026777,,small,small,distance_capacity,False,True,COMPLETE
16,776.486994423899,0.7148452352954983,large,True,True,True,False,True,False,False,False,False,True,False,0.871397071786102,,large,none,distance_capacity,False,True,COMPLETE
17,1249.7088824572277,0.9420357404009401,large,True,True,True,False,True,False,False,False,False,True,False,0.3906856016622454,12.0,large,small,None,False,True,COMPLETE
18,1520.3371465783948,0.6734296676752963,large,True,True,True,False,False,False,False,False,False,True,True,0.98663324232247,6.0,small,small,distance_capacity,False,True,COMPLETE
19,688.678044138254,0.8547644920039618,large,True,True,True,False,True,False,False,False,False,True,False,0.8061487113941473,,none,small,distance_capacity,False,True,COMPLETE
20,776.486994423899,0.7595226567070945,large,True,True,True,False,True,False,False,False,False,True,False,0.8009236949880327,,large,none,distance_capacity,False,True,COMPLETE
21,688.6257508752475,0.7704003951510857,large,True,True,True,False,True,False,False,False,False,True,False,0.827781916571575,,small,small,distance_capacity,False,True,COMPLETE
22,688.6257508752475,0.5250060583235214,large,True,True,True,False,True,False,False,False,False,True,False,0.9896101124902922,,small,small,distance_capacity,False,True,COMPLETE
23,688.6257508752475,0.9799697735286562,large,True,True,True,False,True,False,False,False,False,True,False,0.7720378344871287,,small,small,distance_capacity,False,True,COMPLETE
24,784.5369770581989,0.6654117597323476,large,True,True,True,False,True,False,False,False,False,True,False,0.8939454659447627,,small,small,max,False,True,COMPLETE
25,736.783451605921,0.8561999365631997,small,True,True,True,False,True,False,False,False,False,True,False,0.6516522643302902,,small,small,idw,False,True,COMPLETE
26,1523736586.1115806,0.5768033454689699,large,False,True,True,False,False,True,False,True,False,True,True,0.8708164903759762,1.0,large,small,distance_n_panels,False,True,COMPLETE
27,1235.6013553486885,0.753469364610354,large,True,True,True,False,True,False,False,False,False,True,False,0.9398540706322724,12.0,large,small,distance_capacity,False,True,COMPLETE
28,1139.0476050774132,0.43003106435451244,large,True,True,True,False,True,False,False,False,False,True,False,0.732127270875885,6.0,none,large,distance_capacity,False,True,COMPLETE
29,1400.5546953447472,0.8868578810644601,none,False,False,True,False,True,False,False,False,False,True,False,0.6379619370675798,12.0,small,none,distance_capacity,False,False,COMPLETE
30,671.7247888683042,0.7963324278933119,large,True,True,True,False,True,False,False,False,False,True,False,0.8634422024493599,,large,small,None,False,True,COMPLETE
31,671.7247888683042,0.8010101646386507,large,True,True,True,False,True,False,False,False,False,True,False,0.8361308201245101,,large,small,None,False,True,COMPLETE
32,671.7247888683042,0.8095197031202472,large,True,True,True,False,True,False,False,False,False,True,False,0.9503558497185157,,large,small,None,False,True,COMPLETE
33,671.7247888683042,0.6753688506624091,large,True,True,True,False,True,False,False,False,False,True,False,0.8649261891671399,,large,small,None,False,True,COMPLETE
34,669.8650935143614,0.6574727718837327,small,True,False,True,False,True,False,True,False,False,True,False,0.719602171952833,,large,small,None,False,True,COMPLETE
35,689.1736995992522,0.8014119371440209,small,True,False,True,True,True,False,True,False,True,False,False,0.70885483837277,,large,small,None,False,True,COMPLETE
36,670.6178387988183,0.11443684937411924,small,True,False,False,False,True,True,True,True,False,True,False,0.5429553814661682,,large,large,None,True,False,COMPLETE
37,120107792381.61609,0.25847532953204233,small,False,False,False,True,False,True,True,True,True,False,True,0.5955762704223245,1.0,large,large,None,True,False,COMPLETE
38,670.6178387988183,0.40495768780488695,small,True,False,False,False,True,True,True,True,False,True,False,0.4829913245233053,,large,large,None,True,False,COMPLETE
39,1020.4315352177435,0.14256892395224566,small,True,False,False,True,True,True,True,True,False,False,False,0.4726440974148102,12.0,large,large,None,True,False,COMPLETE
40,968.5355306672358,0.13481162768824528,small,False,False,False,False,False,True,True,True,True,True,False,0.5300897974490828,6.0,large,large,None,True,False,COMPLETE
41,670.6178387988183,0.3729935236849113,small,True,False,False,False,True,True,True,True,False,True,False,0.3336864485047245,,large,large,None,True,False,COMPLETE
42,670.6178387988183,0.34093957291277965,small,True,False,False,False,True,True,True,True,False,True,False,0.28762615096575866,,large,large,None,True,False,COMPLETE
43,670.6178387988183,0.3463522745711419,small,True,False,False,False,True,True,True,True,False,True,False,0.2862948467865699,,large,large,None,True,False,COMPLETE
44,871.9250530716154,0.4312688578055013,small,True,False,False,False,True,True,True,True,False,True,True,0.41605851996686005,,large,large,capacity,True,False,COMPLETE
45,1596.3400207622965,0.34197201119740667,small,True,False,False,False,True,True,True,True,False,True,False,0.2270496087630519,1.0,large,large,mean,True,False,COMPLETE
46,687.2017776897843,0.19004329585242735,small,True,False,False,True,True,True,True,True,False,False,False,0.3454208916048541,,none,large,None,True,False,COMPLETE
47,728.6029458920997,0.3095499609409573,small,True,False,False,False,True,True,True,True,True,True,False,0.17778736640016618,,large,large,idw,True,False,COMPLETE
48,673.0024123472652,0.3885710921870159,small,False,False,False,False,False,True,True,True,False,True,False,0.43811912869870717,,large,medium,None,True,False,COMPLETE
49,841.9671844623648,0.4609905444219196,small,True,False,False,False,True,True,True,True,False,True,True,0.08453633926911713,,large,large,None,True,False,COMPLETE
50,1009.4411532558953,0.010864589906860025,none,True,False,False,True,True,True,True,True,False,True,False,0.35826216024523483,6.0,large,large,max,True,False,COMPLETE
51,670.6178387988183,0.3509343171457308,small,True,False,False,False,True,True,True,True,False,True,False,0.2893010449641703,,large,large,None,True,False,COMPLETE
52,670.6178387988183,0.2713610691873242,small,True,False,False,False,True,True,True,True,False,True,False,0.26360097882436967,,large,large,None,True,False,COMPLETE
53,670.6178387988183,0.48019947713948685,small,True,False,False,False,True,True,True,True,False,True,False,0.23014125471730207,,large,large,None,True,False,COMPLETE
54,705.3717555002537,0.5691996521254423,small,True,False,False,False,True,True,True,True,False,True,False,0.5900531340209645,,large,large,distance_n_panels,True,False,COMPLETE
55,702.4491182445299,0.08245182826679762,small,True,False,False,False,True,True,True,True,False,True,False,0.48728633736623567,,none,medium,capacity,True,False,COMPLETE
56,717.802646547267,0.3639596089191845,small,True,False,False,False,True,True,True,True,False,False,False,0.36062195235657224,,large,large,mean,True,False,COMPLETE
57,681.9468608157651,0.3112833600532018,medium,True,False,False,False,True,True,True,True,True,True,False,0.30901079226723976,,large,large,n_panels,True,False,COMPLETE
58,2020.3255357812807,0.20589597546341315,small,True,False,False,False,True,True,True,True,False,True,False,0.170285509732422,1.0,large,large,None,True,False,COMPLETE
59,777.4985527575254,0.5271523613637316,small,True,False,False,False,False,True,True,True,False,True,False,0.4437498208741593,,large,none,None,True,False,COMPLETE
60,1175.6658300403228,0.40477144584342123,none,True,False,False,False,True,True,True,True,False,True,True,0.5535630969593309,12.0,large,large,None,True,False,COMPLETE
61,670.6178387988183,0.34730324748902197,small,True,False,False,False,True,True,True,True,False,True,False,0.2845483979424084,,large,large,None,True,False,COMPLETE
62,670.6178387988183,0.2526593944077875,small,True,False,False,False,True,True,True,True,False,True,False,0.3889033662578055,,large,large,None,True,False,COMPLETE
63,670.6178387988183,0.3849116920166016,small,True,False,False,False,True,True,True,True,False,True,False,0.2244467219282749,,large,large,None,True,False,COMPLETE
64,733.8784932450186,0.32479122447579184,small,True,False,False,False,True,True,True,True,False,True,False,0.32883461159074034,,large,large,idw,True,False,COMPLETE
65,742.5727044541804,0.4710585571865897,small,True,False,False,False,True,True,True,True,False,True,False,0.25964431546842237,,none,medium,max,True,False,COMPLETE
