date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper
2026-08-04 00:00:00+00:00,,35.025974,-499.67398,569.7257
2026-08-04 01:00:00+00:00,,37.415134,-497.28458,572.115
2026-08-04 02:00:00+00:00,,1.4749483,-533.225,536.1747
2026-08-04 03:00:00+00:00,,-0.89541304,-535.59534,533.8043
2026-08-04 04:00:00+00:00,,415.5566,-119.14322,950.2565
2026-08-04 05:00:00+00:00,,1998.0027,1463.3029,2532.7024
2026-08-04 06:00:00+00:00,,4135.449,3600.7493,4670.149
2026-08-04 07:00:00+00:00,,5269.0405,4734.341,5803.74
2026-08-04 08:00:00+00:00,,7031.408,6496.708,7566.108
2026-08-04 09:00:00+00:00,,5221.482,4686.782,5756.182
2026-08-04 10:00:00+00:00,,6227.827,5693.1274,6762.5273
2026-08-04 11:00:00+00:00,,6756.522,6221.8223,7291.222
2026-08-04 12:00:00+00:00,,6668.8755,6134.176,7203.5757
2026-08-04 13:00:00+00:00,,7019.119,6484.419,7553.819
2026-08-04 14:00:00+00:00,,6252.09,5717.39,6786.79
2026-08-04 15:00:00+00:00,,5123.5,4588.8003,5658.1997
2026-08-04 16:00:00+00:00,,2638.3447,2103.6448,3173.0444
2026-08-04 17:00:00+00:00,,1095.4653,560.7655,1630.1652
2026-08-04 18:00:00+00:00,,276.5322,-258.16763,811.23193
2026-08-04 19:00:00+00:00,,-79.298004,-613.9977,455.4017
2026-08-04 20:00:00+00:00,,45.702,-488.99796,580.40186
2026-08-04 21:00:00+00:00,,47.21787,-487.4821,581.9176
2026-08-04 22:00:00+00:00,,31.38657,-503.31314,566.0864
2026-08-04 23:00:00+00:00,,-51.092434,-585.79236,483.6074
2026-08-05 00:00:00+00:00,,-300.39127,-835.09094,234.30844
2026-08-05 01:00:00+00:00,,25.01279,-509.68692,559.71265
2026-08-05 02:00:00+00:00,,-105.19034,-639.89026,429.5095
2026-08-05 03:00:00+00:00,,-28.45132,-563.151,506.24838
2026-08-05 04:00:00+00:00,,-202.04044,-736.7401,332.6594
2026-08-05 05:00:00+00:00,,933.121,398.4211,1467.8207
2026-08-05 06:00:00+00:00,,2807.7058,2273.0059,3342.4055
2026-08-05 07:00:00+00:00,,3465.5845,2930.8848,4000.2844
2026-08-05 08:00:00+00:00,,5912.275,5377.5747,6446.9746
2026-08-05 09:00:00+00:00,,6945.599,6410.8994,7480.2993
2026-08-05 10:00:00+00:00,,8239.03,7704.331,8773.73
2026-08-05 11:00:00+00:00,,8531.778,7997.0786,9066.479
2026-08-05 12:00:00+00:00,,8306.479,7771.7793,8841.179
2026-08-05 13:00:00+00:00,,8752.111,8217.411,9286.811
2026-08-05 14:00:00+00:00,,5496.0664,4961.3667,6030.7666
2026-08-05 15:00:00+00:00,,5065.4604,4530.7607,5600.16
2026-08-05 16:00:00+00:00,,2887.4285,2352.7285,3422.1282
2026-08-05 17:00:00+00:00,,1181.5505,646.8507,1716.2504
2026-08-05 18:00:00+00:00,,418.72836,-115.97159,953.4282
2026-08-05 19:00:00+00:00,,-34.901028,-569.6007,499.79868
2026-08-05 20:00:00+00:00,,70.42734,-464.2726,605.1271
2026-08-05 21:00:00+00:00,,68.4017,-466.29825,603.10156
2026-08-05 22:00:00+00:00,,156.29794,-378.40176,690.9978
2026-08-05 23:00:00+00:00,,102.666595,-432.0331,637.36646
2026-08-06 00:00:00+00:00,,14.098727,-520.60095,548.7986
2026-08-06 01:00:00+00:00,,1.5203584,-533.1793,536.22034
2026-08-06 02:00:00+00:00,,-65.087555,-599.7875,469.6124
2026-08-06 03:00:00+00:00,,-24.016018,-558.7157,510.6838
2026-08-06 04:00:00+00:00,,298.78854,-235.91129,833.4884
2026-08-06 05:00:00+00:00,,1789.0432,1254.3434,2323.743
2026-08-06 06:00:00+00:00,,3878.7866,3344.087,4413.4863
2026-08-06 07:00:00+00:00,,5873.793,5339.093,6408.4927
2026-08-06 08:00:00+00:00,,8221.203,7686.504,8755.903
2026-08-06 09:00:00+00:00,,9822.102,9287.402,10356.802
2026-08-06 10:00:00+00:00,,10476.824,9942.125,11011.523
2026-08-06 11:00:00+00:00,,10798.859,10264.16,11333.559
2026-08-06 12:00:00+00:00,,10612.814,10078.115,11147.514
2026-08-06 13:00:00+00:00,,10097.478,9562.778,10632.177
2026-08-06 14:00:00+00:00,,6811.559,6276.859,7346.259
2026-08-06 15:00:00+00:00,,5532.0845,4997.385,6066.7847
2026-08-06 16:00:00+00:00,,3123.407,2588.7073,3658.107
2026-08-06 17:00:00+00:00,,1243.7163,709.0165,1778.4161
2026-08-06 18:00:00+00:00,,389.33664,-145.36319,924.0364
2026-08-06 19:00:00+00:00,,172.09848,-362.60123,706.7982
2026-08-06 20:00:00+00:00,,-83.92862,-618.6283,450.7711
2026-08-06 21:00:00+00:00,,-68.30606,-603.00574,466.39377
2026-08-06 22:00:00+00:00,,-34.726223,-569.42615,499.97372
2026-08-06 23:00:00+00:00,,-19.555569,-554.25525,515.1444
2026-08-07 00:00:00+00:00,,0.9353975,-533.7645,535.63525
2026-08-07 01:00:00+00:00,,61.471775,-473.22794,596.17175
2026-08-07 02:00:00+00:00,,14.395846,-520.30383,549.0958
2026-08-07 03:00:00+00:00,,-1.2001005,-535.8998,533.49976
2026-08-07 04:00:00+00:00,,361.02426,-173.67569,895.7241
2026-08-07 05:00:00+00:00,,2202.5818,1667.8821,2737.2817
2026-08-07 06:00:00+00:00,,5405.448,4870.7485,5940.1484
2026-08-07 07:00:00+00:00,,8349.11,7814.41,8883.81
2026-08-07 08:00:00+00:00,,9943.461,9408.761,10478.16
2026-08-07 09:00:00+00:00,,10890.372,10355.673,11425.072
2026-08-07 10:00:00+00:00,,10661.3125,10126.613,11196.013
2026-08-07 11:00:00+00:00,,10847.424,10312.725,11382.123
2026-08-07 12:00:00+00:00,,10082.209,9547.509,10616.908
2026-08-07 13:00:00+00:00,,10576.587,10041.888,11111.286
2026-08-07 14:00:00+00:00,,8613.847,8079.1475,9148.547
2026-08-07 15:00:00+00:00,,6711.3115,6176.6113,7246.011
2026-08-07 16:00:00+00:00,,3827.861,3293.1614,4362.561
2026-08-07 17:00:00+00:00,,1481.8973,947.1975,2016.5972
2026-08-07 18:00:00+00:00,,188.1755,-346.52432,722.87537
2026-08-07 19:00:00+00:00,,18.56113,-516.13855,553.261
2026-08-07 20:00:00+00:00,,-3.515042,-538.21497,531.1848
2026-08-07 21:00:00+00:00,,16.416111,-518.2838,551.11584
2026-08-07 22:00:00+00:00,,10.062839,-524.63684,544.7627
2026-08-07 23:00:00+00:00,,-11.981351,-546.6813,522.7184
2026-08-08 00:00:00+00:00,,14.234714,-520.46497,548.9347
2026-08-08 01:00:00+00:00,,10.768161,-523.93176,545.4679
2026-08-08 02:00:00+00:00,,-0.19253218,-534.89246,534.5073
2026-08-08 03:00:00+00:00,,2.1966279,-532.5033,536.8965
2026-08-08 04:00:00+00:00,,831.1859,296.48618,1365.8856
2026-08-08 05:00:00+00:00,,2370.611,1835.9111,2905.3108
2026-08-08 06:00:00+00:00,,3850.364,3315.6643,4385.064
2026-08-08 07:00:00+00:00,,7513.681,6978.981,8048.381
2026-08-08 08:00:00+00:00,,9921.489,9386.79,10456.188
2026-08-08 09:00:00+00:00,,10811.421,10276.722,11346.12
2026-08-08 10:00:00+00:00,,11325.697,10790.998,11860.396
2026-08-08 11:00:00+00:00,,11176.035,10641.336,11710.734
2026-08-08 12:00:00+00:00,,10180.863,9646.164,10715.5625
2026-08-08 13:00:00+00:00,,10135.394,9600.694,10670.093
2026-08-08 14:00:00+00:00,,9020.153,8485.453,9554.853
2026-08-08 15:00:00+00:00,,6127.8975,5593.1978,6662.5977
2026-08-08 16:00:00+00:00,,3566.663,3031.9634,4101.363
2026-08-08 17:00:00+00:00,,1081.0253,546.32544,1615.7251
2026-08-08 18:00:00+00:00,,690.4894,155.78964,1225.1892
2026-08-08 19:00:00+00:00,,-36.27212,-570.9718,498.42758
2026-08-08 20:00:00+00:00,,140.00143,-394.6984,674.7013
2026-08-08 21:00:00+00:00,,-4.2474637,-538.9474,530.4524
2026-08-08 22:00:00+00:00,,-9.131009,-543.8307,525.56885
2026-08-08 23:00:00+00:00,,12.942477,-521.75745,547.6422
2026-08-09 00:00:00+00:00,,46.614353,-488.08536,581.31433
2026-08-09 01:00:00+00:00,,30.30698,-504.39273,565.00696
2026-08-09 02:00:00+00:00,,53.92441,-480.7753,588.6244
2026-08-09 03:00:00+00:00,,57.613377,-477.08658,592.31323
2026-08-09 04:00:00+00:00,,920.4209,385.72104,1455.1207
2026-08-09 05:00:00+00:00,,2185.9805,1651.2808,2720.6804
2026-08-09 06:00:00+00:00,,4181.438,3646.738,4716.1377
2026-08-09 07:00:00+00:00,,5919.7266,5385.027,6454.427
2026-08-09 08:00:00+00:00,,9117.609,8582.909,9652.309
2026-08-09 09:00:00+00:00,,10000.248,9465.548,10534.947
2026-08-09 10:00:00+00:00,,10875.916,10341.217,11410.615
2026-08-09 11:00:00+00:00,,11289.438,10754.738,11824.138
2026-08-09 12:00:00+00:00,,10877.125,10342.426,11411.824
2026-08-09 13:00:00+00:00,,10317.91,9783.211,10852.609
2026-08-09 14:00:00+00:00,,8330.425,7795.725,8865.125
2026-08-09 15:00:00+00:00,,5537.788,5003.088,6072.488
2026-08-09 16:00:00+00:00,,3360.6926,2825.993,3895.3923
2026-08-09 17:00:00+00:00,,1179.3419,644.6421,1714.0417
2026-08-09 18:00:00+00:00,,4.8150363,-529.8849,539.5148
2026-08-09 19:00:00+00:00,,-186.54214,-721.2418,348.15756
2026-08-09 20:00:00+00:00,,-99.62784,-634.32776,435.072
2026-08-09 21:00:00+00:00,,-145.44595,-680.1459,389.25388
2026-08-09 22:00:00+00:00,,-28.27383,-562.9735,506.42612
2026-08-09 23:00:00+00:00,,-21.724514,-556.42444,512.9752
2026-08-10 00:00:00+00:00,,127.712006,-406.98795,662.41187
2026-08-10 01:00:00+00:00,,24.578465,-510.1215,559.2783
2026-08-10 02:00:00+00:00,,112.01425,-422.68546,646.71423
2026-08-10 03:00:00+00:00,,100.911224,-433.78873,635.61096
2026-08-10 04:00:00+00:00,,421.3309,-113.368805,956.03076
2026-08-10 05:00:00+00:00,,1861.0688,1326.369,2395.7686
2026-08-10 06:00:00+00:00,,2570.3508,2035.6511,3105.0508
2026-08-10 07:00:00+00:00,,5568.711,5034.011,6103.4106
2026-08-10 08:00:00+00:00,,7442.909,6908.2095,7977.6094
2026-08-10 09:00:00+00:00,,8534.089,7999.3887,9068.788
2026-08-10 10:00:00+00:00,,9355.463,8820.764,9890.163
2026-08-10 11:00:00+00:00,,9093.179,8558.479,9627.878
2026-08-10 12:00:00+00:00,,8639.918,8105.2188,9174.618
2026-08-10 13:00:00+00:00,,7607.911,7073.2114,8142.6113
2026-08-10 14:00:00+00:00,,6177.572,5642.8716,6712.2715
2026-08-10 15:00:00+00:00,,3712.7734,3178.0737,4247.473
2026-08-10 16:00:00+00:00,,2563.7112,2029.0115,3098.4111
2026-08-10 17:00:00+00:00,,871.27234,336.57248,1405.972
2026-08-10 18:00:00+00:00,,150.48898,-384.21085,685.18884
2026-08-10 19:00:00+00:00,,44.77329,-489.92642,579.473
2026-08-10 20:00:00+00:00,,-3.4439971,-538.1437,531.25586
2026-08-10 21:00:00+00:00,,13.841647,-520.85803,548.5415
2026-08-10 22:00:00+00:00,,-21.206936,-555.90686,513.4928
2026-08-10 23:00:00+00:00,,21.38779,-513.31213,556.0875
