date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper
2026-06-27 00:00:00+00:00,9.476961e-05,-76.41177,-611.1117,458.28818
2026-06-27 01:00:00+00:00,9.476961e-05,-22.825588,-557.52527,511.8741
2026-06-27 02:00:00+00:00,4.950046,135.2944,-399.40543,669.99426
2026-06-27 03:00:00+00:00,350.56003,257.6771,-277.02286,792.37695
2026-06-27 04:00:00+00:00,1590.44,1698.1971,1163.4973,2232.897
2026-06-27 05:00:00+00:00,4035.6,3861.1592,3326.4595,4395.859
2026-06-27 06:00:00+00:00,7161.81,8078.267,7543.567,8612.967
2026-06-27 07:00:00+00:00,10005.81,9920.554,9385.8545,10455.253
2026-06-27 08:00:00+00:00,11937.09,10211.059,9676.358,10745.758
2026-06-27 09:00:00+00:00,12001.588,11336.366,10801.667,11871.065
2026-06-27 10:00:00+00:00,12066.086,11470.524,10935.824,12005.224
2026-06-27 11:00:00+00:00,12130.584,11295.451,10760.752,11830.151
2026-06-27 12:00:00+00:00,12195.082,10970.578,10435.879,11505.277
2026-06-27 13:00:00+00:00,12259.58,9754.259,9219.559,10288.958
2026-06-27 14:00:00+00:00,9894.48,7955.071,7420.3706,8489.7705
2026-06-27 15:00:00+00:00,6779.11,5614.7056,5080.006,6149.406
2026-06-27 16:00:00+00:00,3781.36,4102.5596,3567.8596,4637.2593
2026-06-27 17:00:00+00:00,1617.64,2224.9353,1690.2356,2759.6353
2026-06-27 18:00:00+00:00,513.4,554.4298,19.730076,1089.1296
2026-06-27 19:00:00+00:00,49.500095,-183.92227,-718.62195,350.77744
2026-06-27 20:00:00+00:00,0.029879926,-1.9332548,-536.63293,532.7665
2026-06-27 21:00:00+00:00,9.476961e-05,143.27927,-391.42056,677.979
2026-06-27 22:00:00+00:00,9.476961e-05,-561.76697,-1096.4667,-27.067043
2026-06-27 23:00:00+00:00,9.476961e-05,-43.014553,-577.71423,491.68515
2026-06-28 00:00:00+00:00,9.476961e-05,-14.898831,-549.5985,519.80115
2026-06-28 01:00:00+00:00,9.476961e-05,-32.41592,-567.1156,502.28403
2026-06-28 02:00:00+00:00,3.190036,90.25131,-444.44864,624.9512
2026-06-28 03:00:00+00:00,306.69003,24.102634,-510.59732,558.8025
2026-06-28 04:00:00+00:00,1396.6,829.6869,294.98703,1364.3867
2026-06-28 05:00:00+00:00,3408.11,3374.8193,2840.1196,3909.5193
2026-06-28 06:00:00+00:00,6039.98,4858.62,4323.9204,5393.3203
2026-06-28 07:00:00+00:00,8776.05,6157.0674,5622.3677,6691.7676
2026-06-28 08:00:00+00:00,10753.14,8668.427,8133.727,9203.127
2026-06-28 09:00:00+00:00,11768.48,8877.932,8343.232,9412.632
2026-06-28 10:00:00+00:00,12172.06,9754.255,9219.556,10288.955
2026-06-28 11:00:00+00:00,11907.49,10486.366,9951.667,11021.065
2026-06-28 12:00:00+00:00,11702.53,9704.7295,9170.029,10239.429
2026-06-28 13:00:00+00:00,11056.27,7947.8706,7413.171,8482.57
2026-06-28 14:00:00+00:00,9794.17,6934.6274,6399.9272,7469.327
2026-06-28 15:00:00+00:00,7678.91,5821.732,5287.0317,6356.432
2026-06-28 16:00:00+00:00,4918.69,4330.007,3795.3071,4864.7065
2026-06-28 17:00:00+00:00,2371.4,2109.8076,1575.1078,2644.5073
2026-06-28 18:00:00+00:00,802.56006,558.3672,23.667332,1093.067
2026-06-28 19:00:00+00:00,77.20004,223.27011,-311.4296,757.97
2026-06-28 20:00:00+00:00,0.039889693,-45.149563,-579.84924,489.55026
2026-06-28 21:00:00+00:00,9.476961e-05,-50.880276,-585.57996,483.81955
2026-06-28 22:00:00+00:00,9.476961e-05,-39.494534,-574.19446,495.2054
2026-06-28 23:00:00+00:00,9.476961e-05,-57.38101,-592.08093,477.31894
2026-06-29 00:00:00+00:00,9.476961e-05,-322.42545,-857.1251,212.27438
2026-06-29 01:00:00+00:00,9.476961e-05,-202.20596,-736.9059,332.49387
2026-06-29 02:00:00+00:00,5.3399386,-26.168362,-560.86804,508.5316
2026-06-29 03:00:00+00:00,250.43015,-213.79727,-748.4972,320.90268
2026-06-29 04:00:00+00:00,859.5,635.19446,100.49448,1169.8943
2026-06-29 05:00:00+00:00,1729.59,2112.7275,1578.0278,2647.4275
2026-06-29 06:00:00+00:00,2957.86,3747.5193,3212.8196,4282.219
2026-06-29 07:00:00+00:00,3996.0,5124.507,4589.807,5659.2065
2026-06-29 08:00:00+00:00,4444.78,7307.0264,6772.326,7841.726
2026-06-29 09:00:00+00:00,4821.46,8614.051,8079.3506,9148.75
2026-06-29 10:00:00+00:00,5442.75,8689.631,8154.931,9224.331
2026-06-29 11:00:00+00:00,6608.16,7455.9795,6921.2793,7990.679
2026-06-29 12:00:00+00:00,7388.66,7860.1177,7325.4175,8394.817
2026-06-29 13:00:00+00:00,7238.65,6702.8135,6168.114,7237.5137
2026-06-29 14:00:00+00:00,6286.53,6903.3623,6368.6626,7438.062
2026-06-29 15:00:00+00:00,4545.02,4629.952,4095.2522,5164.652
2026-06-29 16:00:00+00:00,3236.13,1982.1483,1447.4485,2516.8481
2026-06-29 17:00:00+00:00,2029.67,1647.6074,1112.9076,2182.3074
2026-06-29 18:00:00+00:00,814.9,603.905,69.20517,1138.6049
2026-06-29 19:00:00+00:00,89.639984,12.163913,-522.53577,546.8638
2026-06-29 20:00:00+00:00,0.039889693,-82.29849,-616.9984,452.40146
2026-06-29 21:00:00+00:00,9.476961e-05,-109.918365,-644.61804,424.78134
2026-06-29 22:00:00+00:00,9.476961e-05,-99.06094,-633.76086,435.6389
2026-06-29 23:00:00+00:00,9.476961e-05,-159.02286,-693.72253,375.67697
2026-06-30 00:00:00+00:00,9.476961e-05,62.54697,-472.15298,597.2467
2026-06-30 01:00:00+00:00,9.476961e-05,-87.607574,-622.30725,447.092
2026-06-30 02:00:00+00:00,2.9800751,-40.176662,-574.87634,494.52304
2026-06-30 03:00:00+00:00,246.83005,227.47531,-307.22452,762.1752
2026-06-30 04:00:00+00:00,1205.26,976.5419,441.8419,1511.2416
2026-06-30 05:00:00+00:00,2975.53,2177.5234,1642.8236,2712.2231
2026-06-30 06:00:00+00:00,5409.8,5100.492,4565.7925,5635.192
2026-06-30 07:00:00+00:00,7690.68,7591.7476,7057.048,8126.4473
2026-06-30 08:00:00+00:00,9533.46,8623.81,8089.11,9158.509
