number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_shortwave_lags_option,params_spatial_agg_method,params_use_solar_geometry,params_vapor_pressure,state
0,4180002.544052863,0.5182823989232647,small,True,False,True,False,False,False,False,False,False,False,True,0.6298127658514729,1.0,large,small,mean,False,True,COMPLETE
1,852.6626222923815,0.9986681383335878,none,True,False,False,True,False,True,True,False,False,False,False,0.5986837485674543,12.0,none,small,idw,True,True,COMPLETE
2,2166462.5423563994,0.61431945256546,small,True,False,True,True,False,False,True,False,False,False,True,0.9862542215473614,1.0,none,large,idw,False,True,COMPLETE
3,981.9706637023452,0.1199395991408428,medium,False,True,True,True,True,True,False,False,False,False,True,0.7594976431854964,12.0,large,small,distance_capacity,True,True,COMPLETE
4,713.9143460874626,0.8315678795834291,none,False,True,False,False,False,False,False,True,True,False,False,0.5568057937617583,,large,none,n_panels,True,False,COMPLETE
5,880.2735794454111,0.9578921601996473,medium,False,False,False,True,True,False,True,True,False,False,False,0.8314027701771431,12.0,large,medium,max,True,True,COMPLETE
6,726.655445480429,0.8366644306532656,medium,True,False,False,False,False,True,False,False,False,False,False,0.19292182701087227,,large,none,distance_capacity,True,True,COMPLETE
7,1125.856438588832,0.7345090664269593,large,True,False,True,False,True,False,False,False,True,False,True,0.27856157479160976,6.0,large,none,max,True,False,COMPLETE
8,2110.891280647483,0.2954222345822316,none,True,False,False,False,True,False,False,True,True,False,False,0.050868276445584726,1.0,large,none,idw,False,True,COMPLETE
9,1017.8145716852592,0.6577657864129822,small,False,True,True,False,True,False,True,True,True,True,True,0.20428429937145126,6.0,small,none,mean,False,True,COMPLETE
10,661.3247079282801,0.32914629544188156,none,False,True,False,False,False,True,False,True,True,True,False,0.42242519231574843,,small,large,n_panels,True,False,COMPLETE
11,661.3247079282801,0.39388106233037873,none,False,True,False,False,False,True,False,True,True,True,False,0.3957923868199213,,small,large,n_panels,True,False,COMPLETE
12,661.3247079282801,0.3438763765237628,none,False,True,False,False,False,True,False,True,True,True,False,0.3887135166249256,,small,large,n_panels,True,False,COMPLETE
13,674.5460939217636,0.34413719050108715,none,False,True,False,False,False,True,False,True,True,True,False,0.3873609540838597,,small,large,distance_n_panels,True,False,COMPLETE
14,676.7532739570091,0.12414971563951854,large,False,True,False,False,False,True,False,True,True,True,False,0.41808320680076655,,small,large,n_panels,True,False,COMPLETE
15,667.5513774808961,0.448618968875285,none,False,True,False,False,False,True,False,True,True,True,False,0.46918655580231167,,small,large,capacity,True,False,COMPLETE
16,662.1344888048166,0.23092327260796147,none,False,True,False,False,False,True,False,True,True,True,False,0.033877498644558246,,small,medium,n_panels,True,False,COMPLETE
17,680.951913125814,0.4640939159316269,none,False,True,False,False,False,True,False,True,True,True,False,0.2571365550421529,,small,large,None,True,False,COMPLETE
18,876.1807743740127,0.204925104336888,large,False,True,False,True,False,True,True,True,True,True,False,0.6558912849043301,6.0,small,large,n_panels,False,False,COMPLETE
19,670.194072385514,0.015127095886365571,none,False,True,False,False,False,True,False,True,True,True,False,0.331609165566362,,none,large,capacity,True,False,COMPLETE
20,681.8668994141284,0.5382438293935652,none,False,True,False,False,False,True,False,True,True,True,False,0.1296292640775143,,small,medium,None,True,False,COMPLETE
21,661.3247079282801,0.37741947774825746,none,False,True,False,False,False,True,False,True,True,True,False,0.49209548446034534,,small,large,n_panels,True,False,COMPLETE
22,661.3247079282801,0.4023452156275931,none,False,True,False,False,False,True,False,True,True,True,False,0.3629596099645056,,small,large,n_panels,True,False,COMPLETE
23,661.3247079282801,0.27649250227528493,none,False,True,False,False,False,True,False,True,True,True,False,0.4556133712718253,,small,large,n_panels,True,False,COMPLETE
24,674.5460939217636,0.19032665889123204,none,False,True,False,False,False,True,False,True,True,True,False,0.5343983391151634,,small,large,distance_n_panels,True,False,COMPLETE
25,661.3247079282801,0.5691328648457574,none,False,True,False,False,False,True,False,True,True,True,False,0.3342560778150099,,small,large,n_panels,True,False,COMPLETE
26,32312.382098529964,0.3102471707753472,small,False,True,True,True,True,True,True,True,True,True,True,0.7105139901657207,1.0,none,large,n_panels,False,False,COMPLETE
27,924.0929388351461,0.41638627594324884,large,False,True,False,False,False,True,False,True,True,True,False,0.26189401453675887,6.0,small,large,n_panels,True,False,COMPLETE
