date,solar_ampr_actual,solar_ampr_fitted,solar_ampr_lower,solar_ampr_upper
2026-07-06 00:00:00+00:00,,-2.9646165,-153.26503,147.3358
2026-07-06 01:00:00+00:00,,5.0649242,-145.23537,155.36534
2026-07-06 02:00:00+00:00,,-3.1403978,-153.44081,147.16002
2026-07-06 03:00:00+00:00,,49.249252,-101.05104,199.54967
2026-07-06 04:00:00+00:00,,491.14096,340.84055,641.4413
2026-07-06 05:00:00+00:00,,1499.429,1349.1285,1649.7294
2026-07-06 06:00:00+00:00,,2985.0073,2834.7068,3135.3076
2026-07-06 07:00:00+00:00,,4536.9917,4386.691,4687.292
2026-07-06 08:00:00+00:00,,5821.789,5671.4883,5972.0894
2026-07-06 09:00:00+00:00,,6685.1978,6534.8975,6835.498
2026-07-06 10:00:00+00:00,,7107.7397,6957.4395,7258.04
2026-07-06 11:00:00+00:00,,7331.1265,7180.826,7481.427
2026-07-06 12:00:00+00:00,,7686.3105,7536.0103,7836.611
2026-07-06 13:00:00+00:00,,7347.42,7197.1196,7497.72
2026-07-06 14:00:00+00:00,,6308.2886,6157.988,6458.589
2026-07-06 15:00:00+00:00,,4773.098,4622.798,4923.399
2026-07-06 16:00:00+00:00,,3037.277,2886.9768,3187.5776
2026-07-06 17:00:00+00:00,,1430.2963,1279.9958,1580.5967
2026-07-06 18:00:00+00:00,,440.12448,289.8242,590.4249
2026-07-06 19:00:00+00:00,,43.93956,-106.36073,194.23997
2026-07-06 20:00:00+00:00,,15.91905,-134.38136,166.21947
2026-07-06 21:00:00+00:00,,39.254745,-111.04567,189.55516
2026-07-06 22:00:00+00:00,,40.96324,-109.33717,191.26366
2026-07-06 23:00:00+00:00,,47.90831,-102.392105,198.20872
2026-07-07 00:00:00+00:00,,32.729355,-117.57106,183.02977
2026-07-07 01:00:00+00:00,,61.64476,-88.655655,211.94518
2026-07-07 02:00:00+00:00,,47.5222,-102.77821,197.82262
2026-07-07 03:00:00+00:00,,74.90123,-75.399185,225.20164
2026-07-07 04:00:00+00:00,,570.7688,420.46835,721.0692
2026-07-07 05:00:00+00:00,,1629.0889,1478.7885,1779.3892
2026-07-07 06:00:00+00:00,,3287.2107,3136.9104,3437.5112
2026-07-07 07:00:00+00:00,,4688.613,4538.3125,4838.913
2026-07-07 08:00:00+00:00,,5818.5806,5668.2803,5968.881
2026-07-07 09:00:00+00:00,,6317.928,6167.628,6468.2285
2026-07-07 10:00:00+00:00,,6601.22,6450.92,6751.5205
2026-07-07 11:00:00+00:00,,7046.465,6896.1646,7196.765
2026-07-07 12:00:00+00:00,,7029.8667,6879.5664,7180.1675
2026-07-07 13:00:00+00:00,,6786.411,6636.111,6936.712
2026-07-07 14:00:00+00:00,,5548.6274,5398.327,5698.9277
2026-07-07 15:00:00+00:00,,3609.9119,3459.6113,3760.2122
2026-07-07 16:00:00+00:00,,2336.5955,2186.295,2486.8958
2026-07-07 17:00:00+00:00,,1145.6425,995.3421,1295.9429
2026-07-07 18:00:00+00:00,,336.34042,186.04002,486.64084
2026-07-07 19:00:00+00:00,,63.38414,-86.916275,213.68456
2026-07-07 20:00:00+00:00,,11.225813,-139.0746,161.52623
2026-07-07 21:00:00+00:00,,16.830061,-133.47035,167.13048
2026-07-07 22:00:00+00:00,,33.573837,-116.72658,183.87413
2026-07-07 23:00:00+00:00,,30.520857,-119.77956,180.82127
2026-07-08 00:00:00+00:00,,34.60472,-115.69557,184.90514
2026-07-08 01:00:00+00:00,,30.5128,-119.78761,180.81322
2026-07-08 02:00:00+00:00,,24.046736,-126.25368,174.34703
2026-07-08 03:00:00+00:00,,51.268784,-99.03163,201.56908
2026-07-08 04:00:00+00:00,,518.65344,368.353,668.95386
2026-07-08 05:00:00+00:00,,1557.9456,1407.6451,1708.246
2026-07-08 06:00:00+00:00,,3141.0437,2990.7432,3291.344
2026-07-08 07:00:00+00:00,,4528.859,4378.5586,4679.159
