number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,21.9146042742483,medium,0.7353967420063988,False,False,True,False,True,True,False,False,True,True,True,12.0,0.01919517085694637,15,44,0.21036579698165203,808,134,small,1.499364510988365e-07,1.1755025938122473e-07,medium,n_panels,0.6942336589668012,False,False,COMPLETE
1,18.242813968792376,large,0.5621474296349813,True,True,False,False,False,False,False,False,True,True,True,,0.012311753856210791,14,93,0.36617681453755624,345,27,small,0.007646510488444181,2.599668826704358e-06,small,n_panels,0.5104270422855306,True,True,COMPLETE
2,23.752674976457964,medium,0.7476688713550685,True,True,False,True,False,True,True,True,True,True,False,12.0,0.012644516320197433,4,30,0.46178760636011923,777,68,large,2.7607910931007593e-06,0.09127128877786324,medium,mean,0.5352648910980795,True,False,COMPLETE
3,16.9249957594749,none,0.6393081174713513,False,True,False,False,True,True,False,True,False,False,False,,0.15390061621646764,12,43,0.08482467134225563,696,89,small,0.0007904092262982304,2.5654086620872528e-06,medium,None,0.619167336189306,False,True,COMPLETE
4,20.449118922423054,large,0.6935141247219493,True,False,True,True,False,False,False,False,True,False,False,6.0,0.021769869275398118,16,47,0.39272499255941073,530,50,large,3.534290263439792e-06,0.0003599283526197685,small,capacity,0.6919243136923201,True,True,COMPLETE
5,15.977090859580434,small,0.7584449549602468,False,False,True,False,True,False,False,False,False,True,False,,0.014469756802497758,16,73,0.05895611558302982,791,23,none,4.906248473898822e-08,5.762376792258367e-05,medium,distance_capacity,0.5921366617185009,False,True,COMPLETE
6,24.469091091899752,none,0.8402056730413159,False,True,True,True,True,True,False,False,False,False,False,6.0,0.013946487907222853,7,17,0.4644126292762739,381,58,small,7.91365182141425e-07,3.252509191147603e-07,large,capacity,0.9160184598788347,False,False,COMPLETE
7,23.32211749827725,large,0.8488596321899645,True,False,True,True,False,True,False,False,True,True,True,12.0,0.0428596141827172,14,23,0.12508622639532563,983,55,small,3.3776541587579503e-06,0.39423053186251594,none,capacity,0.8306007062118683,True,False,COMPLETE
8,16.641573129734113,none,0.9265379430184884,False,False,True,True,False,True,False,False,True,False,True,,0.02194779804288181,8,31,0.3964034527867355,631,62,large,6.230620577100817e-05,0.01404375648910684,small,n_panels,0.6439365215534953,False,True,COMPLETE
9,23.24642732177938,medium,0.8934854769168041,True,True,False,True,False,True,False,True,True,False,False,1.0,0.12469004786129136,15,35,0.32366748814548063,474,68,none,0.0001787975073373631,0.00017925322332535627,none,mean,0.8421940627241845,False,False,COMPLETE
10,21.323086568429062,small,0.9847629919632043,False,False,True,False,True,False,True,True,False,True,False,1.0,0.05559440764869632,11,74,0.0059384209316819606,997,12,none,0.9565825693211737,1.0387032742781994e-08,large,distance_capacity,0.7780769433137014,False,True,COMPLETE
11,16.541900338028046,small,0.9990149501258427,False,False,True,False,True,False,True,False,False,False,True,,0.039147676751391046,8,67,0.24083632846685246,596,103,none,1.58714394095744e-08,0.00550427574399849,small,distance_n_panels,0.6096142361960674,False,True,COMPLETE
12,16.81765959890771,small,0.5168465983845346,False,False,True,False,True,False,True,False,False,False,True,,0.045041125171354515,5,67,0.2362878921783605,857,107,none,1.422854994876018e-08,0.00377097119003107,medium,distance_n_panels,0.5809323957227072,False,True,COMPLETE
13,15.936210680509234,small,0.8164942091996636,False,False,True,False,True,False,True,False,False,True,True,,0.08694723936599873,9,64,0.14391082170732156,583,116,none,2.39810293287315e-08,0.0015121979398178107,small,distance_n_panels,0.5801577394953493,False,True,COMPLETE
14,16.3927772412441,small,0.8021592548987645,False,False,True,False,True,False,True,False,False,True,False,,0.09555239569552629,11,87,0.13030615868659823,718,150,none,1.257055309145607e-07,1.714513432337849e-05,medium,distance_capacity,0.7095985967080083,False,True,COMPLETE
15,16.88845973334313,small,0.6533668883632648,False,False,True,False,True,False,True,False,False,True,True,,0.22742382891746116,10,5,0.0271077356692078,873,123,none,1.25379314289073e-08,0.0004954064592372855,small,idw,0.9790701244655045,False,True,COMPLETE
16,16.206956758332765,small,0.8055022993054965,False,False,True,False,True,False,True,False,False,True,False,,0.07273005559599695,6,58,0.17288081333032235,516,34,none,2.0050229106133224e-05,3.898191509801069e-05,large,max,0.5456880751910845,False,True,COMPLETE
17,21.822590231496047,small,0.7773976336887473,False,False,True,False,True,False,True,False,False,True,True,6.0,0.029973813837821443,13,84,0.06434790089506769,618,90,none,1.5264156490472995e-07,0.002149151304801941,none,distance_n_panels,0.6495299553467593,False,True,COMPLETE
18,25.38988452421466,small,0.7176360144540364,False,False,False,False,True,False,False,True,False,True,True,1.0,0.2937694865752328,3,57,0.29597610108687133,445,117,none,0.019383193091243922,1.2952671412520468e-05,medium,distance_capacity,0.7714263541903065,True,True,COMPLETE
