date,solar_lu_actual,solar_lu_fitted,solar_lu_lower,solar_lu_upper
2026-07-04 00:00:00+00:00,0.100000165,-1.6443236,-16.806696,13.518045
2026-07-04 01:00:00+00:00,0.090001844,-0.48262617,-15.644995,14.679745
2026-07-04 02:00:00+00:00,0.070001386,-0.29494306,-15.457312,14.867428
2026-07-04 03:00:00+00:00,0.67999816,-0.7259505,-15.888319,14.436419
2026-07-04 04:00:00+00:00,15.950001,16.44333,1.2809618,31.6057
2026-07-04 05:00:00+00:00,60.43,59.262455,44.100086,74.42483
2026-07-04 06:00:00+00:00,128.97,107.479645,92.317276,122.64201
2026-07-04 07:00:00+00:00,208.7,191.74197,176.5796,206.90434
2026-07-04 08:00:00+00:00,249.23,235.18971,220.02734,250.35208
2026-07-04 09:00:00+00:00,304.2,234.59743,219.43506,249.7598
2026-07-04 10:00:00+00:00,299.85202,226.68289,211.52052,241.84526
2026-07-04 11:00:00+00:00,295.504,233.84703,218.68466,249.0094
2026-07-04 12:00:00+00:00,291.156,236.83228,221.6699,251.99464
2026-07-04 13:00:00+00:00,286.80798,235.7814,220.61903,250.94377
2026-07-04 14:00:00+00:00,282.46,223.63612,208.47375,238.7985
2026-07-04 15:00:00+00:00,248.19998,199.30553,184.14316,214.46791
2026-07-04 16:00:00+00:00,166.22,147.75328,132.59091,162.91565
2026-07-04 17:00:00+00:00,87.85,89.037964,73.87559,104.20033
2026-07-04 18:00:00+00:00,29.26,34.49039,19.328022,49.65276
2026-07-04 19:00:00+00:00,2.4100015,3.5270288,-11.63534,18.6894
2026-07-04 20:00:00+00:00,0.26999834,0.46216753,-14.700201,15.6245365
2026-07-04 21:00:00+00:00,0.16999987,-3.8499663,-19.012339,11.312403
2026-07-04 22:00:00+00:00,0.14000109,-0.3038847,-15.466257,14.858484
2026-07-04 23:00:00+00:00,0.12000062,0.093656324,-15.068712,15.256025
2026-07-05 00:00:00+00:00,0.100000165,-0.20044538,-15.362814,14.9619255
2026-07-05 01:00:00+00:00,0.090001844,-0.7682059,-15.930574,14.394165
2026-07-05 02:00:00+00:00,0.07999971,1.3005388,-13.861834,16.462908
2026-07-05 03:00:00+00:00,0.44000033,0.29042986,-14.8719425,15.452799
2026-07-05 04:00:00+00:00,11.25,12.338709,-2.8236601,27.501078
2026-07-05 05:00:00+00:00,42.75,56.03624,40.87387,71.19861
2026-07-05 06:00:00+00:00,86.22,91.41705,76.254684,106.57942
2026-07-05 07:00:00+00:00,129.63,148.70346,133.54109,163.86583
2026-07-05 08:00:00+00:00,189.16,184.59839,169.43602,199.76076
2026-07-05 09:00:00+00:00,198.03,206.68692,191.52455,221.84929
2026-07-05 10:00:00+00:00,147.57,204.51305,189.35068,219.67542
2026-07-05 11:00:00+00:00,186.18,206.14273,190.98035,221.3051
2026-07-05 12:00:00+00:00,191.9,205.9505,190.78813,221.11287
2026-07-05 13:00:00+00:00,139.36,195.13136,179.969,210.29373
2026-07-05 14:00:00+00:00,194.85,173.65787,158.4955,188.82025
2026-07-05 15:00:00+00:00,197.07,149.58055,134.41818,164.74292
2026-07-05 16:00:00+00:00,132.79,115.716385,100.554016,130.87875
2026-07-05 17:00:00+00:00,75.36,63.872902,48.710533,79.03527
