number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,16.52912712097168,medium,0.937563663513248,False,True,True,True,False,False,False,True,True,True,False,0.010759186966187245,3,10,454,small,7.541669003067224e-06,6.109473592640491e-05,medium,idw,0.761947823479127,False,False,True,COMPLETE
1,17.919641494750977,none,0.7932175803137833,False,True,True,False,False,True,True,True,True,True,False,0.010595325300786235,9,4,875,small,0.00041797474658687814,0.0006474071533986296,medium,distance_n_panels,0.8700982059843225,True,True,True,COMPLETE
2,17.581457138061523,small,0.6243389819579974,True,False,False,True,True,True,False,True,True,True,True,0.25545814185312465,6,8,700,large,0.02806974308935315,1.6376335005335255e-07,none,max,0.8013162944246079,False,False,True,COMPLETE
3,16.56077003479004,medium,0.5984578034746034,False,False,True,False,True,False,False,False,True,False,True,0.026922669772247287,9,7,463,none,7.37159636177004e-07,0.0021346529341915448,small,distance_capacity,0.5790629112317747,False,False,False,COMPLETE
4,18.001285552978516,none,0.6111605665964954,False,True,False,True,False,False,True,True,False,False,False,0.0697634194483694,3,1,968,small,6.028797584919802e-06,2.3131365220360078e-05,large,max,0.6589562471041519,True,True,True,COMPLETE
5,17.884307861328125,medium,0.9363746009509446,False,True,True,True,True,True,True,False,False,False,True,0.12102083137467759,3,7,660,small,1.0428595162524039e-06,0.3441689870774737,none,max,0.7990385646481151,False,False,True,COMPLETE
6,17.85996437072754,medium,0.8241763079023086,True,False,False,False,True,True,True,False,True,False,True,0.11166296854016679,3,4,875,large,2.8161899567198004e-06,0.002468331423497218,medium,mean,0.67238620392906,False,True,True,COMPLETE
7,17.705101013183594,large,0.6066511681222777,False,True,True,True,True,False,False,False,False,False,False,0.10417165208594618,8,9,713,small,1.5512289391830738e-06,0.07096573482772985,none,max,0.5595697211380048,False,False,False,COMPLETE
8,18.18227195739746,medium,0.6367820525466572,False,False,True,True,False,False,False,True,False,True,False,0.10504788986607633,7,4,478,large,0.004221763441369239,1.1459211982828556e-07,medium,idw,0.9489355810020559,False,False,True,COMPLETE
9,17.438215255737305,large,0.8801385049364991,False,False,True,False,False,False,False,True,False,True,True,0.15575290748508935,10,2,506,none,1.5197628458205962e-05,1.0606462876863628e-06,medium,mean,0.7236538489362423,False,True,True,COMPLETE
10,17.33896827697754,small,0.9917259323589339,True,True,False,True,False,False,False,True,True,True,False,0.010244184632926904,5,10,331,small,2.1250402472822153e-08,1.6396408396323185e-05,small,idw,0.8914800573140587,True,False,False,COMPLETE
11,16.629648208618164,medium,0.5271873534269875,False,False,True,False,True,False,False,False,True,False,True,0.02549057483180874,5,7,448,none,2.5142191025749926e-08,0.005746312892804661,small,distance_capacity,0.5600885220501554,False,False,False,COMPLETE
12,16.399499893188477,medium,0.7004792921098943,False,False,True,False,False,False,False,False,True,False,True,0.024472533276307693,10,10,300,none,0.00021181549294024772,0.00024677124723816957,small,distance_capacity,0.6304028968472754,False,False,False,COMPLETE
13,17.01276206970215,medium,0.7071048642631443,False,True,True,False,False,False,False,False,True,True,False,0.02388738497336051,5,10,311,none,0.00025121552217970545,8.985765595884584e-05,large,n_panels,0.6526932937824476,False,False,False,COMPLETE
14,16.95100975036621,medium,0.7195159047197092,True,False,True,True,False,False,False,False,True,False,True,0.017099367684788792,10,9,381,none,0.43695575041890505,4.316433229554264e-06,small,None,0.8025235316556549,True,False,False,COMPLETE
15,18.398351669311523,medium,0.8454185925061174,False,True,True,False,False,False,False,True,True,True,False,0.03839044426555616,7,6,554,small,7.179501706317195e-05,1.4899944928775274e-08,medium,capacity,0.5056049047240052,False,False,False,COMPLETE
16,16.922014236450195,small,0.7632723820187921,False,True,True,True,False,False,False,False,True,False,True,0.014348054966743923,4,10,556,none,0.0027900799569302247,0.00017970034270029092,small,distance_capacity,0.7243074815598183,False,False,True,COMPLETE
17,18.172632217407227,none,0.9050469596070536,False,False,True,False,False,False,False,True,True,True,False,0.04079714330609926,8,9,399,small,3.941125506055858e-05,0.013023429372938582,large,idw,0.6228738629642983,False,False,False,COMPLETE
18,17.09684944152832,large,0.9941935110936487,True,True,False,True,False,True,True,False,True,True,False,0.01568086291080229,6,8,303,none,2.5206318177027476e-07,0.00020164944624369662,small,n_panels,0.7386083512374488,True,True,False,COMPLETE
19,16.96991539001465,medium,0.7046693995585208,False,False,True,False,False,False,False,True,True,False,True,0.054666293738154306,4,5,593,large,0.001666441172126061,2.2914434985301654e-06,medium,distance_n_panels,0.9827374164861746,False,False,True,COMPLETE
20,16.7093563079834,medium,0.5103866027297101,False,False,True,True,False,False,False,True,True,True,True,0.020237641771533157,8,8,388,small,0.027615084061148272,3.008345140900376e-05,small,None,0.8796375993966483,False,False,False,COMPLETE
21,16.52730369567871,medium,0.6696276583734547,False,False,True,False,True,False,False,False,True,False,True,0.03381238589557794,9,6,420,none,2.529362095452877e-07,0.0008283135174544047,small,distance_capacity,0.5868099714614574,False,False,False,COMPLETE
22,17.003076553344727,medium,0.6664986659178677,False,False,True,False,True,False,False,False,True,False,True,0.041179218965450244,9,6,363,none,1.1748105257696385e-07,0.0006101007846595957,small,distance_capacity,0.5030613075820496,False,False,False,COMPLETE
23,16.59916114807129,medium,0.7564023666002588,False,False,True,False,True,False,False,False,True,False,True,0.03117380014178868,10,3,424,none,1.3604760375733471e-05,0.04287546810753419,small,distance_capacity,0.6029264678135723,False,False,False,COMPLETE
24,16.37082290649414,medium,0.5619198194915743,False,False,True,False,True,False,False,False,True,False,True,0.013348746029500674,9,9,528,none,1.1710037182194754e-07,0.0007273833413263764,small,idw,0.6904678277005032,False,False,False,COMPLETE
25,16.830625534057617,medium,0.5656676600197308,False,False,True,False,True,False,False,False,True,False,True,0.06315603538164762,9,9,523,none,1.2757397379888797e-07,0.0007272751036580889,small,capacity,0.6802630610617582,False,False,False,COMPLETE
26,16.98090171813965,small,0.6600037118131027,True,False,False,False,True,True,True,False,False,False,True,0.01994190280854451,10,5,624,none,1.279636444951146e-08,0.007504119800748559,small,distance_capacity,0.605648597422878,True,True,False,COMPLETE
27,15.780125617980957,large,0.5461680748198847,False,False,True,False,True,False,False,False,True,False,True,0.013991605563559113,8,8,355,none,5.709371354083499e-08,0.8479942969136843,small,distance_capacity,0.6871812633057478,False,False,False,COMPLETE
28,15.719176292419434,large,0.557187022710655,False,False,True,False,True,False,False,False,True,False,True,0.014608355356234644,8,8,353,none,5.590809274524017e-08,0.6315747364430049,small,idw,0.6917050475396072,False,False,False,COMPLETE
29,15.764986991882324,large,0.5583611703678647,False,False,True,False,True,False,False,False,True,False,True,0.014115068299425925,8,8,817,none,6.709054750755769e-08,0.6487497152354713,small,idw,0.701669838221986,False,False,False,COMPLETE
30,15.853019714355469,large,0.5497749259278992,False,False,True,False,True,False,False,False,True,False,True,0.012550006527294271,7,8,799,none,4.338740672547548e-08,0.9888412435780146,none,idw,0.7553879858766637,False,False,False,COMPLETE
31,15.796113014221191,large,0.5519132270092837,False,False,True,False,True,False,False,False,True,False,True,0.012589452367808653,7,8,788,none,3.327818931961821e-08,0.8071535670411414,none,idw,0.7651258427416228,False,False,False,COMPLETE
32,15.403217315673828,large,0.502921676889049,False,False,True,False,True,False,False,False,True,False,True,0.01130504922276421,8,7,787,none,4.5348790129364004e-08,0.29388258840378095,none,idw,0.7017119950275907,False,False,False,COMPLETE
33,15.50312328338623,large,0.5030301516747191,False,False,True,False,True,False,False,False,True,False,True,0.017452386333967312,8,7,774,none,4.125306559337893e-07,0.1498492295630753,none,idw,0.6964344504914783,False,False,False,COMPLETE
34,15.631962776184082,large,0.503222815818078,False,False,True,False,True,True,False,False,True,False,True,0.010159945830021716,8,7,789,none,3.8990437633538345e-07,0.13131599764857788,none,idw,0.7094717613458782,False,False,False,COMPLETE
35,16.620651245117188,large,0.5083647225365775,False,False,True,False,True,True,True,False,True,False,True,0.010236037855728646,6,7,743,large,4.41062706023616e-07,0.1485051095077727,none,idw,0.7889307971449596,True,True,False,COMPLETE
36,15.461936950683594,large,0.5015488512995349,False,False,False,False,True,True,False,False,True,False,True,0.019835232457223472,8,7,940,none,3.5910774125031943e-06,0.17974831474528719,none,idw,0.8390451963898169,False,False,False,COMPLETE
37,16.74773597717285,large,0.5009482347691564,True,False,False,False,True,True,True,False,False,False,True,0.019541667115956493,7,7,988,none,3.324052146160777e-06,0.04045675357254611,none,distance_n_panels,0.8269095826730638,False,False,False,COMPLETE
38,15.965705871582031,large,0.5869893942142814,False,False,False,False,True,True,False,False,True,False,True,0.011600855637489537,8,5,924,none,9.333773542509415e-07,0.14307516452294847,none,idw,0.8480521977290055,False,True,False,COMPLETE
39,16.50396156311035,none,0.5891353793115935,False,False,False,False,True,True,False,False,True,False,True,0.01778095060356528,9,6,870,large,3.877458699157117e-06,0.017989813145725946,none,idw,0.7740290579916617,True,False,False,COMPLETE
40,16.396053314208984,large,0.63026926228594,False,False,False,False,True,True,True,False,False,False,True,0.0226566599744,8,7,934,none,4.6131628795227307e-07,0.18650973111514313,none,mean,0.8285745283806919,False,False,True,COMPLETE
41,17.5687255859375,large,0.5260841048786965,False,False,False,False,True,True,False,False,True,False,True,0.27630108194554764,8,7,681,none,1.7032233865484544e-06,0.2879569316740225,none,idw,0.7155100645536007,False,False,False,COMPLETE
42,15.438339233398438,large,0.5215283208035087,False,False,False,False,True,True,False,False,True,False,True,0.01626830504850155,7,6,750,none,2.523021585049721e-07,0.10256927007334464,none,idw,0.6607720100277601,False,False,False,COMPLETE
43,15.622881889343262,large,0.527452487122721,False,False,False,False,True,True,False,False,True,False,True,0.01120836462236698,6,6,744,none,1.239238172389311e-05,0.06310999521033583,none,idw,0.6554467313725322,False,False,False,COMPLETE
44,15.458168029785156,large,0.5300806824827934,False,False,False,False,True,True,False,False,True,False,True,0.01707856001196329,6,6,720,none,8.1633826008313e-06,0.05840542866051699,none,max,0.6521761239182707,False,False,False,COMPLETE
45,15.620097160339355,large,0.5819831453166907,False,False,False,False,True,True,False,False,True,False,True,0.017221580427951824,7,5,853,none,8.18055440199873e-06,0.03324531575924006,none,max,0.6436750613851245,False,False,False,COMPLETE
46,16.648664474487305,large,0.5289706271422627,True,False,False,False,True,True,False,False,False,False,True,0.029326401677846534,6,4,732,large,7.335880432457069e-07,0.0048786227153829066,none,max,0.7346064117967346,False,True,False,COMPLETE
47,16.11297035217285,large,0.6079850252433288,False,False,False,False,True,True,False,False,True,False,True,0.021835944895007658,7,6,633,none,3.307355031320369e-05,0.02231621962717793,none,max,0.9312308077215552,False,False,True,COMPLETE
48,17.240442276000977,none,0.5295731533973222,False,True,False,False,True,True,False,False,True,False,False,0.016645705553039472,6,6,834,none,1.7936273104808458e-06,0.3117117041316509,none,max,0.5428019947168408,False,False,False,COMPLETE
49,17.611600875854492,large,0.5762996593670556,False,False,False,False,True,True,False,False,True,False,True,0.1694001380700051,7,4,901,small,1.1997059032320424e-08,0.08035395666024889,large,n_panels,0.6677315835931378,True,False,False,COMPLETE
