Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,False
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,False
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,small
cloud_lags_option,large
shortwave_lags_option,large
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,None
lags_target,
l1_ratio,0.6622329570151954
alpha,0.28548664319546546
