number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,703.2013234443058,large,0.6102190007299686,True,True,True,False,True,False,False,False,True,False,False,1.0,0.22037670890116637,12,40,0.45912317667424635,674,109,none,0.1297064469560418,0.016604373228294843,large,distance_n_panels,0.7801553944177735,True,True,COMPLETE
1,749.4639154713026,medium,0.5926448975832177,True,True,False,True,False,False,False,False,False,True,False,6.0,0.1078185695857768,5,52,0.40431778872009433,841,132,large,8.584328314196259e-06,0.0008145168388098159,small,max,0.5277322043814572,True,True,COMPLETE
2,683.3588198637093,small,0.5004595245107379,True,False,False,False,True,True,True,False,True,False,False,,0.028160722984686786,5,37,0.38569973697076243,684,137,small,0.24264401174717007,0.10979005760786203,large,max,0.9281453625918233,False,False,COMPLETE
3,827.3928818659583,none,0.7602466491648172,False,False,False,True,False,True,False,True,False,False,False,12.0,0.16811941106830025,13,63,0.18940096618087215,556,63,small,0.0019189831704510764,1.7814457789009854e-08,medium,distance_n_panels,0.7491447339807553,True,False,COMPLETE
4,666.9317186887484,large,0.6180347737233383,True,False,False,True,False,True,False,False,False,True,True,,0.20264154731965686,10,12,0.3714199166278608,677,100,large,0.0004681896383362358,0.17426016443462908,none,idw,0.5826388865072891,True,True,COMPLETE
5,785.526805769044,none,0.6829543828162719,True,False,True,True,False,True,False,True,True,False,False,6.0,0.24049380452493038,10,80,0.11376214845399862,919,84,small,0.015441591832474406,1.1117250969523937e-06,medium,mean,0.6143390754973819,True,True,COMPLETE
6,684.0366728182247,medium,0.9105936842219267,True,True,True,False,False,True,True,True,False,True,False,,0.013031600974809994,14,10,0.4559975678064208,664,149,large,1.4872737630275002e-08,2.8150885944827985e-06,large,idw,0.5875373646383739,False,True,COMPLETE
7,811.3214307703062,small,0.6248328399609837,False,False,True,True,True,True,True,False,True,True,False,12.0,0.03792869717681497,16,92,0.14368543288177726,903,138,small,1.5580137644329424e-06,8.432138815090742e-05,medium,idw,0.8998566932875256,False,False,COMPLETE
8,1005.7270035585794,none,0.9598247293632489,True,True,False,False,True,False,False,False,True,False,True,12.0,0.10319177708822175,4,9,0.427230836130511,429,13,large,0.0007433976568259522,6.505294624031227e-08,large,capacity,0.8209876061349539,True,True,COMPLETE
9,831.2253557713188,large,0.835085606678337,False,False,False,False,False,False,False,True,True,False,False,12.0,0.16655798463553245,6,72,0.05109064977281769,967,114,small,1.708126374710546e-06,0.003894468947229648,small,distance_n_panels,0.6074404266648318,False,False,COMPLETE
10,761.7258040427902,large,0.783958811824309,False,False,False,True,False,True,True,False,False,True,True,,0.06866983047037976,8,26,0.2952603697764667,338,57,none,4.960465903273585e-05,0.9179286980189465,none,distance_capacity,0.6940677222081706,True,True,COMPLETE
11,749.9623646613271,small,0.5008578681336882,True,False,False,False,True,True,True,False,False,True,True,,0.027105623116618554,8,29,0.3197221547741096,760,100,large,0.6030354318831184,0.6098668290602197,none,n_panels,0.9866225859209974,False,False,COMPLETE
12,743.0059032368005,small,0.5168892119334959,True,False,False,False,True,True,True,False,False,True,True,,0.019739424893826445,3,26,0.35549252459644953,541,118,small,0.017312763592326464,0.051990646344582045,none,None,0.9881597282259709,False,False,COMPLETE
13,688.9272596669035,small,0.6838486956770518,True,False,False,True,True,True,True,False,True,False,True,,0.04490070337349357,10,44,0.23891509924470036,754,82,large,0.00023466568429039882,0.14331045369501808,none,max,0.8582117282191837,False,False,COMPLETE
