date,solar_tenn_actual,solar_tenn_fitted,solar_tenn_lower,solar_tenn_upper
2026-04-14 00:00:00+00:00,5.713173e-05,3.301571,-238.93427,245.53741
2026-04-14 01:00:00+00:00,5.713173e-05,5.5852623,-236.65057,247.8211
2026-04-14 02:00:00+00:00,5.713173e-05,9.286678,-232.94916,251.52252
2026-04-14 03:00:00+00:00,5.713173e-05,15.482967,-226.75287,257.7188
2026-04-14 04:00:00+00:00,34.249813,12.440731,-229.7951,254.67657
2026-04-14 05:00:00+00:00,518.43,624.274,382.0384,866.50995
2026-04-14 06:00:00+00:00,1676.62,1802.4182,1560.1824,2044.654
2026-04-14 07:00:00+00:00,3232.89,3350.9104,3108.6746,3593.146
2026-04-14 08:00:00+00:00,5054.33,5267.498,5025.262,5509.734
2026-04-14 09:00:00+00:00,6687.36,6874.925,6632.689,7117.1606
2026-04-14 10:00:00+00:00,7905.8,7867.5986,7625.363,8109.8345
2026-04-14 11:00:00+00:00,8487.16,8342.59,8100.354,8584.826
2026-04-14 12:00:00+00:00,8341.85,8299.326,8057.0903,8541.5625
2026-04-14 13:00:00+00:00,7494.78,7788.9844,7546.7485,8031.22
2026-04-14 14:00:00+00:00,6077.58,6325.5903,6083.3545,6567.826
2026-04-14 15:00:00+00:00,4242.98,4763.507,4521.271,5005.7427
2026-04-14 16:00:00+00:00,2123.51,2413.238,2171.0022,2655.4739
2026-04-14 17:00:00+00:00,562.97003,651.0218,408.7862,893.25775
2026-04-14 18:00:00+00:00,23.61993,58.347958,-183.88763,300.5838
2026-04-14 19:00:00+00:00,5.713173e-05,14.477352,-227.75848,256.7132
2026-04-14 20:00:00+00:00,5.713173e-05,8.302792,-233.93304,250.53864
2026-04-14 21:00:00+00:00,5.713173e-05,6.0750084,-236.16083,248.31085
2026-04-14 22:00:00+00:00,5.713173e-05,8.297176,-233.93866,250.53302
2026-04-14 23:00:00+00:00,5.713173e-05,9.662167,-232.57367,251.89801
2026-04-15 00:00:00+00:00,5.713173e-05,11.780575,-230.45526,254.01642
2026-04-15 01:00:00+00:00,5.713173e-05,9.6255455,-232.61029,251.86139
2026-04-15 02:00:00+00:00,5.713173e-05,14.167049,-228.06879,256.40265
2026-04-15 03:00:00+00:00,5.713173e-05,14.045223,-228.19061,256.28107
2026-04-15 04:00:00+00:00,102.159966,83.05523,-159.1806,325.29108
2026-04-15 05:00:00+00:00,1341.92,1033.1019,790.8663,1275.3378
2026-04-15 06:00:00+00:00,3812.95,2812.8413,2570.6055,3055.0771
2026-04-15 07:00:00+00:00,6906.51,5219.882,4977.646,5462.1177
2026-04-15 08:00:00+00:00,9972.9,7581.013,7338.7773,7823.249
2026-04-15 09:00:00+00:00,12330.44,8966.642,8724.405,9208.877
2026-04-15 10:00:00+00:00,13452.989,9497.1045,9254.869,9739.341
2026-04-15 11:00:00+00:00,13465.57,9488.209,9245.974,9730.445
2026-04-15 12:00:00+00:00,12128.21,8741.301,8499.064,8983.536
2026-04-15 13:00:00+00:00,9832.91,7244.556,7002.3203,7486.792
2026-04-15 14:00:00+00:00,7201.03,5763.0625,5520.8267,6005.2983
2026-04-15 15:00:00+00:00,4343.98,3943.426,3701.1902,4185.662
2026-04-15 16:00:00+00:00,1971.81,1926.2106,1683.9747,2168.4463
2026-04-15 17:00:00+00:00,471.71002,497.3294,255.09357,739.56525
2026-04-15 18:00:00+00:00,16.460018,60.401913,-181.83392,302.63776
2026-04-15 19:00:00+00:00,5.713173e-05,13.410946,-228.82489,255.64679
2026-04-15 20:00:00+00:00,5.713173e-05,7.8962975,-234.33954,250.13214
2026-04-15 21:00:00+00:00,5.713173e-05,8.421444,-233.81439,250.65729
2026-04-15 22:00:00+00:00,5.713173e-05,4.148983,-238.08685,246.38458
2026-04-15 23:00:00+00:00,5.713173e-05,3.8909264,-238.34491,246.12677
2026-04-16 00:00:00+00:00,5.713173e-05,3.41827,-238.81757,245.65411
2026-04-16 01:00:00+00:00,5.713173e-05,3.7524986,-238.48334,245.98834
2026-04-16 02:00:00+00:00,5.713173e-05,4.006405,-238.22943,246.24225
2026-04-16 03:00:00+00:00,5.713173e-05,5.794491,-236.44135,248.03009
2026-04-16 04:00:00+00:00,52.88995,89.48345,-152.75238,331.7193
2026-04-16 05:00:00+00:00,845.68,975.92316,733.6873,1218.1588
2026-04-16 06:00:00+00:00,2794.35,3127.98,2885.7441,3370.2158
2026-04-16 07:00:00+00:00,6129.36,5878.1367,5635.901,6120.3726
2026-04-16 08:00:00+00:00,9515.41,8777.313,8535.077,9019.549
2026-04-16 09:00:00+00:00,11886.29,11373.133,11130.897,11615.369
2026-04-16 10:00:00+00:00,12009.97,12987.89,12745.654,13230.126
2026-04-16 11:00:00+00:00,11615.56,13064.228,12821.991,13306.463
2026-04-16 12:00:00+00:00,11424.9,12393.953,12151.718,12636.189
2026-04-16 13:00:00+00:00,10721.01,11205.318,10963.083,11447.555
2026-04-16 14:00:00+00:00,8756.28,9084.183,8841.947,9326.418
2026-04-16 15:00:00+00:00,6224.02,6018.8076,5776.572,6261.043
2026-04-16 16:00:00+00:00,3175.39,2810.938,2568.7021,3053.1738
2026-04-16 17:00:00+00:00,826.0501,747.44147,505.20563,989.6772
2026-04-16 18:00:00+00:00,29.439999,51.081112,-191.15472,293.3167
2026-04-16 19:00:00+00:00,5.713173e-05,7.3618736,-234.87372,249.59772
2026-04-16 20:00:00+00:00,5.713173e-05,6.7437096,-235.49213,248.97931
2026-04-16 21:00:00+00:00,5.713173e-05,7.4429283,-234.79291,249.67877
2026-04-16 22:00:00+00:00,5.713173e-05,5.1462975,-237.08954,247.38214
2026-04-16 23:00:00+00:00,5.713173e-05,3.5840416,-238.65155,245.81989
2026-04-17 00:00:00+00:00,5.713173e-05,3.471737,-238.7641,245.70734
2026-04-17 01:00:00+00:00,5.713173e-05,3.9829674,-238.25287,246.21881
2026-04-17 02:00:00+00:00,5.713173e-05,3.6702232,-238.56561,245.90582
2026-04-17 03:00:00+00:00,5.713173e-05,1.5525473,-240.68329,243.78839
2026-04-17 04:00:00+00:00,234.3299,132.08893,-110.14692,374.32477
2026-04-17 05:00:00+00:00,2140.24,1728.5125,1486.2766,1970.7483
2026-04-17 06:00:00+00:00,5967.52,5058.414,4816.178,5300.65
2026-04-17 07:00:00+00:00,10336.84,9648.105,9405.869,9890.341
2026-04-17 08:00:00+00:00,13669.99,13353.411,13111.175,13595.646
2026-04-17 09:00:00+00:00,15548.15,14938.229,14695.993,15180.465
2026-04-17 10:00:00+00:00,15880.57,15387.469,15145.233,15629.705
2026-04-17 11:00:00+00:00,15021.42,15594.695,15352.46,15836.932
2026-04-17 12:00:00+00:00,13320.87,15117.293,14875.058,15359.529
2026-04-17 13:00:00+00:00,11316.8,14007.319,13765.084,14249.556
2026-04-17 14:00:00+00:00,8993.04,11488.363,11246.128,11730.6
2026-04-17 15:00:00+00:00,6078.04,7761.554,7519.3184,8003.79
2026-04-17 16:00:00+00:00,2968.46,3457.885,3215.6492,3700.1208
2026-04-17 17:00:00+00:00,750.7801,872.814,630.5784,1115.0498
2026-04-17 18:00:00+00:00,28.569881,69.2647,-172.97113,311.50055
2026-04-17 19:00:00+00:00,0.010066898,39.242733,-202.9931,281.47858
2026-04-17 20:00:00+00:00,0.010066898,14.392147,-227.84344,256.628
2026-04-17 21:00:00+00:00,0.010066898,9.664364,-232.57147,251.9002
2026-04-17 22:00:00+00:00,0.010066898,10.8772545,-231.35858,253.1131
2026-04-17 23:00:00+00:00,5.713173e-05,7.9607506,-234.27484,250.1966
2026-04-18 00:00:00+00:00,5.713173e-05,9.862118,-232.37372,252.09796
2026-04-18 01:00:00+00:00,5.713173e-05,12.153133,-230.0827,254.38898
2026-04-18 02:00:00+00:00,5.713173e-05,12.756161,-229.47968,254.992
2026-04-18 03:00:00+00:00,5.713173e-05,16.088436,-226.14716,258.32428
2026-04-18 04:00:00+00:00,224.21002,132.84747,-109.388374,375.0833
2026-04-18 05:00:00+00:00,1763.4,1221.4019,979.1662,1463.6377
2026-04-18 06:00:00+00:00,4677.45,3825.3782,3583.1423,4067.6143
2026-04-18 07:00:00+00:00,7807.75,6054.5054,5812.2695,6296.741
2026-04-18 08:00:00+00:00,10588.16,8305.874,8063.638,8548.11
2026-04-18 09:00:00+00:00,12615.15,9878.539,9636.303,10120.774
2026-04-18 10:00:00+00:00,12990.61,11154.189,10911.954,11396.425
2026-04-18 11:00:00+00:00,11974.26,10858.424,10616.1875,11100.659
2026-04-18 12:00:00+00:00,9790.88,10438.511,10196.274,10680.746
2026-04-18 13:00:00+00:00,8157.64,9433.26,9191.024,9675.496
2026-04-18 14:00:00+00:00,6276.58,7890.448,7648.2124,8132.684
2026-04-18 15:00:00+00:00,4606.71,5730.684,5488.448,5972.92
