number,value,params_alpha,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_l1_ratio,params_lags_choice,params_lags_target,params_precip_lags_choice,params_spatial_agg_method,params_turbulence_window,params_vapor_pressure,state
0,339.4763618777574,0.6617499731316049,False,False,True,True,True,True,True,True,False,False,0.9999142198295531,small,6.0,small,None,6,True,COMPLETE
1,353.0610486288562,0.6120623720947531,True,True,True,True,True,True,False,False,False,True,0.3476166020378688,small,6.0,small,max,0,False,COMPLETE
2,266.8026326862314,0.5860555423449971,False,False,True,False,False,True,False,False,False,True,0.16338301661511634,small,,none,max,2,False,COMPLETE
3,346.7161029748673,0.20232435967262333,False,True,True,False,False,True,True,True,True,True,0.7258912686016226,large,12.0,none,mean,0,True,COMPLETE
4,344.8430523961519,0.6733844748545541,True,False,False,False,False,False,False,False,False,False,0.43848165442861353,small,6.0,large,capacity,2,True,COMPLETE
5,363.157921143597,0.657726135883049,False,False,True,False,False,False,False,False,False,False,0.5737371745473585,large,1.0,small,idw,0,False,COMPLETE
6,333.88873583348965,0.36954674364277407,False,False,True,False,True,True,False,False,False,False,0.14917126910144063,small,6.0,small,distance_n_turbines,6,False,COMPLETE
7,353.38747387037506,0.5390419413462033,False,True,True,False,False,True,True,True,False,True,0.026483768767752026,none,6.0,small,None,2,True,COMPLETE
8,352.9769541485435,0.36539034198262,True,False,True,False,True,True,True,False,False,False,0.04355594406479878,large,1.0,large,distance_n_turbines,0,False,COMPLETE
9,341.46605030938684,0.13700531992694767,True,False,True,False,False,True,True,False,True,False,0.7628778104789773,none,12.0,large,max,6,True,COMPLETE
10,267.6733571309307,0.9612189394757958,False,True,False,True,False,False,False,True,True,True,0.24345907613029494,small,,none,distance_capacity,2,False,COMPLETE
11,267.6733571309307,0.8899376046240783,False,True,False,True,False,False,False,True,True,True,0.2636730478490081,small,,none,distance_capacity,2,False,COMPLETE
12,267.6733571309307,0.9833369166270338,False,True,False,True,False,False,False,True,True,True,0.23090119814838134,small,,none,distance_capacity,2,False,COMPLETE
13,267.6733571309307,0.8284335957152649,False,True,False,True,False,False,False,True,True,True,0.42438762323311346,small,,none,distance_capacity,2,False,COMPLETE
14,268.7084611964798,0.8086994842765813,False,False,False,True,False,False,False,False,True,True,0.15790420395570237,small,,none,max,2,False,COMPLETE
