date,wind_offshore_50hz_actual,wind_offshore_50hz_fitted,wind_offshore_50hz_lower,wind_offshore_50hz_upper
2026-06-12 00:00:00+00:00,265.72,95.45205,-111.989174,302.89334
2026-06-12 01:00:00+00:00,163.11,202.06721,-5.3740625,409.50845
2026-06-12 02:00:00+00:00,111.82,208.5645,1.1233127,416.00577
2026-06-12 03:00:00+00:00,47.969994,157.58257,-49.85868,365.02383
2026-06-12 04:00:00+00:00,57.909996,53.77236,-153.66887,261.21365
2026-06-12 05:00:00+00:00,59.740013,31.661886,-175.77934,239.10313
2026-06-12 06:00:00+00:00,63.170006,107.853874,-99.58738,315.29514
2026-06-12 07:00:00+00:00,53.370018,127.37307,-80.068214,334.81433
2026-06-12 08:00:00+00:00,77.27999,100.68624,-106.75504,308.1275
2026-06-12 09:00:00+00:00,165.7,161.02052,-46.420692,368.4618
2026-06-12 10:00:00+00:00,229.59999,150.96782,-56.473366,358.4091
2026-06-12 11:00:00+00:00,266.58,232.7506,25.309347,440.19186
2026-06-12 12:00:00+00:00,319.71,189.91249,-17.528727,397.35376
2026-06-12 13:00:00+00:00,307.41,187.93184,-19.50944,395.3731
2026-06-12 14:00:00+00:00,301.04,187.42317,-20.018045,394.86444
2026-06-12 15:00:00+00:00,355.66,144.71779,-62.723427,352.15906
2026-06-12 16:00:00+00:00,337.48,307.17532,99.73406,514.6166
2026-06-12 17:00:00+00:00,283.8,381.81085,174.36961,589.25214
2026-06-12 18:00:00+00:00,362.74,387.08984,179.6486,594.5311
2026-06-12 19:00:00+00:00,433.36,239.72813,32.28689,447.1694
2026-06-12 20:00:00+00:00,519.62,126.88946,-80.551796,334.33072
2026-06-12 21:00:00+00:00,723.12,474.18173,266.74048,681.623
2026-06-12 22:00:00+00:00,796.67,737.56287,530.1216,945.0041
2026-06-12 23:00:00+00:00,829.52,1274.3811,1066.9398,1481.8223
2026-06-13 00:00:00+00:00,810.14,1121.6875,914.2462,1329.1287
2026-06-13 01:00:00+00:00,732.33,1030.9432,823.50195,1238.3844
2026-06-13 02:00:00+00:00,685.63,951.46326,744.022,1158.9045
2026-06-13 03:00:00+00:00,518.23,797.00146,589.56024,1004.44275
2026-06-13 04:00:00+00:00,358.49,487.42825,279.98703,694.8695
2026-06-13 05:00:00+00:00,238.95,282.99905,75.55776,490.4403
2026-06-13 06:00:00+00:00,415.68,505.48904,298.04782,712.9303
2026-06-13 07:00:00+00:00,432.68,470.78012,263.3389,678.2214
2026-06-13 08:00:00+00:00,283.25,483.2214,275.78015,690.66266
2026-06-13 09:00:00+00:00,204.04,321.74252,114.30126,529.1838
2026-06-13 10:00:00+00:00,230.04,437.72824,230.287,645.1695
2026-06-13 11:00:00+00:00,238.80998,494.44226,287.001,701.8835
2026-06-13 12:00:00+00:00,297.34,570.6473,363.206,778.0885
2026-06-13 13:00:00+00:00,286.02,765.02997,557.58875,972.4712
2026-06-13 14:00:00+00:00,479.83,1076.4142,868.9729,1283.8553
2026-06-13 15:00:00+00:00,653.15,852.994,645.55273,1060.4352
2026-06-13 16:00:00+00:00,1059.83,1129.6218,922.18054,1337.0631
2026-06-13 17:00:00+00:00,1637.74,1092.1803,884.739,1299.6215
2026-06-13 18:00:00+00:00,1094.71,1296.0454,1088.6041,1503.4866
2026-06-13 19:00:00+00:00,1463.5,1393.2191,1185.7778,1600.6604
2026-06-13 20:00:00+00:00,1492.97,1133.0472,925.60596,1340.4885
2026-06-13 21:00:00+00:00,1529.89,1173.0303,965.589,1380.4714
2026-06-13 22:00:00+00:00,1568.53,1209.3851,1001.9439,1416.8264
2026-06-13 23:00:00+00:00,1566.23,1022.8691,815.42786,1230.3103
2026-06-14 00:00:00+00:00,1592.17,1032.5531,825.1118,1239.9944
2026-06-14 01:00:00+00:00,1613.77,1030.8267,823.38544,1238.268
2026-06-14 02:00:00+00:00,1572.68,1130.1658,922.7245,1337.6069
2026-06-14 03:00:00+00:00,1635.82,1109.7759,902.33466,1317.2172
2026-06-14 04:00:00+00:00,1551.93,1118.0544,910.61316,1325.4957
2026-06-14 05:00:00+00:00,1385.72,870.3429,662.9017,1077.7842
2026-06-14 06:00:00+00:00,778.83,737.54144,530.10016,944.98267
2026-06-14 07:00:00+00:00,648.19,606.5976,399.15637,814.0389
2026-06-14 08:00:00+00:00,395.76,478.15518,270.71393,685.59644
2026-06-14 09:00:00+00:00,152.21,462.61395,255.17271,670.05524
2026-06-14 10:00:00+00:00,156.99,646.2768,438.8355,853.718
2026-06-14 11:00:00+00:00,335.21,776.65955,569.2183,984.1008
2026-06-14 12:00:00+00:00,330.4,468.47223,261.03098,675.91345
2026-06-14 13:00:00+00:00,330.17,610.3737,402.9325,817.815
2026-06-14 14:00:00+00:00,383.94,532.0992,324.658,739.54047
2026-06-14 15:00:00+00:00,674.31,1095.2938,887.8526,1302.7351
2026-06-14 16:00:00+00:00,1261.7,803.38696,595.9457,1010.8282
2026-06-14 17:00:00+00:00,1259.75,914.82733,707.38605,1122.2686
2026-06-14 18:00:00+00:00,1134.07,1373.9447,1166.5035,1581.386
2026-06-14 19:00:00+00:00,1549.3,1251.6898,1044.2485,1459.1311
2026-06-14 20:00:00+00:00,1650.41,1433.3992,1225.958,1640.8405
2026-06-14 21:00:00+00:00,1674.26,1213.1013,1005.66003,1420.5426
2026-06-14 22:00:00+00:00,1623.71,1537.8107,1330.3694,1745.252
2026-06-14 23:00:00+00:00,1642.74,1354.1404,1146.6992,1561.5817
2026-06-15 00:00:00+00:00,1638.33,1202.7585,995.31726,1410.1998
2026-06-15 01:00:00+00:00,1677.79,1230.5754,1023.13416,1438.0166
2026-06-15 02:00:00+00:00,1704.05,1364.3003,1156.8591,1571.7416
2026-06-15 03:00:00+00:00,1709.24,1380.9229,1173.4816,1588.3641
2026-06-15 04:00:00+00:00,1698.05,1343.3315,1135.8903,1550.7728
2026-06-15 05:00:00+00:00,1679.88,1529.0039,1321.5626,1736.4451
2026-06-15 06:00:00+00:00,1688.56,1482.7474,1275.3062,1690.1886
