date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper
2026-04-29 00:00:00+00:00,1001.92,1226.0765,663.9787,1788.1744
2026-04-29 01:00:00+00:00,761.84,1023.1524,461.05435,1585.2502
2026-04-29 02:00:00+00:00,595.62006,442.0026,-120.095184,1004.1005
2026-04-29 03:00:00+00:00,428.62003,261.24002,-300.85788,823.33795
2026-04-29 04:00:00+00:00,393.61002,410.13565,-151.96237,972.2336
2026-04-29 05:00:00+00:00,357.28995,554.7735,-7.3244305,1116.8713
2026-04-29 06:00:00+00:00,323.91995,431.49307,-130.60495,993.591
2026-04-29 07:00:00+00:00,238.6099,553.8403,-8.257536,1115.9381
2026-04-29 08:00:00+00:00,82.12991,399.39468,-162.70334,961.4926
2026-04-29 09:00:00+00:00,42.409946,382.67496,-179.42307,944.7729
2026-04-29 10:00:00+00:00,54.220005,363.4622,-198.63571,925.56024
2026-04-29 11:00:00+00:00,55.540073,393.0253,-169.07272,955.1232
2026-04-29 12:00:00+00:00,95.41995,611.01495,48.917027,1173.1128
2026-04-29 13:00:00+00:00,194.50003,596.97687,34.87894,1159.0747
2026-04-29 14:00:00+00:00,429.13004,700.23737,138.13919,1262.3352
2026-04-29 15:00:00+00:00,1184.86,892.5899,330.49173,1454.6877
2026-04-29 16:00:00+00:00,1427.47,1154.5125,592.4146,1716.6104
2026-04-29 17:00:00+00:00,2097.04,1940.6293,1378.5314,2502.727
2026-04-29 18:00:00+00:00,2453.53,2438.0579,1875.96,3000.1558
2026-04-29 19:00:00+00:00,2491.41,1737.0509,1174.953,2299.149
2026-04-29 20:00:00+00:00,2506.57,2062.1362,1500.0385,2624.2341
2026-04-29 21:00:00+00:00,2349.5,1962.9978,1400.8999,2525.0957
2026-04-29 22:00:00+00:00,2005.57,2001.0568,1438.9589,2563.1545
2026-04-29 23:00:00+00:00,1642.17,1907.1439,1345.046,2469.2417
2026-04-30 00:00:00+00:00,1439.2299,1650.6382,1088.5404,2212.736
2026-04-30 01:00:00+00:00,1095.97,1208.5233,646.4255,1770.6212
2026-04-30 02:00:00+00:00,895.83,1142.0464,579.94855,1704.1443
2026-04-30 03:00:00+00:00,629.07,671.7901,109.69217,1233.888
2026-04-30 04:00:00+00:00,469.2001,337.26028,-224.83762,899.3582
2026-04-30 05:00:00+00:00,414.75992,480.73953,-81.35837,1042.8374
2026-04-30 06:00:00+00:00,280.00003,300.0508,-262.0471,862.14874
2026-04-30 07:00:00+00:00,302.97,381.70743,-180.39035,943.80536
2026-04-30 08:00:00+00:00,243.58011,334.9905,-227.10739,897.08844
2026-04-30 09:00:00+00:00,169.58987,470.9578,-91.14011,1033.0557
2026-04-30 10:00:00+00:00,59.970005,363.83047,-198.26755,925.9284
2026-04-30 11:00:00+00:00,122.42996,232.61307,-329.48483,794.7111
2026-04-30 12:00:00+00:00,173.69998,381.2537,-180.84421,943.3516
2026-04-30 13:00:00+00:00,337.63992,617.6303,55.532505,1179.7281
2026-04-30 14:00:00+00:00,1022.6401,1370.1611,808.0633,1932.2592
2026-04-30 15:00:00+00:00,2242.15,1599.863,1037.7651,2161.961
2026-04-30 16:00:00+00:00,2628.93,1793.1555,1231.0576,2355.2534
2026-04-30 17:00:00+00:00,2732.56,2169.148,1607.0502,2731.2458
2026-04-30 18:00:00+00:00,2830.18,3049.4312,2487.3333,3611.529
2026-04-30 19:00:00+00:00,3051.35,2971.2947,2409.1968,3533.3926
2026-04-30 20:00:00+00:00,3465.57,2988.7375,2426.6396,3550.8354
2026-04-30 21:00:00+00:00,4061.4,3453.163,2891.0652,4015.261
2026-04-30 22:00:00+00:00,4525.65,3516.1172,2954.0193,4078.215
2026-04-30 23:00:00+00:00,4551.55,3922.7532,3360.655,4484.851
2026-05-01 00:00:00+00:00,3780.94,3322.2156,2760.1177,3884.3135
2026-05-01 01:00:00+00:00,3161.48,2825.8755,2263.7776,3387.9734
2026-05-01 02:00:00+00:00,2818.33,2197.749,1635.6511,2759.847
2026-05-01 03:00:00+00:00,2503.24,1573.568,1011.47015,2135.6658
2026-05-01 04:00:00+00:00,2456.5,1492.2896,930.1916,2054.3875
2026-05-01 05:00:00+00:00,2520.36,1510.6273,948.5295,2072.7253
2026-05-01 06:00:00+00:00,2698.13,2218.5405,1656.4426,2780.6384
2026-05-01 07:00:00+00:00,2105.72,2579.8032,2017.7054,3141.9011
2026-05-01 08:00:00+00:00,970.05,2784.6443,2222.5464,3346.7422
2026-05-01 09:00:00+00:00,394.55997,2322.5508,1760.4528,2884.6487
2026-05-01 10:00:00+00:00,180.58987,1430.9066,868.80865,1993.0045
2026-05-01 11:00:00+00:00,166.33011,1094.5643,532.4665,1656.6624
2026-05-01 12:00:00+00:00,360.14993,887.68964,325.59183,1449.7875
2026-05-01 13:00:00+00:00,513.05,1233.158,671.0601,1795.2559
2026-05-01 14:00:00+00:00,1257.21,1241.4542,679.3564,1803.5521
2026-05-01 15:00:00+00:00,2835.33,2062.2605,1500.1626,2624.3584
2026-05-01 16:00:00+00:00,3512.58,2373.4924,1811.3945,2935.5903
2026-05-01 17:00:00+00:00,3625.48,2431.8384,1869.7405,2993.9363
2026-05-01 18:00:00+00:00,3544.17,2868.5469,2306.449,3430.645
2026-05-01 19:00:00+00:00,3254.21,3532.9827,2970.8845,4095.0806
2026-05-01 20:00:00+00:00,3179.2,4141.3975,3579.2996,4703.4956
2026-05-01 21:00:00+00:00,3297.43,4602.225,4040.1272,5164.323
2026-05-01 22:00:00+00:00,3288.93,3797.4944,3235.3962,4359.5923
2026-05-01 23:00:00+00:00,3634.21,2633.8352,2071.7373,3195.933
2026-05-02 00:00:00+00:00,3576.29,2035.7786,1473.6807,2597.8765
2026-05-02 01:00:00+00:00,3016.61,1445.1805,883.0827,2007.2784
2026-05-02 02:00:00+00:00,2877.04,1534.377,972.279,2096.4749
2026-05-02 03:00:00+00:00,2737.54,1757.0033,1194.9054,2319.101
2026-05-02 04:00:00+00:00,2614.13,2023.9984,1461.9005,2586.0962
2026-05-02 05:00:00+00:00,2499.81,1927.2277,1365.1298,2489.3254
2026-05-02 06:00:00+00:00,1940.12,1194.0183,631.9205,1756.1162
2026-05-02 07:00:00+00:00,1273.29,1234.7004,672.6026,1796.7983
2026-05-02 08:00:00+00:00,803.0201,1410.4004,848.30255,1972.4984
2026-05-02 09:00:00+00:00,463.56998,1305.5526,743.4548,1867.6505
2026-05-02 10:00:00+00:00,426.15982,1649.6439,1087.546,2211.7417
2026-05-02 11:00:00+00:00,621.55,2269.9214,1707.8234,2832.0193
2026-05-02 12:00:00+00:00,662.45,2090.9307,1528.8326,2653.0286
2026-05-02 13:00:00+00:00,1161.65,2176.818,1614.7201,2738.916
2026-05-02 14:00:00+00:00,1933.42,2884.963,2322.865,3447.0608
2026-05-02 15:00:00+00:00,2120.04,2183.6292,1621.5312,2745.727
2026-05-02 16:00:00+00:00,2082.5,2023.2571,1461.1592,2585.355
2026-05-02 17:00:00+00:00,1897.49,1442.495,880.39716,2004.5929
2026-05-02 18:00:00+00:00,1227.82,1038.1786,476.08072,1600.2766
