date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper
2026-02-15 00:00:00+00:00,2749.53,1449.084,881.1557,2017.0121
2026-02-15 01:00:00+00:00,3141.07,1948.6642,1380.7361,2516.5925
2026-02-15 02:00:00+00:00,3426.0,2512.4797,1944.5516,3080.408
2026-02-15 03:00:00+00:00,3503.44,2520.823,1952.8949,3088.7512
2026-02-15 04:00:00+00:00,3517.4,2872.665,2304.7368,3440.5933
2026-02-15 05:00:00+00:00,3662.51,3496.9954,2929.0671,4064.9236
2026-02-15 06:00:00+00:00,4120.8,4177.5596,3609.6313,4745.488
2026-02-15 07:00:00+00:00,4625.87,4329.962,3762.0337,4897.89
2026-02-15 08:00:00+00:00,5297.35,4375.6465,3807.7183,4943.5747
2026-02-15 09:00:00+00:00,5713.07,4903.4277,4335.4995,5471.356
2026-02-15 10:00:00+00:00,6004.45,5466.237,4898.3086,6034.165
2026-02-15 11:00:00+00:00,6171.0005,5098.9536,4531.0254,5666.882
2026-02-15 12:00:00+00:00,6296.9805,5653.8027,5085.8745,6221.731
2026-02-15 13:00:00+00:00,6353.7407,5919.8276,5351.8994,6487.7554
2026-02-15 14:00:00+00:00,6398.36,5669.4546,5101.5264,6237.383
2026-02-15 15:00:00+00:00,6045.7,5800.907,5232.979,6368.835
2026-02-15 16:00:00+00:00,5777.78,6282.5405,5714.6123,6850.4683
2026-02-15 17:00:00+00:00,5333.66,6425.029,5857.1006,6992.957
2026-02-15 18:00:00+00:00,5480.3,6372.288,5804.36,6940.2163
2026-02-15 19:00:00+00:00,5570.41,5948.08,5380.152,6516.0083
2026-02-15 20:00:00+00:00,6277.72,5746.958,5179.03,6314.886
2026-02-15 21:00:00+00:00,6368.26,5572.003,5004.0747,6139.931
2026-02-15 22:00:00+00:00,6391.73,5811.3916,5243.4634,6379.32
2026-02-15 23:00:00+00:00,6186.09,5813.526,5245.5977,6381.454
2026-02-16 00:00:00+00:00,6419.5303,6146.3833,5578.455,6714.311
2026-02-16 01:00:00+00:00,6352.08,6098.1284,5530.2,6666.056
2026-02-16 02:00:00+00:00,6353.53,6274.6104,5706.682,6842.5386
2026-02-16 03:00:00+00:00,6480.54,6053.7188,5485.7905,6621.647
2026-02-16 04:00:00+00:00,5772.14,5865.3135,5297.3853,6433.2417
2026-02-16 05:00:00+00:00,5954.4,5713.0347,5145.1064,6280.9624
2026-02-16 06:00:00+00:00,5734.44,5065.288,4497.36,5633.2163
2026-02-16 07:00:00+00:00,5161.33,5346.44,4778.5117,5914.368
2026-02-16 08:00:00+00:00,4652.71,4999.2197,4431.2915,5567.148
2026-02-16 09:00:00+00:00,4351.4,4776.4355,4208.507,5344.364
2026-02-16 10:00:00+00:00,4063.21,3663.5464,3095.6182,4231.4746
2026-02-16 11:00:00+00:00,2999.16,3683.7969,3115.8687,4251.725
2026-02-16 12:00:00+00:00,2310.12,3428.3774,2860.4492,3996.3057
2026-02-16 13:00:00+00:00,1938.38,2364.4875,1796.5593,2932.4158
2026-02-16 14:00:00+00:00,1769.73,988.47833,420.5502,1556.4065
2026-02-16 15:00:00+00:00,1670.68,1199.7375,631.8094,1767.6658
2026-02-16 16:00:00+00:00,1675.05,1063.8425,495.91434,1631.7708
2026-02-16 17:00:00+00:00,1741.37,697.03156,129.10355,1264.9597
2026-02-16 18:00:00+00:00,1616.57,427.95145,-139.97678,995.8797
2026-02-16 19:00:00+00:00,1614.3,1043.6356,475.7073,1611.5638
2026-02-16 20:00:00+00:00,1452.66,1345.6652,777.737,1913.5934
2026-02-16 21:00:00+00:00,1337.36,846.33563,278.40726,1414.2638
2026-02-16 22:00:00+00:00,1176.02,756.1058,188.17752,1324.0339
2026-02-16 23:00:00+00:00,1251.62,244.94144,-322.9868,812.8697
2026-02-17 00:00:00+00:00,1681.66,486.8157,-81.11252,1054.7439
2026-02-17 01:00:00+00:00,2129.48,1101.4319,533.5037,1669.3601
2026-02-17 02:00:00+00:00,2244.3,1506.7682,938.84,2074.6965
2026-02-17 03:00:00+00:00,2612.08,1365.167,797.23883,1933.0952
2026-02-17 04:00:00+00:00,2837.93,1533.3846,965.45636,2101.3127
2026-02-17 05:00:00+00:00,3011.21,1877.3887,1309.4604,2445.317
2026-02-17 06:00:00+00:00,2860.32,1511.65,943.72186,2079.5781
2026-02-17 07:00:00+00:00,2832.75,1912.2377,1344.3093,2480.1658
2026-02-17 08:00:00+00:00,2324.6,1689.0947,1121.1665,2257.023
2026-02-17 09:00:00+00:00,1683.12,1594.415,1026.4868,2162.3433
2026-02-17 10:00:00+00:00,1101.2,499.65872,-68.2695,1067.5869
2026-02-17 11:00:00+00:00,921.3901,721.37885,153.45071,1289.307
2026-02-17 12:00:00+00:00,1417.8899,774.6308,206.70267,1342.559
2026-02-17 13:00:00+00:00,2347.76,961.64105,393.7128,1529.5692
2026-02-17 14:00:00+00:00,2964.41,1749.4589,1181.5306,2317.3872
2026-02-17 15:00:00+00:00,2413.77,1581.9009,1013.9727,2149.829
2026-02-17 16:00:00+00:00,1777.81,892.44196,324.5137,1460.3701
2026-02-17 17:00:00+00:00,2277.16,1406.303,838.3747,1974.2312
2026-02-17 18:00:00+00:00,3256.17,1570.2864,1002.3582,2138.2146
2026-02-17 19:00:00+00:00,4442.74,4806.012,4238.084,5373.9404
2026-02-17 20:00:00+00:00,5303.88,5344.692,4776.7637,5912.62
2026-02-17 21:00:00+00:00,5107.39,3940.4219,3372.4937,4508.35
2026-02-17 22:00:00+00:00,4472.43,3235.5103,2667.582,3803.4385
2026-02-17 23:00:00+00:00,3648.4,2913.4746,2345.5466,3481.4028
2026-02-18 00:00:00+00:00,2817.74,2826.3633,2258.4353,3394.2915
2026-02-18 01:00:00+00:00,1935.11,1671.7968,1103.8687,2239.725
2026-02-18 02:00:00+00:00,1356.19,1078.2568,510.32864,1646.185
2026-02-18 03:00:00+00:00,969.05,842.1911,274.26297,1410.1193
2026-02-18 04:00:00+00:00,741.88007,725.216,157.28763,1293.1442
2026-02-18 05:00:00+00:00,455.9401,471.053,-96.87521,1038.9812
2026-02-18 06:00:00+00:00,155.30008,224.34476,-343.58322,792.27313
2026-02-18 07:00:00+00:00,50.310093,15.020296,-552.9079,582.9484
2026-02-18 08:00:00+00:00,24.5701,79.31961,-488.6086,647.24786
2026-02-18 09:00:00+00:00,87.25003,-147.51291,-715.4411,420.4153
2026-02-18 10:00:00+00:00,163.14993,67.76053,-500.1677,635.6888
2026-02-18 11:00:00+00:00,248.31009,144.77127,-423.15695,712.6995
2026-02-18 12:00:00+00:00,394.29007,620.925,52.99686,1188.8531
2026-02-18 13:00:00+00:00,688.92,859.5329,291.60452,1427.461
2026-02-18 14:00:00+00:00,942.04,986.1706,418.24234,1554.0988
2026-02-18 15:00:00+00:00,1351.93,1269.4792,701.5511,1837.4075
2026-02-18 16:00:00+00:00,2120.68,1439.5839,871.6557,2007.5121
2026-02-18 17:00:00+00:00,3504.6,1981.4032,1413.475,2549.3313
2026-02-18 18:00:00+00:00,4580.35,4534.6826,3966.7542,5102.611
2026-02-18 19:00:00+00:00,5422.19,5230.1436,4662.2153,5798.072
2026-02-18 20:00:00+00:00,5748.46,5696.2393,5128.311,6264.1675
2026-02-18 21:00:00+00:00,5937.87,5344.9404,4777.012,5912.8687
2026-02-18 22:00:00+00:00,6116.8,5264.5054,4696.577,5832.4336
2026-02-18 23:00:00+00:00,6037.57,5241.0796,4673.1514,5809.008
2026-02-19 00:00:00+00:00,6119.6704,6075.942,5508.0137,6643.87
2026-02-19 01:00:00+00:00,6352.4707,5908.3843,5340.456,6476.312
2026-02-19 02:00:00+00:00,6415.66,5966.2935,5398.365,6534.2217
2026-02-19 03:00:00+00:00,6421.99,5682.5864,5114.658,6250.5146
2026-02-19 04:00:00+00:00,6471.55,5776.9453,5209.017,6344.873
2026-02-19 05:00:00+00:00,6536.59,5573.626,5005.6978,6141.554
2026-02-19 06:00:00+00:00,6500.98,5689.6714,5121.743,6257.5996
2026-02-19 07:00:00+00:00,6547.82,5840.26,5272.3315,6408.188
2026-02-19 08:00:00+00:00,6577.98,5518.7363,4950.808,6086.6646
2026-02-19 09:00:00+00:00,6549.43,5805.209,5237.281,6373.137
2026-02-19 10:00:00+00:00,6479.16,5958.6763,5390.748,6526.6045
2026-02-19 11:00:00+00:00,6106.0,5367.221,4799.293,5935.1494
2026-02-19 12:00:00+00:00,6365.78,5869.892,5301.9644,6437.8203
2026-02-19 13:00:00+00:00,6384.17,5571.7407,5003.8125,6139.669
2026-02-19 14:00:00+00:00,6301.51,5494.8174,4926.889,6062.7456
2026-02-19 15:00:00+00:00,6298.45,5348.026,4780.0977,5915.954
2026-02-19 16:00:00+00:00,6383.34,5554.001,4986.073,6121.9297
2026-02-19 17:00:00+00:00,6470.8706,5538.407,4970.479,6106.335
2026-02-19 18:00:00+00:00,6514.92,5562.183,4994.255,6130.1113
2026-02-19 19:00:00+00:00,6437.78,5356.93,4789.002,5924.858
